county,precinct,office,district,seats,party,candidate,votes
Martin,North Halbert,County Recorder,,1,REP,Sheri CRANDALL,218
Martin,North Halbert,County Surveyor,,1,REP,Nathan Dale HOFFMAN,207
Martin,North Halbert,County Treasurer,,1,REP,Rhonda SANDERS,218
Martin,North Halbert,County Council,At Large,3,REP,Gerald D MONTGOMERY,123
Martin,North Halbert,County Council,At Large,3,REP,Jim WOODY,103
Martin,North Halbert,County Council,At Large,3,REP,Warren D ALBRIGHT,142
Martin,Perry 1,President,,1,,Write-In,0
Martin,Perry 1,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Martin,Perry 1,President,,1,REP,Donald J. TRUMP / JD Vance,327
Martin,Perry 1,President,,1,DEM,Kamala D. HARRIS / Tim Walz,81
Martin,Perry 1,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,4
Martin,Perry 1,U.S. Senate,,1,LBT,Andrew HORNING,12
Martin,Perry 1,U.S. Senate,,1,,Write-In,0
Martin,Perry 1,U.S. Senate,,1,REP,Jim BANKS,300
Martin,Perry 1,U.S. Senate,,1,DEM,Valerie McCRAY,85
Martin,Perry 1,U.S. House,8,1,DEM,Erik HURT,85
Martin,Perry 1,U.S. House,8,1,LBT,K Richard FITZLAFF,24
Martin,Perry 1,U.S. House,8,1,REP,Mark MESSMER,295
Martin,Perry 1,Governor,,1,,Write-In,0
Martin,Perry 1,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,61
Martin,Perry 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,120
Martin,Perry 1,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,217
Martin,Perry 1,Attorney General,,1,DEM,Destiny WELLS,88
Martin,Perry 1,Attorney General,,1,REP,Todd ROKITA,306
Martin,Perry 1,County Auditor,,1,DEM,Michelle NORRIS,221
Martin,Perry 1,County Commissioner,1,1,REP,Retha WARNER,322
Martin,Perry 1,County Commissioner,3,1,REP,Aaron Moose SUMMERS,214
Martin,Perry 1,County Commissioner,3,1,IND,Jason B McCOY,169
Martin,Perry 1,County Coroner,,1,REP,Tony ABEL,321
Martin,Perry 1,County Recorder,,1,REP,Sheri CRANDALL,321
Martin,Perry 1,County Surveyor,,1,REP,Nathan Dale HOFFMAN,314
Martin,Perry 1,County Treasurer,,1,REP,Rhonda SANDERS,320
Martin,Perry 1,County Council,At Large,3,REP,Gerald D MONTGOMERY,147
Martin,Perry 1,County Council,At Large,3,REP,Jim WOODY,205
Martin,Perry 1,County Council,At Large,3,REP,Warren D ALBRIGHT,186
Martin,Perry 2,President,,1,,Write-In,1
Martin,Perry 2,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Martin,Perry 2,President,,1,REP,Donald J. TRUMP / JD Vance,205
Martin,Perry 2,President,,1,DEM,Kamala D. HARRIS / Tim Walz,78
Martin,Perry 2,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,6
Martin,Perry 2,U.S. Senate,,1,LBT,Andrew HORNING,12
Martin,Perry 2,U.S. Senate,,1,,Write-In,0
Martin,Perry 2,U.S. Senate,,1,REP,Jim BANKS,187
Martin,Perry 2,U.S. Senate,,1,DEM,Valerie McCRAY,82
Martin,Perry 2,U.S. House,8,1,DEM,Erik HURT,79
Martin,Perry 2,U.S. House,8,1,LBT,K Richard FITZLAFF,24
Martin,Perry 2,U.S. House,8,1,REP,Mark MESSMER,186
Martin,Perry 2,Governor,,1,,Write-In,0
Martin,Perry 2,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,58
Martin,Perry 2,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,108
Martin,Perry 2,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,123
Martin,Perry 2,Attorney General,,1,DEM,Destiny WELLS,90
Martin,Perry 2,Attorney General,,1,REP,Todd ROKITA,193
Martin,Perry 2,County Auditor,,1,DEM,Michelle NORRIS,187
Martin,Perry 2,County Commissioner,1,1,REP,Retha WARNER,215
Martin,Perry 2,County Commissioner,3,1,REP,Aaron Moose SUMMERS,149
Martin,Perry 2,County Commissioner,3,1,IND,Jason B McCOY,118
Martin,Perry 2,County Coroner,,1,REP,Tony ABEL,213
Martin,Perry 2,County Recorder,,1,REP,Sheri CRANDALL,212
Martin,Perry 2,County Surveyor,,1,REP,Nathan Dale HOFFMAN,214
Martin,Perry 2,County Treasurer,,1,REP,Rhonda SANDERS,215
Martin,Perry 2,County Council,At Large,3,REP,Gerald D MONTGOMERY,122
Martin,Perry 2,County Council,At Large,3,REP,Jim WOODY,140
Martin,Perry 2,County Council,At Large,3,REP,Warren D ALBRIGHT,124
Martin,Perry 3,President,,1,,Write-In,0
Martin,Perry 3,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,0
Martin,Perry 3,President,,1,REP,Donald J. TRUMP / JD Vance,189
Martin,Perry 3,President,,1,DEM,Kamala D. HARRIS / Tim Walz,39
Martin,Perry 3,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,3
Martin,Perry 3,U.S. Senate,,1,LBT,Andrew HORNING,2
Martin,Perry 3,U.S. Senate,,1,,Write-In,0
Martin,Perry 3,U.S. Senate,,1,REP,Jim BANKS,179
Martin,Perry 3,U.S. Senate,,1,DEM,Valerie McCRAY,42
Martin,Perry 3,U.S. House,8,1,DEM,Erik HURT,40
