county,office,district,candidate,party,votes
Daviess,U.S. Senator,,Marvin Scott,Republican,1809
Daviess,Governor,,Joe Kernan,Democratic,866
Daviess,Governor,,Mitch Daniels,Republican,1988
Daviess,Governor,,Eric Miller,Republican,821
Daviess,U.S. House,8,Jon P. Jennings,Democratic,626
Daviess,U.S. House,8,Bill Pearman,Democratic,160
Daviess,U.S. House,8,John N. Hostettler,Republican,2477
Daviess,State House,45,Alan B. Chowning,Democratic,123
Daviess,State House,45,Bruce A. Borders,Republican,505
Daviess,State House,45,Karyn Moskowitz,Republican,0
Daviess,State House,45,Janie Craig Chenault,Republican,0
Daviess,State House,45,Donald O. Patton,Republican,0
Daviess,State House,45,Dave Crooks,Republican,709
Daviess,State House,45,Paul Mcfeaters,Republican,1307
Dearborn,President,,Wesley K. Clark,Democratic,60
Dearborn,President,,Howard Dean,Democratic,87
Dearborn,President,,John Edwards,Democratic,171
Dearborn,President,,John F. Kerry,Democratic,1007
Dearborn,President,,Dennis J. Kucinich,Democratic,16
Dearborn,President,,"Lyndon H. Larouche, Jr.",Democratic,13
Dearborn,President,,George W. Bush,Republican,2583
Dearborn,U.S. Senator,,Evan Bayh,Democratic,1332
Dearborn,U.S. Senator,,Marvin Scott,Republican,2048
Dearborn,Governor,,Joe Kernan,Democratic,1157
Dearborn,Governor,,Mitch Daniels,Republican,1978
Dearborn,Governor,,Eric Miller,Republican,563
Dearborn,U.S. House,6,Mel Fox,Democratic,141
Dearborn,U.S. House,6,Mike Pence,Republican,668
Dearborn,State House,67,Cleo Duncan,Republican,0
Dearborn,Judge Of The Circuit Court,Dearborn/Ohio 7Th Cir.,James D. Humphrey,Republican,2446
Decatur,President,,Wesley K. Clark,Democratic,45
Decatur,President,,Howard Dean,Democratic,49
Decatur,President,,John Edwards,Democratic,80
Decatur,President,,John F. Kerry,Democratic,455
Decatur,President,,Dennis J. Kucinich,Democratic,9
Decatur,President,,"Lyndon H. Larouche, Jr.",Democratic,7
Decatur,President,,George W. Bush,Republican,2675
Decatur,U.S. Senator,,Evan Bayh,Democratic,631
Decatur,U.S. Senator,,Marvin Scott,Republican,1646
Decatur,Governor,,Joe Kernan,Democratic,610
Decatur,Governor,,Mitch Daniels,Republican,2214
Decatur,Governor,,Eric Miller,Republican,859
Decatur,U.S. House,6,Mel Fox,Democratic,541
Decatur,U.S. House,6,Mike Pence,Republican,2668
Decatur,State Senator,42,Barry A. Welsh,Democratic,441
Decatur,State Senator,42,Robert N. Jackman,Republican,2499
Decatur,State House,55,Robert A. Hoffman,Republican,0
DeKalb,President,,Wesley K. Clark,Democratic,59
DeKalb,President,,Howard Dean,Democratic,67
DeKalb,President,,John Edwards,Democratic,128
DeKalb,President,,John F. Kerry,Democratic,858
DeKalb,President,,Dennis J. Kucinich,Democratic,22
DeKalb,President,,"Lyndon H. Larouche, Jr.",Democratic,13
DeKalb,President,,George W. Bush,Republican,3103
DeKalb,U.S. Senator,,Evan Bayh,Democratic,1072
DeKalb,U.S. Senator,,Marvin Scott,Republican,2113
DeKalb,Governor,,Joe Kernan,Democratic,1004
DeKalb,Governor,,Mitch Daniels,Republican,2348
DeKalb,Governor,,Eric Miller,Republican,1040
DeKalb,U.S. House,3,Steve G. Hope,Democratic,234
DeKalb,U.S. House,3,Maria M. Parra,Democratic,316
DeKalb,U.S. House,3,Mark A. Summers,Democratic,404
DeKalb,U.S. House,3,William Larsen,Republican,678
DeKalb,U.S. House,3,Mark Edward Souder,Republican,2709
DeKalb,State Senator,13,Robert L. Meeks,Republican,73
DeKalb,State House,52,John T. Delucenay,Democratic,250
DeKalb,State House,52,Marlin A. Stutzman,Republican,450
DeKalb,Judge Of The Circuit Court,Dekalb 75Th Circuit,Kirk D. Carpenter,Democratic,962
Delaware,President,,Wesley K. Clark,Democratic,630
Delaware,President,,Howard Dean,Democratic,747
Delaware,President,,John Edwards,Democratic,1285
Delaware,President,,John F. Kerry,Democratic,7303
Delaware,President,,Dennis J. Kucinich,Democratic,183
Delaware,President,,"Lyndon H. Larouche, Jr.",Democratic,170
Delaware,President,,George W. Bush,Republican,9086
Delaware,U.S. Senator,,Evan Bayh,Democratic,10194
Delaware,U.S. Senator,,Marvin Scott,Republican,5920
Delaware,Governor,,Joe Kernan,Democratic,9319
Delaware,Governor,,Mitch Daniels,Republican,6243
Delaware,Governor,,Eric Miller,Republican,3377
Delaware,U.S. House,6,Mel Fox,Democratic,8553
Delaware,U.S. House,6,Mike Pence,Republican,9041
Delaware,State House,31,Larry R. Hile,Democratic,0
Delaware,State House,31,Timothy W. Harris,Republican,0
Delaware,State House,31,P. Eric Turner,Republican,0
Delaware,State House,31,Noel (Bud) Carpenter,Republican,460
Delaware,State House,31,Bill J. Davis,Republican,768
Delaware,State House,31,Kent T. Saunders,Republican,2121
Delaware,State House,31,L. Jack Lutz,Republican,4230
Delaware,Judge Of The Circuit Court,Delaware Ct. 146Th Cir.,Marianne Lafferty Vorhees,Democratic,9390
Delaware,Judge Of The Circuit Court,Delaware Ct. 146Th Cir.,Jeffrey L. Arnold,Republican,8184
Dubois,President,,Wesley K. Clark,Democratic,281
Dubois,President,,Howard Dean,Democratic,437
Dubois,President,,John Edwards,Democratic,554
Dubois,President,,John F. Kerry,Democratic,2794
Dubois,President,,Dennis J. Kucinich,Democratic,52
Dubois,President,,"Lyndon H. Larouche, Jr.",Democratic,92
Dubois,President,,George W. Bush,Republican,1634
Dubois,U.S. Senator,,Evan Bayh,Democratic,4265
Dubois,U.S. Senator,,Marvin Scott,Republican,1051
Dubois,Governor,,Joe Kernan,Democratic,3681
Dubois,Governor,,Mitch Daniels,Republican,1448
Dubois,Governor,,Eric Miller,Republican,215
Dubois,U.S. House,8,Jon P. Jennings,Democratic,0
Dubois,U.S. House,8,Bill Pearman,Democratic,0
Dubois,U.S. House,8,John N. Hostettler,Republican,0
Dubois,State House,63,Ross J. Cook,Democratic,665
Dubois,State House,63,Dave Crooks,Democratic,1972
Dubois,State House,63,Paul Mcfeaters,Republican,567
Dubois,Judge Of The Superior Court,Dubois County,"Howard B. Lytton, Jr.",Democratic,2216
Dubois,Judge Of The Superior Court,Dubois County,Nathan A. Verkamp,Democratic,3083
Dubois,Judge Of The Superior Court,Dubois County,Elaine Marie Becher Brown,Republican,1404
Elkhart,President,,Wesley K. Clark,Democratic,130
Elkhart,President,,Howard Dean,Democratic,247
Elkhart,President,,John Edwards,Democratic,317
Elkhart,President,,John F. Kerry,Democratic,2629
Elkhart,President,,Dennis J. Kucinich,Democratic,110
Elkhart,President,,"Lyndon H. Larouche, Jr.",Democratic,32
Elkhart,President,,George W. Bush,Republican,15252
Elkhart,U.S. Senator,,Evan Bayh,Democratic,3410
Elkhart,U.S. Senator,,Marvin Scott,Republican,12755
Elkhart,Governor,,Joe Kernan,Democratic,3383
Elkhart,Governor,,Mitch Daniels,Republican,7206
Elkhart,Governor,,Eric Miller,Republican,9144
Elkhart,U.S. House,2,Joe Donnelly,Democratic,1786
Elkhart,U.S. House,2,Chris Chocola,Republican,5258
Elkhart,U.S. House,2,Tony Zirkle,Republican,829
Elkhart,State Senator,9,Ryan D. Mishler,Republican,1511
Elkhart,State Senator,9,Marvin Riegsecker,Republican,9717
Elkhart,State House,21,Carl Kaser,Democratic,586
Elkhart,State House,21,Jackie Walorski,Republican,2417
Elkhart,Judge Of The Circuit Court,Elkhart 34Th Circuit,Terry C. Shewmaker,Republican,13946
Fayette,President,,Wesley K. Clark,Democratic,102
Fayette,President,,Howard Dean,Democratic,123
Fayette,President,,John Edwards,Democratic,251
Fayette,President,,John F. Kerry,Democratic,1197
Fayette,President,,Dennis J. Kucinich,Democratic,20
Fayette,President,,"Lyndon H. Larouche, Jr.",Democratic,19
Fayette,President,,George W. Bush,Republican,1879
Fayette,U.S. Senator,,Evan Bayh,Democratic,1635
Fayette,U.S. Senator,,Marvin Scott,Republican,1259
Fayette,Governor,,Joe Kernan,Democratic,1459
Fayette,Governor,,Mitch Daniels,Republican,1426
Fayette,Governor,,Eric Miller,Republican,629
Fayette,U.S. House,6,Mel Fox,Democratic,1154
Fayette,U.S. House,6,Mike Pence,Republican,1711
Fayette,State Senator,42,Barry A. Welsh,Democratic,1205
Fayette,State Senator,42,Robert N. Jackman,Republican,1640
Fayette,State House,55,Robert A. Hoffman,Republican,1644
Fayette,Judge Of The Circuit Court,Fayette 73Rd Circuit,Daniel Lee Pflum,Republican,1531
Floyd,President,,Wesley K. Clark,Democratic,224
Floyd,President,,Howard Dean,Democratic,247
Floyd,President,,John Edwards,Democratic,509
Floyd,President,,John F. Kerry,Democratic,3164
Floyd,President,,Dennis J. Kucinich,Democratic,73
Floyd,President,,"Lyndon H. Larouche, Jr.",Democratic,60
Floyd,President,,George W. Bush,Republican,2805
Floyd,U.S. Senator,,Evan Bayh,Democratic,4326
Floyd,U.S. Senator,,Marvin Scott,Republican,2064
Floyd,Governor,,Joe Kernan,Democratic,4000
Floyd,Governor,,Mitch Daniels,Republican,1594
Floyd,Governor,,Eric Miller,Republican,1279
Floyd,U.S. House,9,Baron Hill,Democratic,4123
Floyd,U.S. House,9,Lendall B. Terry,Democratic,415
Floyd,U.S. House,9,Mike Sodrel,Republican,2708
Floyd,State House,70,Paul J. Robertson,Democratic,575
Floyd,State House,70,Ryan Bergman,Republican,1988
Floyd,Judge Of The Circuit Court,Floyd 52Nd Circuit,J. Terrence Cody,Democratic,4202
Fountain,President,,Wesley K. Clark,Democratic,30
Fountain,President,,Howard Dean,Democratic,52
Fountain,President,,John Edwards,Democratic,83
Fountain,President,,John F. Kerry,Democratic,523
Fountain,President,,Dennis J. Kucinich,Democratic,7
Fountain,President,,"Lyndon H. Larouche, Jr.",Democratic,6
Fountain,President,,George W. Bush,Republican,2126
Fountain,U.S. Senator,,Evan Bayh,Democratic,681
Fountain,U.S. Senator,,Marvin Scott,Republican,1465
Fountain,Governor,,Joe Kernan,Democratic,658
Fountain,Governor,,Mitch Daniels,Republican,1672
Fountain,Governor,,Eric Miller,Republican,561
Fountain,U.S. House,4,Bill Abbott,Democratic,59
Fountain,U.S. House,4,David Sanders,Democratic,122
Fountain,U.S. House,4,Steve Buyer,Republican,530
Fountain,U.S. House,4,Mike Campbell,Republican,68
Fountain,U.S. House,4,Dennis Hardy,Republican,152
Fountain,U.S. House,4,Brian D. Paasch,Republican,22
Fountain,State House,13,Chester F. Dobis,Democratic,0
Fountain,State House,13,David M. Uzelac,Democratic,0
Fountain,State House,13,Patti Smith,Republican,1917
Fountain,Judge Of The Circuit Court,Fountain 61St Circuit,Susan Orr Henderson,Republican,2117
Franklin,President,,Wesley K. Clark,Democratic,85
Franklin,President,,Howard Dean,Democratic,93
Franklin,President,,John Edwards,Democratic,183
Franklin,President,,John F. Kerry,Democratic,780
Franklin,President,,Dennis J. Kucinich,Democratic,27
Franklin,President,,"Lyndon H. Larouche, Jr.",Democratic,17
Franklin,President,,George W. Bush,Republican,1164
Franklin,U.S. Senator,,Evan Bayh,Democratic,795
Franklin,U.S. Senator,,Marvin Scott,Republican,655
Franklin,Governor,,Joe Kernan,Democratic,1128
Franklin,Governor,,Mitch Daniels,Republican,772
Franklin,Governor,,Eric Miller,Republican,356
Franklin,U.S. House,6,Mel Fox,Democratic,922
Franklin,U.S. House,6,Mike Pence,Republican,1048
Franklin,State Senator,42,Barry A. Welsh,Democratic,347
Franklin,State Senator,42,Robert N. Jackman,Republican,411
Franklin,State House,55,Robert A. Hoffman,Republican,522
Fulton,President,,Wesley K. Clark,Democratic,27
Fulton,President,,Howard Dean,Democratic,56
Fulton,President,,John Edwards,Democratic,82
Fulton,President,,John F. Kerry,Democratic,436
Fulton,President,,Dennis J. Kucinich,Democratic,8
Fulton,President,,"Lyndon H. Larouche, Jr.",Democratic,3
Fulton,President,,George W. Bush,Republican,1838
Fulton,U.S. Senator,,Evan Bayh,Democratic,604
Fulton,U.S. Senator,,Marvin Scott,Republican,1434
Fulton,Governor,,Joe Kernan,Democratic,591
Fulton,Governor,,Mitch Daniels,Republican,1176
Fulton,Governor,,Eric Miller,Republican,833
Fulton,U.S. House,2,Joe Donnelly,Democratic,560
Fulton,U.S. House,2,Chris Chocola,Republican,1692
Fulton,U.S. House,2,Tony Zirkle,Republican,325
Fulton,State Senator,18,Thomas K. Weatherwax,Republican,1773
Fulton,State House,16,Eric A. Gutwein,Republican,1508
Fulton,State House,16,William C. Friend,Republican,148
Gibson,President,,Wesley K. Clark,Democratic,210
Gibson,President,,Howard Dean,Democratic,249
Gibson,President,,John Edwards,Democratic,442
Gibson,President,,John F. Kerry,Democratic,2186
Gibson,President,,Dennis J. Kucinich,Democratic,51
Gibson,President,,"Lyndon H. Larouche, Jr.",Democratic,63
Gibson,President,,George W. Bush,Republican,1182
Gibson,U.S. Senator,,Evan Bayh,Democratic,3202
Gibson,U.S. Senator,,Marvin Scott,Republican,939
Gibson,Governor,,Joe Kernan,Democratic,2962
