county,office,district,candidate,party,votes
Bartholomew,Governor,Statewide,John R Gregg,Democratic,10608
Bartholomew,Governor,Statewide,Rupert Boneham,None,1130
Bartholomew,Governor,Statewide,Michael R Pence,None,17417
Bartholomew,Governor,Statewide,Donnie Harold Harris,None,0
Bartholomew,Attorney General,Statewide,Kay Fleming,Democratic,9378
Bartholomew,Attorney General,Statewide,Greg Zoeller,None,18856
Bartholomew,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,12615
Bartholomew,Superintendent of Public Instruction,Statewide,Tony Bennett,None,15886
Bartholomew,United States Representative,6,Bradley T Bookout,Democratic,8964
Bartholomew,United States Representative,6,Rex Bell,None,1006
Bartholomew,United States Representative,6,Allen Lucas Messer,None,18314
Bartholomew,State Senator,44,Brent Ellis Steele,Republican,6615
Bartholomew,State Representative,57,Donald Todd Day,Democratic,1440
Bartholomew,State Representative,57,Paul Bravard,None,146
Bartholomew,State Representative,57,Sean R Eberhart,None,2947
Bartholomew,State Representative,59,Milo Smith,None,18376
Bartholomew,State Representative,69,James P Mccormick,None,154
Bartholomew,State Representative,69,Jim Lucas,None,314
Bartholomew,Judge of the Superior Court,"Bartholomew County, No. 1",James Jim Worton,Republican,16825
Bartholomew,Judge of the Superior Court,"Bartholomew County, No. 1",Joe Meek,None,9362
Benton,President,Statewide,Barack Obama,Democratic,1159
Benton,President,Statewide,Gary Johnson,None,89
Benton,President,Statewide,Mitt Romney,None,2329
Benton,President,Statewide,"Virgil H Goode, Jr.",None,0
Benton,President,Statewide,Dennis Knill,None,0
Benton,President,Statewide,Stephen Durham,None,0
Benton,President,Statewide,Christina Lopez,None,0
Benton,President,Statewide,Jill Stein,None,1
Benton,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Benton,President,Statewide,Paul Chehade,None,0
Benton,President,Statewide,Richard Duncan,None,0
Benton,President,Statewide,Tom Hoefling,None,0
Benton,President,Statewide,Terry Dale Jones,None,0
Benton,President,Statewide,Nelson Keyton,None,0
Benton,President,Statewide,Jill Reed,None,0
Benton,President,Statewide,"Michael A Simoneux, Jr.",None,0
Benton,President,Statewide,Randall A Terry,None,0
Benton,President,Statewide,"John A Dummett, Jr.",None,0
Benton,President,Statewide,Stewart Alexander,None,0
Benton,United States Senator,Statewide,Joseph Donnelly,Democratic,1416
Benton,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,303
Benton,United States Senator,Statewide,Richard E Mourdock,None,1798
Benton,United States Senator,Statewide,Amy J Willis,None,0
Benton,United States Senator,Statewide,James L Johnson Junior,None,0
Benton,Governor,Statewide,John R Gregg,Democratic,1374
Benton,Governor,Statewide,Rupert Boneham,None,229
Benton,Governor,Statewide,Michael R Pence,None,1944
Benton,Governor,Statewide,Donnie Harold Harris,None,0
Benton,Attorney General,Statewide,Kay Fleming,Democratic,1064
Benton,Attorney General,Statewide,Greg Zoeller,None,2388
Benton,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,1604
Benton,Superintendent of Public Instruction,Statewide,Tony Bennett,None,1894
Benton,United States Representative,4,Tara E Nelson,Democratic,1043
Benton,United States Representative,4,Benjamin J Gehlhausen,None,145
Benton,United States Representative,4,Theodore E Rokita,None,2291
Benton,State Representative,13,Mark Straw,Democratic,1209
Benton,State Representative,13,Sharon Negele,None,2318
Blackford,President,Statewide,Barack Obama,Democratic,1927
Blackford,President,Statewide,Gary Johnson,None,103
Blackford,President,Statewide,Mitt Romney,None,2711
Blackford,President,Statewide,"Virgil H Goode, Jr.",None,0
Blackford,President,Statewide,Dennis Knill,None,0
Blackford,President,Statewide,Stephen Durham,None,0
Blackford,President,Statewide,Christina Lopez,None,0
Blackford,President,Statewide,Jill Stein,None,2
Blackford,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Blackford,President,Statewide,Paul Chehade,None,0
Blackford,President,Statewide,Richard Duncan,None,0
Blackford,President,Statewide,Tom Hoefling,None,0
Blackford,President,Statewide,Terry Dale Jones,None,0
Blackford,President,Statewide,Nelson Keyton,None,0
Blackford,President,Statewide,Jill Reed,None,0
Blackford,President,Statewide,"Michael A Simoneux, Jr.",None,0
Blackford,President,Statewide,Randall A Terry,None,0
Blackford,President,Statewide,"John A Dummett, Jr.",None,0
Blackford,President,Statewide,Stewart Alexander,None,0
Blackford,United States Senator,Statewide,Joseph Donnelly,Democratic,2228
Blackford,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,379
Blackford,United States Senator,Statewide,Richard E Mourdock,None,2059
Blackford,United States Senator,Statewide,Amy J Willis,None,0
Blackford,United States Senator,Statewide,James L Johnson Junior,None,0
Blackford,Governor,Statewide,John R Gregg,Democratic,2012
Blackford,Governor,Statewide,Rupert Boneham,None,212
Blackford,Governor,Statewide,Michael R Pence,None,2433
Blackford,Governor,Statewide,Donnie Harold Harris,None,0
Blackford,Attorney General,Statewide,Kay Fleming,Democratic,1883
Blackford,Attorney General,Statewide,Greg Zoeller,None,2571
Blackford,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,2305
Blackford,Superintendent of Public Instruction,Statewide,Tony Bennett,None,2258
Blackford,United States Representative,3,Kevin Boyd,Democratic,481
Blackford,United States Representative,3,Marlin A Stutzman,None,560
Blackford,United States Representative,5,Scott Reske,None,1458
Blackford,United States Representative,5,Chard Reid,None,145
Blackford,United States Representative,5,Susan Brooks,None,1873
Blackford,State Representative,31,Katie Marie Morgan,Democratic,2025
Blackford,State Representative,31,Kevin A Mahan,None,2699
Blackford,State Representative,33,Charles Andrew Schemenaur,None,20
Blackford,State Representative,33,Bill J Davis,None,8
Blackford,Judge of the Circuit Court,Blackford (71St Circuit),Dean Allen Young,Republican,3433
Boone,President,Statewide,Barack Obama,Democratic,8328
Boone,President,Statewide,Gary Johnson,None,593
Boone,President,Statewide,Mitt Romney,None,18808
Boone,President,Statewide,"Virgil H Goode, Jr.",None,3
Boone,President,Statewide,Dennis Knill,None,0
Boone,President,Statewide,Stephen Durham,None,0
Boone,President,Statewide,Christina Lopez,None,0
Boone,President,Statewide,Jill Stein,None,4
Boone,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Boone,President,Statewide,Paul Chehade,None,0
Boone,President,Statewide,Richard Duncan,None,0
Boone,President,Statewide,Tom Hoefling,None,0
Boone,President,Statewide,Terry Dale Jones,None,0
Boone,President,Statewide,Nelson Keyton,None,0
Boone,President,Statewide,Jill Reed,None,0
Boone,President,Statewide,"Michael A Simoneux, Jr.",None,0
Boone,President,Statewide,Randall A Terry,None,0
Boone,President,Statewide,"John A Dummett, Jr.",None,0
Boone,President,Statewide,Stewart Alexander,None,1
Boone,United States Senator,Statewide,Joseph Donnelly,Democratic,10251
Boone,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,2066
Boone,United States Senator,Statewide,Richard E Mourdock,None,15007
Boone,United States Senator,Statewide,Amy J Willis,None,0
Boone,United States Senator,Statewide,James L Johnson Junior,None,0
Boone,Governor,Statewide,John R Gregg,Democratic,8711
Boone,Governor,Statewide,Rupert Boneham,None,1442
Boone,Governor,Statewide,Michael R Pence,None,17416
Boone,Governor,Statewide,Donnie Harold Harris,None,0
Boone,Attorney General,Statewide,Kay Fleming,Democratic,6704
Boone,Attorney General,Statewide,Greg Zoeller,None,20009
Boone,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,10916
Boone,Superintendent of Public Instruction,Statewide,Tony Bennett,None,16089
Boone,United States Representative,4,Tara E Nelson,Democratic,3174
Boone,United States Representative,4,Benjamin J Gehlhausen,None,559
Boone,United States Representative,4,Theodore E Rokita,None,9042
Boone,United States Representative,5,Scott Reske,None,3624
Boone,United States Representative,5,Chard Reid,None,401
Boone,United States Representative,5,Susan Brooks,None,10149
Boone,State Senator,7,Bradley Thompson,Democratic,1260
Boone,State Senator,7,Brandt Hershman,None,3463
Boone,State Representative,24,Steven J Braun,Republican,11201
Boone,State Representative,28,"James ""Jim"" Rainwater",None,247
Boone,State Representative,28,Jeffrey A Thompson,None,981
Boone,State Representative,41,Timothy Tim Brown,None,9230
Boone,Judge of the Circuit Court,Boone (20Th Circuit),John Jeffrey Edens,Republican,21953
Brown,President,Statewide,Barack Obama,Democratic,3060
Brown,President,Statewide,Gary Johnson,None,204
Brown,President,Statewide,Mitt Romney,None,4332
Brown,President,Statewide,"Virgil H Goode, Jr.",None,1
Brown,President,Statewide,Dennis Knill,None,0
Brown,President,Statewide,Stephen Durham,None,0
Brown,President,Statewide,Christina Lopez,None,0
Brown,President,Statewide,Jill Stein,None,7
Brown,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Brown,President,Statewide,Paul Chehade,None,0
Brown,President,Statewide,Richard Duncan,None,0
Brown,President,Statewide,Tom Hoefling,None,0
Brown,President,Statewide,Terry Dale Jones,None,0
Brown,President,Statewide,Nelson Keyton,None,0
Brown,President,Statewide,Jill Reed,None,0
Brown,President,Statewide,"Michael A Simoneux, Jr.",None,0
Brown,President,Statewide,Randall A Terry,None,0
Brown,President,Statewide,"John A Dummett, Jr.",None,0
Brown,President,Statewide,Stewart Alexander,None,0
Brown,United States Senator,Statewide,Joseph Donnelly,Democratic,3476
Brown,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,549
Brown,United States Senator,Statewide,Richard E Mourdock,None,3544
Brown,United States Senator,Statewide,Amy J Willis,None,0
Brown,United States Senator,Statewide,James L Johnson Junior,None,0
Brown,Governor,Statewide,John R Gregg,Democratic,3409
Brown,Governor,Statewide,Rupert Boneham,None,456
Brown,Governor,Statewide,Michael R Pence,None,3774
Brown,Governor,Statewide,Donnie Harold Harris,None,0
Brown,Attorney General,Statewide,Kay Fleming,Democratic,2893
Brown,Attorney General,Statewide,Greg Zoeller,None,4518
Brown,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,3478
Brown,Superintendent of Public Instruction,Statewide,Tony Bennett,None,3955
Brown,United States Representative,9,Shelli Yoder,Democratic,3397
Brown,United States Representative,9,Todd Young,None,4180
Brown,State Senator,44,Brent Ellis Steele,Republican,5060
Brown,State Representative,65,Al Cox,Libertarian,1363
Brown,State Representative,65,Eric A Koch,None,4714
Brown,Judge of the Circuit Court,Brown (88Th Circuit),Judith A Stewart,Democratic,5452
Carroll,President,Statewide,Barack Obama,Democratic,2635
Carroll,President,Statewide,Gary Johnson,None,169
Carroll,President,Statewide,Mitt Romney,None,4999
Carroll,President,Statewide,"Virgil H Goode, Jr.",None,1
Carroll,President,Statewide,Dennis Knill,None,0
Carroll,President,Statewide,Stephen Durham,None,0
Carroll,President,Statewide,Christina Lopez,None,0
Carroll,President,Statewide,Jill Stein,None,6
Carroll,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Carroll,President,Statewide,Paul Chehade,None,0
Carroll,President,Statewide,Richard Duncan,None,0
Carroll,President,Statewide,Tom Hoefling,None,0
Carroll,President,Statewide,Terry Dale Jones,None,0
Carroll,President,Statewide,Nelson Keyton,None,0
Carroll,President,Statewide,Jill Reed,None,0
Carroll,President,Statewide,"Michael A Simoneux, Jr.",None,0
Carroll,President,Statewide,Randall A Terry,None,0
Carroll,President,Statewide,"John A Dummett, Jr.",None,0
Carroll,President,Statewide,Stewart Alexander,None,0
Carroll,United States Senator,Statewide,Joseph Donnelly,Democratic,3194
Carroll,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,637
Carroll,United States Senator,Statewide,Richard E Mourdock,None,3916
Carroll,United States Senator,Statewide,Amy J Willis,None,0
Carroll,United States Senator,Statewide,James L Johnson Junior,None,0
Carroll,Governor,Statewide,John R Gregg,Democratic,3136
Carroll,Governor,Statewide,Rupert Boneham,None,471
Carroll,Governor,Statewide,Michael R Pence,None,4169
Carroll,Governor,Statewide,Donnie Harold Harris,None,0
Carroll,Attorney General,Statewide,Kay Fleming,Democratic,2510
Carroll,Attorney General,Statewide,Greg Zoeller,None,5083
Carroll,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,3829
Carroll,Superintendent of Public Instruction,Statewide,Tony Bennett,None,3873
Carroll,United States Representative,4,Tara E Nelson,Democratic,2445
Carroll,United States Representative,4,Benjamin J Gehlhausen,None,306
Carroll,United States Representative,4,Theodore E Rokita,None,4910
Carroll,State Senator,7,Bradley Thompson,Democratic,1806
Carroll,State Senator,7,Brandt Hershman,None,3288
Carroll,State Senator,18,Randall Head,None,1841
Carroll,State Representative,25,Shane Michael Evans,Democratic,1990
Carroll,State Representative,25,Donald J Lehe,None,2537
Carroll,State Representative,38,Heath Vannatter,None,2470
Carroll,Judge of the Circuit Court,Carroll (74Th Circuit),Benjamin A Diener,Republican,4744
Carroll,Judge of the Circuit Court,Carroll (74Th Circuit),Nicholas C Mcleland,None,2536
Cass,President,Statewide,Barack Obama,Democratic,5371
Cass,President,Statewide,Gary Johnson,None,341
Cass,President,Statewide,Mitt Romney,None,8443
Cass,President,Statewide,"Virgil H Goode, Jr.",None,0
Cass,President,Statewide,Dennis Knill,None,0
Cass,President,Statewide,Stephen Durham,None,0
Cass,President,Statewide,Christina Lopez,None,0
Cass,President,Statewide,Jill Stein,None,6
Cass,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Cass,President,Statewide,Paul Chehade,None,0
Cass,President,Statewide,Richard Duncan,None,0
Cass,President,Statewide,Tom Hoefling,None,0
Cass,President,Statewide,Terry Dale Jones,None,0
Cass,President,Statewide,Nelson Keyton,None,0
Cass,President,Statewide,Jill Reed,None,0
Cass,President,Statewide,"Michael A Simoneux, Jr.",None,0
Cass,President,Statewide,Randall A Terry,None,0
Cass,President,Statewide,"John A Dummett, Jr.",None,0
Cass,President,Statewide,Stewart Alexander,None,0
Cass,United States Senator,Statewide,Joseph Donnelly,Democratic,6323
Cass,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,1135
Cass,United States Senator,Statewide,Richard E Mourdock,None,6622
Cass,United States Senator,Statewide,Amy J Willis,None,0
Cass,United States Senator,Statewide,James L Johnson Junior,None,0
Cass,Governor,Statewide,John R Gregg,Democratic,6253
Cass,Governor,Statewide,Rupert Boneham,None,805
Cass,Governor,Statewide,Michael R Pence,None,7114
Cass,Governor,Statewide,Donnie Harold Harris,None,0
Cass,Attorney General,Statewide,Kay Fleming,Democratic,5363
Cass,Attorney General,Statewide,Greg Zoeller,None,8429
Cass,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,7378
Cass,Superintendent of Public Instruction,Statewide,Tony Bennett,None,6539
Cass,United States Representative,4,Tara E Nelson,Democratic,5277
Cass,United States Representative,4,Benjamin J Gehlhausen,None,587
Cass,United States Representative,4,Theodore E Rokita,None,8058
Cass,State Senator,18,Randall Head,Republican,10565
Cass,State Representative,23,Kerry Worthington,Democratic,3170
Cass,State Representative,23,William C Friend,None,6305
Cass,State Representative,25,Shane Michael Evans,None,764
Cass,State Representative,25,Donald J Lehe,None,1185
Cass,State Representative,38,Heath Vannatter,None,1735
Cass,Judge of the Circuit Court,Cass (29Th Circuit),Leo T Burns,Democratic,7728
Cass,Judge of the Circuit Court,Cass (29Th Circuit),Douglas A Cox,None,6429
Cass,Judge of the Superior Court,"Cass County, Court 2",Richard Allen Maughmer,Republican,10909
Clark,President,Statewide,Barack Obama,Democratic,20807
Clark,President,Statewide,Gary Johnson,None,866
Clark,President,Statewide,Mitt Romney,None,25450
Clark,President,Statewide,"Virgil H Goode, Jr.",None,7
Clark,President,Statewide,Dennis Knill,None,6
Clark,President,Statewide,Stephen Durham,None,0
Clark,President,Statewide,Christina Lopez,None,0
Clark,President,Statewide,Jill Stein,None,10
Clark,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Clark,President,Statewide,Paul Chehade,None,0
Clark,President,Statewide,Richard Duncan,None,0
Clark,President,Statewide,Tom Hoefling,None,0
Clark,President,Statewide,Terry Dale Jones,None,0
Clark,President,Statewide,Nelson Keyton,None,0
Clark,President,Statewide,Jill Reed,None,0
Clark,President,Statewide,"Michael A Simoneux, Jr.",None,0
Clark,President,Statewide,Randall A Terry,None,0
Clark,President,Statewide,"John A Dummett, Jr.",None,0
Clark,President,Statewide,Stewart Alexander,None,0
Clark,United States Senator,Statewide,Joseph Donnelly,Democratic,22776
Clark,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,2262
Clark,United States Senator,Statewide,Richard E Mourdock,None,21120
Clark,United States Senator,Statewide,Amy J Willis,None,0
Clark,United States Senator,Statewide,James L Johnson Junior,None,0
Clark,Governor,Statewide,John R Gregg,Democratic,20134
Clark,Governor,Statewide,Rupert Boneham,None,1549
Clark,Governor,Statewide,Michael R Pence,None,24343
Clark,Governor,Statewide,Donnie Harold Harris,None,0
Clark,Attorney General,Statewide,Kay Fleming,Democratic,19249
Clark,Attorney General,Statewide,Greg Zoeller,None,25785
Clark,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,22160
Clark,Superintendent of Public Instruction,Statewide,Tony Bennett,None,23246
Clark,United States Representative,9,Shelli Yoder,Democratic,22549
Clark,United States Representative,9,Todd Young,None,23596
Clark,State Representative,66,Terry A Goodin,Democratic,4028
Clark,State Representative,66,Justin Stevens,None,4332
Clark,State Representative,70,Terry L Miller,None,2915
Clark,State Representative,70,Rhonda Rhoads,None,5354
Clark,State Representative,71,Steven R Stemler,None,19390
Clark,State Representative,73,Sandra Blanton,None,1072
Clark,State Representative,73,Steve Davisson,None,1783
Clark,Judge of the Circuit Court,"Clark (4Th Circt), No. 1",Vicki L Carmichael,Democratic,31508
Clay,President,Statewide,Barack Obama,Democratic,3460
Clay,President,Statewide,Gary Johnson,None,227
Clay,President,Statewide,Mitt Romney,None,7096
Clay,President,Statewide,"Virgil H Goode, Jr.",None,0
Clay,President,Statewide,Dennis Knill,None,0
Clay,President,Statewide,Stephen Durham,None,0
Clay,President,Statewide,Christina Lopez,None,0
Clay,President,Statewide,Jill Stein,None,1
Clay,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Clay,President,Statewide,Paul Chehade,None,0
Clay,President,Statewide,Richard Duncan,None,0
Clay,President,Statewide,Tom Hoefling,None,0
Clay,President,Statewide,Terry Dale Jones,None,0
Clay,President,Statewide,Nelson Keyton,None,0
Clay,President,Statewide,Jill Reed,None,0
Clay,President,Statewide,"Michael A Simoneux, Jr.",None,0
Clay,President,Statewide,Randall A Terry,None,0
Clay,President,Statewide,"John A Dummett, Jr.",None,0
Clay,President,Statewide,Stewart Alexander,None,0
Clay,United States Senator,Statewide,Joseph Donnelly,Democratic,4359
Clay,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,733
Clay,United States Senator,Statewide,Richard E Mourdock,None,5192
Clay,United States Senator,Statewide,Amy J Willis,None,1
Clay,United States Senator,Statewide,James L Johnson Junior,None,0
Clay,Governor,Statewide,John R Gregg,Democratic,4765
Clay,Governor,Statewide,Rupert Boneham,None,566
Clay,Governor,Statewide,Michael R Pence,None,5547
Clay,Governor,Statewide,Donnie Harold Harris,None,0
Clay,Attorney General,Statewide,Kay Fleming,Democratic,3682
Clay,Attorney General,Statewide,Greg Zoeller,None,6763
Clay,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,5629
Clay,Superintendent of Public Instruction,Statewide,Tony Bennett,None,4958
Clay,United States Representative,8,Dave Crooks,Democratic,3831
Clay,United States Representative,8,Bart Gadau,None,443
Clay,United States Representative,8,Larry D Bucshon,None,6364
Clay,State Representative,42,Mark C Spelbring,Democratic,2532
Clay,State Representative,42,Alan P Morrison,None,2891
Clay,State Representative,44,Richard Thompson,None,1045
Clay,State Representative,44,James R Baird,None,1414
Clay,State Representative,46,James R Mann Ii,None,1001
Clay,State Representative,46,Bob Heaton,None,1879
Clay,Judge of the Circuit Court,Clay (13Th Circuit),Joseph D Trout,Democratic,6433
Clay,Judge of the Circuit Court,Clay (13Th Circuit),James E Deal,None,4288
Clay,Judge of the Superior Court,Clay County,J Akers,Democratic,5519
Clay,Judge of the Superior Court,Clay County,Robert Alex Pell,None,5235
Clinton,President,Statewide,Barack Obama,Democratic,3308
Clinton,President,Statewide,Gary Johnson,None,234
Clinton,President,Statewide,Mitt Romney,None,6338
Clinton,President,Statewide,"Virgil H Goode, Jr.",None,2
Clinton,President,Statewide,Dennis Knill,None,0
Clinton,President,Statewide,Stephen Durham,None,0
Clinton,President,Statewide,Christina Lopez,None,0
Clinton,President,Statewide,Jill Stein,None,1
Clinton,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Clinton,President,Statewide,Paul Chehade,None,0
Clinton,President,Statewide,Richard Duncan,None,0
Clinton,President,Statewide,Tom Hoefling,None,0
Clinton,President,Statewide,Terry Dale Jones,None,0
Clinton,President,Statewide,Nelson Keyton,None,0
Clinton,President,Statewide,Jill Reed,None,0
Clinton,President,Statewide,"Michael A Simoneux, Jr.",None,0
Clinton,President,Statewide,Randall A Terry,None,0
Clinton,President,Statewide,"John A Dummett, Jr.",None,0
Clinton,President,Statewide,Stewart Alexander,None,0
Clinton,United States Senator,Statewide,Joseph Donnelly,Democratic,3931
Clinton,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,832
Clinton,United States Senator,Statewide,Richard E Mourdock,None,4938
Clinton,United States Senator,Statewide,Amy J Willis,None,0
Clinton,United States Senator,Statewide,James L Johnson Junior,None,0
Clinton,Governor,Statewide,John R Gregg,Democratic,3876
