candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
Joselyn Whitticker,Auditor of State,,D,Adams,04-Blue Creek,9,7,0,16,
John Schick,Auditor of State,,L,Adams,04-Blue Creek,2,0,0,2,
Kelly Mitchell,Treasurer of State,,R,Adams,04-Blue Creek,104,53,0,157,
John C. Aguilera,Treasurer of State,,D,Adams,04-Blue Creek,9,8,0,17,
Jim Banks,U S House,3,R,Adams,04-Blue Creek,101,57,0,158,
Courtney Tritch,U S House,3,D,Adams,04-Blue Creek,15,6,0,21,
Write in,U S House,3,,Adams,04-Blue Creek,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,04-Blue Creek,108,54,0,162,
Matthew S Lehman,State Representative ,79,R,Adams,04-Blue Creek,110,57,0,167,
,Registered Voters,,,Adams,05-Decatur 1,,,,1540,
,Ballots Cast,,,Adams,05-Decatur 1,,,,390,
Mike Braun,U.S. Senate,,R,Adams,05-Decatur 1,234,209,0,443,
Joe Donnelly,U.S. Senate,,D,Adams,05-Decatur 1,126,185,0,311,
Lucy M Brenton,U.S. Senate,,L,Adams,05-Decatur 1,25,32,0,57,
Write in,U.S. Senate,,,Adams,05-Decatur 1,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,05-Decatur 1,250,245,0,495,
Jim Harper,Secretary of State,,D,Adams,05-Decatur 1,103,148,0,251,
Mark W. Rutherford,Secretary of State,,L,Adams,05-Decatur 1,23,17,0,40,
Write in,Secretary of State,,,Adams,05-Decatur 1,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,05-Decatur 1,241,232,0,473,
Joselyn Whitticker,Auditor of State,,D,Adams,05-Decatur 1,114,159,0,273,
John Schick,Auditor of State,,L,Adams,05-Decatur 1,19,18,0,37,
Kelly Mitchell,Treasurer of State,,R,Adams,05-Decatur 1,254,249,0,503,
John C. Aguilera,Treasurer of State,,D,Adams,05-Decatur 1,115,158,0,273,
Jim Banks,U S House,3,R,Adams,05-Decatur 1,256,252,0,508,
Courtney Tritch,U S House,3,D,Adams,05-Decatur 1,130,177,0,307,
Write in,U S House,3,,Adams,05-Decatur 1,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,05-Decatur 1,313,302,0,615,
Matthew S Lehman,State Representative ,79,R,Adams,05-Decatur 1,316,310,0,626,
,Registered Voters,,,Adams,06-Decatur 2,,,,1550,
,Ballots Cast,,,Adams,06-Decatur 2,,,,402,
Mike Braun,U.S. Senate,,R,Adams,06-Decatur 2,215,210,0,425,
Joe Donnelly,U.S. Senate,,D,Adams,06-Decatur 2,151,174,0,325,
Lucy M Brenton,U.S. Senate,,L,Adams,06-Decatur 2,30,16,0,46,
Write in,U.S. Senate,,,Adams,06-Decatur 2,0,1,0,1,
Connie Lawson,Secretary of State,,R,Adams,06-Decatur 2,245,231,0,476,
Jim Harper,Secretary of State,,D,Adams,06-Decatur 2,124,145,0,269,
Mark W. Rutherford,Secretary of State,,L,Adams,06-Decatur 2,22,14,0,36,
Write in,Secretary of State,,,Adams,06-Decatur 2,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,06-Decatur 2,231,214,0,445,
Joselyn Whitticker,Auditor of State,,D,Adams,06-Decatur 2,137,158,0,295,
John Schick,Auditor of State,,L,Adams,06-Decatur 2,20,14,0,34,
Kelly Mitchell,Treasurer of State,,R,Adams,06-Decatur 2,247,238,0,485,
John C. Aguilera,Treasurer of State,,D,Adams,06-Decatur 2,137,148,0,285,
Jim Banks,U S House,3,R,Adams,06-Decatur 2,257,229,0,486,
Courtney Tritch,U S House,3,D,Adams,06-Decatur 2,139,164,0,303,
Write in,U S House,3,,Adams,06-Decatur 2,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,06-Decatur 2,306,290,0,596,
Matthew S Lehman,State Representative ,79,R,Adams,06-Decatur 2,310,291,0,601,
,Registered Voters,,,Adams,07-Decatur 3,,,,908,
,Ballots Cast,,,Adams,07-Decatur 3,,,,222,
Mike Braun,U.S. Senate,,R,Adams,07-Decatur 3,129,88,0,217,
Joe Donnelly,U.S. Senate,,D,Adams,07-Decatur 3,79,83,0,162,
Lucy M Brenton,U.S. Senate,,L,Adams,07-Decatur 3,11,20,0,31,
Write in,U.S. Senate,,,Adams,07-Decatur 3,1,0,0,1,
Connie Lawson,Secretary of State,,R,Adams,07-Decatur 3,143,104,0,247,
Jim Harper,Secretary of State,,D,Adams,07-Decatur 3,62,74,0,136,
Mark W. Rutherford,Secretary of State,,L,Adams,07-Decatur 3,7,12,0,19,
Write in,Secretary of State,,,Adams,07-Decatur 3,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,07-Decatur 3,134,100,0,234,
Joselyn Whitticker,Auditor of State,,D,Adams,07-Decatur 3,69,80,0,149,
John Schick,Auditor of State,,L,Adams,07-Decatur 3,8,7,0,15,
Kelly Mitchell,Treasurer of State,,R,Adams,07-Decatur 3,144,116,0,260,
John C. Aguilera,Treasurer of State,,D,Adams,07-Decatur 3,67,71,0,138,
Jim Banks,U S House,3,R,Adams,07-Decatur 3,144,113,0,257,
Courtney Tritch,U S House,3,D,Adams,07-Decatur 3,74,80,0,154,
Write in,U S House,3,,Adams,07-Decatur 3,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,07-Decatur 3,170,143,0,313,
Matthew S Lehman,State Representative ,79,R,Adams,07-Decatur 3,163,141,0,304,
,Registered Voters,,,Adams,08-Decatur 4,,,,766,
,Ballots Cast,,,Adams,08-Decatur 4,,,,235,
Mike Braun,U.S. Senate,,R,Adams,08-Decatur 4,143,163,0,306,
Joe Donnelly,U.S. Senate,,D,Adams,08-Decatur 4,78,105,0,183,
Lucy M Brenton,U.S. Senate,,L,Adams,08-Decatur 4,9,10,0,19,
Write in,U.S. Senate,,,Adams,08-Decatur 4,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,08-Decatur 4,171,179,0,350,
Jim Harper,Secretary of State,,D,Adams,08-Decatur 4,54,94,0,148,
Mark W. Rutherford,Secretary of State,,L,Adams,08-Decatur 4,2,1,0,3,
Write in,Secretary of State,,,Adams,08-Decatur 4,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,08-Decatur 4,153,173,0,329,
Joselyn Whitticker,Auditor of State,,D,Adams,08-Decatur 4,60,97,0,157,
John Schick,Auditor of State,,L,Adams,08-Decatur 4,6,4,0,10,
Kelly Mitchell,Treasurer of State,,R,Adams,08-Decatur 4,161,181,0,342,
John C. Aguilera,Treasurer of State,,D,Adams,08-Decatur 4,62,92,0,154,
Jim Banks,U S House,3,R,Adams,08-Decatur 4,170,187,0,357,
Courtney Tritch,U S House,3,D,Adams,08-Decatur 4,60,94,0,154,
Write in,U S House,3,,Adams,08-Decatur 4,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,08-Decatur 4,188,210,0,398,
Matthew S Lehman,State Representative ,79,R,Adams,08-Decatur 4,192,212,0,404,
,Registered Voters,,,Adams,09-Decatur 5,,,,1552,
,Ballots Cast,,,Adams,09-Decatur 5,,,,420,
Mike Braun,U.S. Senate,,R,Adams,09-Decatur 5,233,199,0,432,
Joe Donnelly,U.S. Senate,,D,Adams,09-Decatur 5,150,189,0,339,
Lucy M Brenton,U.S. Senate,,L,Adams,09-Decatur 5,31,15,0,46,
Write in,U.S. Senate,,,Adams,09-Decatur 5,0,1,0,1,
Connie Lawson,Secretary of State,,R,Adams,09-Decatur 5,267,221,0,488,
Jim Harper,Secretary of State,,D,Adams,09-Decatur 5,123,172,0,295,
Mark W. Rutherford,Secretary of State,,L,Adams,09-Decatur 5,13,8,0,21,
Write in,Secretary of State,,,Adams,09-Decatur 5,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,09-Decatur 5,249,212,0,461,
Joselyn Whitticker,Auditor of State,,D,Adams,09-Decatur 5,134,174,0,308,
John Schick,Auditor of State,,L,Adams,09-Decatur 5,19,12,0,31,
Kelly Mitchell,Treasurer of State,,R,Adams,09-Decatur 5,277,219,0,496,
John C. Aguilera,Treasurer of State,,D,Adams,09-Decatur 5,125,178,0,303,
Jim Banks,U S House,3,R,Adams,09-Decatur 5,276,228,0,504,
Courtney Tritch,U S House,3,D,Adams,09-Decatur 5,137,173,0,310,
Write in,U S House,3,,Adams,09-Decatur 5,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,09-Decatur 5,325,289,0,614,
Matthew S Lehman,State Representative ,79,R,Adams,09-Decatur 5,333,292,0,625,
,Registered Voters,,,Adams,10-East Root,,,,1148,
,Ballots Cast,,,Adams,10-East Root,,,,337,
Mike Braun,U.S. Senate,,R,Adams,10-East Root,228,203,0,431,
Joe Donnelly,U.S. Senate,,D,Adams,10-East Root,88,141,0,229,
Lucy M Brenton,U.S. Senate,,L,Adams,10-East Root,16,10,0,26,
Write in,U.S. Senate,,,Adams,10-East Root,0,1,0,1,
Connie Lawson,Secretary of State,,R,Adams,10-East Root,231,223,0,454,
Jim Harper,Secretary of State,,D,Adams,10-East Root,76,121,0,197,
Mark W. Rutherford,Secretary of State,,L,Adams,10-East Root,17,7,0,24,
Write in,Secretary of State,,,Adams,10-East Root,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,10-East Root,228,224,0,452,
Joselyn Whitticker,Auditor of State,,D,Adams,10-East Root,81,115,0,196,
John Schick,Auditor of State,,L,Adams,10-East Root,13,6,0,19,
Kelly Mitchell,Treasurer of State,,R,Adams,10-East Root,239,230,0,469,
John C. Aguilera,Treasurer of State,,D,Adams,10-East Root,81,116,0,197,
Jim Banks,U S House,3,R,Adams,10-East Root,249,238,0,487,
Courtney Tritch,U S House,3,D,Adams,10-East Root,86,120,0,206,
Write in,U S House,3,,Adams,10-East Root,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,10-East Root,287,266,0,553,
Matthew S Lehman,State Representative ,79,R,Adams,10-East Root,288,272,0,560,
,Registered Voters,,,Adams,11-French,,,,484,
,Ballots Cast,,,Adams,11-French,,,,229,
Mike Braun,U.S. Senate,,R,Adams,11-French,200,82,0,282,
Joe Donnelly,U.S. Senate,,D,Adams,11-French,26,18,0,44,
Lucy M Brenton,U.S. Senate,,L,Adams,11-French,2,0,0,2,
Write in,U.S. Senate,,,Adams,11-French,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,11-French,205,83,0,288,
Jim Harper,Secretary of State,,D,Adams,11-French,19,18,0,37,
Mark W. Rutherford,Secretary of State,,L,Adams,11-French,2,2,0,4,
Write in,Secretary of State,,,Adams,11-French,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,11-French,207,82,0,289,
Joselyn Whitticker,Auditor of State,,D,Adams,11-French,19,19,0,38,
John Schick,Auditor of State,,L,Adams,11-French,1,2,0,3,
Kelly Mitchell,Treasurer of State,,R,Adams,11-French,208,82,0,290,
John C. Aguilera,Treasurer of State,,D,Adams,11-French,19,21,0,40,
Jim Banks,U S House,3,R,Adams,11-French,204,85,0,289,
Courtney Tritch,U S House,3,D,Adams,11-French,24,16,0,40,
Write in,U S House,3,,Adams,11-French,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,11-French,212,88,0,300,
Matthew S Lehman,State Representative ,79,R,Adams,11-French,218,89,0,307,
,Registered Voters,,,Adams,12-Geneva,,,,755,
,Ballots Cast,,,Adams,12-Geneva,,,,353,
Mike Braun,U.S. Senate,,R,Adams,12-Geneva,234,41,0,275,
Joe Donnelly,U.S. Senate,,D,Adams,12-Geneva,98,25,0,123,
Lucy M Brenton,U.S. Senate,,L,Adams,12-Geneva,15,5,0,20,
Write in,U.S. Senate,,,Adams,12-Geneva,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,12-Geneva,253,48,0,301,
Jim Harper,Secretary of State,,D,Adams,12-Geneva,77,24,0,101,
Mark W. Rutherford,Secretary of State,,L,Adams,12-Geneva,11,1,0,12,
Write in,Secretary of State,,,Adams,12-Geneva,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,12-Geneva,241,46,0,287,
Joselyn Whitticker,Auditor of State,,D,Adams,12-Geneva,87,26,0,113,
John Schick,Auditor of State,,L,Adams,12-Geneva,10,1,0,11,
Kelly Mitchell,Treasurer of State,,R,Adams,12-Geneva,259,47,0,306,
John C. Aguilera,Treasurer of State,,D,Adams,12-Geneva,79,25,0,104,
Jim Banks,U S House,3,R,Adams,12-Geneva,257,45,0,302,
Courtney Tritch,U S House,3,D,Adams,12-Geneva,91,27,0,118,
Write in,U S House,3,,Adams,12-Geneva,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,12-Geneva,283,51,0,334,
Matthew S Lehman,State Representative ,79,R,Adams,12-Geneva,289,52,0,341,
,Registered Voters,,,Adams,13-Hartford,,,,441,
,Ballots Cast,,,Adams,13-Hartford,,,,188,
Mike Braun,U.S. Senate,,R,Adams,13-Hartford,147,81,0,228,
Joe Donnelly,U.S. Senate,,D,Adams,13-Hartford,31,19,0,50,
Lucy M Brenton,U.S. Senate,,L,Adams,13-Hartford,6,1,0,7,
Write in,U.S. Senate,,,Adams,13-Hartford,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,13-Hartford,157,82,0,239,
Jim Harper,Secretary of State,,D,Adams,13-Hartford,24,17,0,41,
Mark W. Rutherford,Secretary of State,,L,Adams,13-Hartford,2,2,0,4,
Write in,Secretary of State,,,Adams,13-Hartford,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,13-Hartford,152,82,0,234,
Joselyn Whitticker,Auditor of State,,D,Adams,13-Hartford,29,15,0,44,
John Schick,Auditor of State,,L,Adams,13-Hartford,2,4,0,6,
Kelly Mitchell,Treasurer of State,,R,Adams,13-Hartford,159,87,0,246,
John C. Aguilera,Treasurer of State,,D,Adams,13-Hartford,24,13,0,37,
Jim Banks,U S House,3,R,Adams,13-Hartford,160,85,0,245,
Courtney Tritch,U S House,3,D,Adams,13-Hartford,27,15,0,42,
Write in,U S House,3,,Adams,13-Hartford,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,13-Hartford,168,93,0,261,
Matthew S Lehman,State Representative ,79,R,Adams,13-Hartford,170,97,0,267,
,Registered Voters,,,Adams,14-Jefferson,,,,216,
,Ballots Cast,,,Adams,14-Jefferson,,,,111,
Mike Braun,U.S. Senate,,R,Adams,14-Jefferson,90,27,0,117,
Joe Donnelly,U.S. Senate,,D,Adams,14-Jefferson,19,8,0,27,
Lucy M Brenton,U.S. Senate,,L,Adams,14-Jefferson,2,0,0,2,
Write in,U.S. Senate,,,Adams,14-Jefferson,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,14-Jefferson,96,28,0,124,
Jim Harper,Secretary of State,,D,Adams,14-Jefferson,11,7,0,18,
Mark W. Rutherford,Secretary of State,,L,Adams,14-Jefferson,2,0,0,2,
Write in,Secretary of State,,,Adams,14-Jefferson,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,14-Jefferson,86,29,0,115,
Joselyn Whitticker,Auditor of State,,D,Adams,14-Jefferson,19,6,0,25,
John Schick,Auditor of State,,L,Adams,14-Jefferson,2,0,0,2,
Kelly Mitchell,Treasurer of State,,R,Adams,14-Jefferson,93,29,0,122,
John C. Aguilera,Treasurer of State,,D,Adams,14-Jefferson,14,6,0,20,
Jim Banks,U S House,3,R,Adams,14-Jefferson,93,28,0,121,
Courtney Tritch,U S House,3,D,Adams,14-Jefferson,15,7,0,22,
Write in,U S House,3,,Adams,14-Jefferson,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,14-Jefferson,99,30,0,129,
Matthew S Lehman,State Representative ,79,R,Adams,14-Jefferson,100,30,0,130,
,Registered Voters,,,Adams,15-Kirkland,,,,590,
,Ballots Cast,,,Adams,15-Kirkland,,,,271,
Mike Braun,U.S. Senate,,R,Adams,15-Kirkland,224,107,0,331,
Joe Donnelly,U.S. Senate,,D,Adams,15-Kirkland,38,34,0,72,
Lucy M Brenton,U.S. Senate,,L,Adams,15-Kirkland,7,9,0,16,
Write in,U.S. Senate,,,Adams,15-Kirkland,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,15-Kirkland,232,120,0,352,
Jim Harper,Secretary of State,,D,Adams,15-Kirkland,25,23,0,48,
Mark W. Rutherford,Secretary of State,,L,Adams,15-Kirkland,7,4,0,11,
Write in,Secretary of State,,,Adams,15-Kirkland,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,15-Kirkland,230,111,0,341,
Joselyn Whitticker,Auditor of State,,D,Adams,15-Kirkland,27,29,0,56,
John Schick,Auditor of State,,L,Adams,15-Kirkland,5,3,0,8,
Kelly Mitchell,Treasurer of State,,R,Adams,15-Kirkland,236,117,0,353,
John C. Aguilera,Treasurer of State,,D,Adams,15-Kirkland,25,26,0,51,
Jim Banks,U S House,3,R,Adams,15-Kirkland,239,126,0,365,
Courtney Tritch,U S House,3,D,Adams,15-Kirkland,30,25,0,55,
Write in,U S House,3,,Adams,15-Kirkland,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,15-Kirkland,246,127,0,373,
Matthew S Lehman,State Representative ,79,R,Adams,15-Kirkland,246,130,0,376,
,Registered Voters,,,Adams,16-Monroe A,,,,111,
,Ballots Cast,,,Adams,16-Monroe A,,,,43,
Mike Braun,U.S. Senate,,R,Adams,16-Monroe A,30,18,0,48,
Joe Donnelly,U.S. Senate,,D,Adams,16-Monroe A,11,7,0,18,
Lucy M Brenton,U.S. Senate,,L,Adams,16-Monroe A,1,0,0,1,
Write in,U.S. Senate,,,Adams,16-Monroe A,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,16-Monroe A,29,17,0,46,
Jim Harper,Secretary of State,,D,Adams,16-Monroe A,11,6,0,17,
Mark W. Rutherford,Secretary of State,,L,Adams,16-Monroe A,1,2,0,3,
Write in,Secretary of State,,,Adams,16-Monroe A,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,16-Monroe A,29,17,0,46,
Joselyn Whitticker,Auditor of State,,D,Adams,16-Monroe A,10,6,0,16,
John Schick,Auditor of State,,L,Adams,16-Monroe A,3,2,0,5,
Kelly Mitchell,Treasurer of State,,R,Adams,16-Monroe A,32,20,0,52,
John C. Aguilera,Treasurer of State,,D,Adams,16-Monroe A,9,5,0,14,
Jim Banks,U S House,3,R,Adams,16-Monroe A,32,19,0,51,
Courtney Tritch,U S House,3,D,Adams,16-Monroe A,10,6,0,16,
Write in,U S House,3,,Adams,16-Monroe A,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,16-Monroe A,37,18,0,55,
Matthew S Lehman,State Representative ,79,R,Adams,16-Monroe A,39,20,0,59,
,Registered Voters,,,Adams,17-Monroe B,,,,467,
,Ballots Cast,,,Adams,17-Monroe B,,,,225,
Mike Braun,U.S. Senate,,R,Adams,17-Monroe B,134,55,0,189,
Joe Donnelly,U.S. Senate,,D,Adams,17-Monroe B,76,32,0,108,
Lucy M Brenton,U.S. Senate,,L,Adams,17-Monroe B,14,1,0,15,
Write in,U.S. Senate,,,Adams,17-Monroe B,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,17-Monroe B,157,62,0,219,
Jim Harper,Secretary of State,,D,Adams,17-Monroe B,51,18,0,69,
Mark W. Rutherford,Secretary of State,,L,Adams,17-Monroe B,12,4,0,16,
Write in,Secretary of State,,,Adams,17-Monroe B,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,17-Monroe B,155,62,0,217,
Joselyn Whitticker,Auditor of State,,D,Adams,17-Monroe B,52,18,0,70,
John Schick,Auditor of State,,L,Adams,17-Monroe B,10,4,0,14,
Kelly Mitchell,Treasurer of State,,R,Adams,17-Monroe B,167,66,0,233,
John C. Aguilera,Treasurer of State,,D,Adams,17-Monroe B,52,18,0,70,
Jim Banks,U S House,3,R,Adams,17-Monroe B,168,64,0,232,
Courtney Tritch,U S House,3,D,Adams,17-Monroe B,55,24,0,79,
Write in,U S House,3,,Adams,17-Monroe B,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,17-Monroe B,183,71,0,254,
Matthew S Lehman,State Representative ,79,R,Adams,17-Monroe B,186,71,0,257,
,Registered Voters,,,Adams,18-North Washington,,,,438,
,Ballots Cast,,,Adams,18-North Washington,,,,152,
Mike Braun,U.S. Senate,,R,Adams,18-North Washington,110,83,0,193,
Joe Donnelly,U.S. Senate,,D,Adams,18-North Washington,32,28,0,60,
Lucy M Brenton,U.S. Senate,,L,Adams,18-North Washington,9,6,0,15,
Write in,U.S. Senate,,,Adams,18-North Washington,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,18-North Washington,113,90,0,203,
Jim Harper,Secretary of State,,D,Adams,18-North Washington,35,24,0,59,
Mark W. Rutherford,Secretary of State,,L,Adams,18-North Washington,1,5,0,6,
Write in,Secretary of State,,,Adams,18-North Washington,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,18-North Washington,105,85,0,190,
Joselyn Whitticker,Auditor of State,,D,Adams,18-North Washington,35,26,0,61,
John Schick,Auditor of State,,L,Adams,18-North Washington,5,5,0,10,
Kelly Mitchell,Treasurer of State,,R,Adams,18-North Washington,118,92,0,210,
John C. Aguilera,Treasurer of State,,D,Adams,18-North Washington,28,25,0,53,
Jim Banks,U S House,3,R,Adams,18-North Washington,122,94,0,216,
Courtney Tritch,U S House,3,D,Adams,18-North Washington,30,25,0,55,
Write in,U S House,3,,Adams,18-North Washington,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,18-North Washington,132,102,0,234,
Matthew S Lehman,State Representative ,79,R,Adams,18-North Washington,138,102,0,240,
,Registered Voters,,,Adams,19-Preble,,,,768,
,Ballots Cast,,,Adams,19-Preble,,,,268,
Mike Braun,U.S. Senate,,R,Adams,19-Preble,191,149,0,340,
Joe Donnelly,U.S. Senate,,D,Adams,19-Preble,61,63,0,124,
Lucy M Brenton,U.S. Senate,,L,Adams,19-Preble,13,10,0,23,
Write in,U.S. Senate,,,Adams,19-Preble,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,19-Preble,199,158,0,357,
Jim Harper,Secretary of State,,D,Adams,19-Preble,51,55,0,106,
Mark W. Rutherford,Secretary of State,,L,Adams,19-Preble,10,3,0,13,
Write in,Secretary of State,,,Adams,19-Preble,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,19-Preble,195,147,0,342,
Joselyn Whitticker,Auditor of State,,D,Adams,19-Preble,53,57,0,110,
John Schick,Auditor of State,,L,Adams,19-Preble,9,9,0,18,
Kelly Mitchell,Treasurer of State,,R,Adams,19-Preble,210,162,0,372,
