candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
,Straight Party,,D,Monroe,Benton 01,98,0,77,175
,Straight Party,,R,Monroe,Benton 01,68,0,103,171
,Straight Party,,L,Monroe,Benton 01,0,0,2,2
Joe Donnelly,U.S. Senate,,D,Monroe,Benton 01,220,0,239,459
Mike Braun,U.S. Senate,,R,Monroe,Benton 01,115,0,211,326
Lucy M Brenton,U.S. Senate,,L,Monroe,Benton 01,6,0,21,27
Christopher Fischer,U.S. Senate,,W,Monroe,Benton 01,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Benton 01,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Benton 01,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Benton 01,206,0,197,403
Connie Lawson,Secretary of State,,R,Monroe,Benton 01,131,0,244,375
Mark W. Rutherford,Secretary of State,,L,Monroe,Benton 01,2,0,22,24
George William Wolfe ,Secretary of State,,W,Monroe,Benton 01,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Benton 01,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Benton 01,206,0,194,400
Tera Klutz,Auditor of State,,R,Monroe,Benton 01,124,0,235,359
John Schick,Auditor of State,,L,Monroe,Benton 01,7,0,28,35
John C. Aguilera,Treasurer of State,,D,Monroe,Benton 01,203,0,200,403
Kelly Mitchell,Treasurer of State,,R,Monroe,Benton 01,132,0,257,389
Liz Watson,U.S. House,9,D,Monroe,Benton 01,224,0,234,458
Trey Hollingsworth,U.S. House,9,R,Monroe,Benton 01,118,0,232,350
George William Wolfe ,US House,9,W,Monroe,Benton 01,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Benton 01,0,0,0,0
Penny Githens,State Representative,60,D,Monroe,Benton 01,214,0,209,423
Peggy Mayfield,State Representative,60,R,Monroe,Benton 01,129,0,253,382
,Ballots Cast,,,Monroe,Benton 02,,,,867
,Straight Party,,D,Monroe,Benton 02,176,0,62,238
,Straight Party,,R,Monroe,Benton 02,60,0,75,135
,Straight Party,,L,Monroe,Benton 02,0,0,1,1
Joe Donnelly,U.S. Senate,,D,Monroe,Benton 02,372,0,185,557
Mike Braun,U.S. Senate,,R,Monroe,Benton 02,123,0,147,270
Lucy M Brenton,U.S. Senate,,L,Monroe,Benton 02,15,0,23,38
Christopher Fischer,U.S. Senate,,W,Monroe,Benton 02,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Benton 02,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Benton 02,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Benton 02,353,0,167,520
Connie Lawson,Secretary of State,,R,Monroe,Benton 02,143,0,161,304
Mark W. Rutherford,Secretary of State,,L,Monroe,Benton 02,9,0,26,35
George William Wolfe ,Secretary of State,,W,Monroe,Benton 02,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Benton 02,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Benton 02,345,0,165,510
Tera Klutz,Auditor of State,,R,Monroe,Benton 02,142,0,165,307
John Schick,Auditor of State,,L,Monroe,Benton 02,11,0,24,35
John C. Aguilera,Treasurer of State,,D,Monroe,Benton 02,349,0,169,518
Kelly Mitchell,Treasurer of State,,R,Monroe,Benton 02,145,0,181,326
Liz Watson,U.S. House,9,D,Monroe,Benton 02,383,0,207,590
Trey Hollingsworth,U.S. House,9,R,Monroe,Benton 02,127,0,146,273
George William Wolfe ,US House,9,W,Monroe,Benton 02,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Benton 02,0,0,0,0
Penny Githens,State Representative,60,D,Monroe,Benton 02,363,0,182,545
Peggy Mayfield,State Representative,60,R,Monroe,Benton 02,143,0,169,312
,Ballots Cast,,,Monroe,Bloomington 01,,,,199
,Straight Party,,D,Monroe,Bloomington 01,35,0,35,70
,Straight Party,,R,Monroe,Bloomington 01,5,0,3,8
,Straight Party,,L,Monroe,Bloomington 01,0,0,0,0
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 01,84,0,88,172
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 01,7,0,14,21
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 01,2,0,4,6
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 01,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 01,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 01,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 01,82,0,93,175
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 01,11,0,10,21
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 01,0,0,3,3
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 01,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 01,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 01,82,0,85,167
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 01,9,0,16,25
John Schick,Auditor of State,,L,Monroe,Bloomington 01,2,0,5,7
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 01,80,0,89,169
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 01,12,0,15,27
Liz Watson,U.S. House,9,D,Monroe,Bloomington 01,86,0,96,182
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 01,7,0,10,17
George William Wolfe ,US House,9,W,Monroe,Bloomington 01,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 01,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 01,86,0,96,182
,Ballots Cast,,,Monroe,Bloomington 02,,,,555
,Straight Party,,D,Monroe,Bloomington 02,84,0,116,200
,Straight Party,,R,Monroe,Bloomington 02,15,0,14,29
,Straight Party,,L,Monroe,Bloomington 02,0,0,0,0
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 02,193,0,265,458
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 02,24,0,35,59
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 02,10,0,23,33
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 02,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 02,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 02,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 02,192,0,258,450
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 02,29,0,51,80
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 02,6,0,13,19
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 02,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 02,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 02,190,0,251,441
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 02,28,0,45,73
John Schick,Auditor of State,,L,Monroe,Bloomington 02,9,0,24,33
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 02,193,0,266,459
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 02,30,0,53,83
Liz Watson,U.S. House,9,D,Monroe,Bloomington 02,203,0,289,492
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 02,24,0,35,59
George William Wolfe ,US House,9,W,Monroe,Bloomington 02,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 02,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 02,198,0,290,488
,Ballots Cast,,,Monroe,Bloomington 03,,,,529
,Straight Party,,D,Monroe,Bloomington 03,53,0,145,198
,Straight Party,,R,Monroe,Bloomington 03,4,0,43,47
,Straight Party,,L,Monroe,Bloomington 03,1,0,2,3
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 03,139,0,288,427
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 03,8,0,71,79
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 03,3,0,16,19
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 03,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 03,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 03,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 03,137,0,277,414
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 03,11,0,75,86
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 03,3,0,14,17
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 03,1,0,2,3
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 03,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 03,132,0,254,386
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 03,15,0,90,105
John Schick,Auditor of State,,L,Monroe,Bloomington 03,3,0,21,24
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 03,134,0,260,394
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 03,16,0,102,118
Liz Watson,U.S. House,9,D,Monroe,Bloomington 03,142,0,291,433
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 03,9,0,79,88
George William Wolfe ,US House,9,W,Monroe,Bloomington 03,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 03,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 03,144,0,319,463
,Ballots Cast,,,Monroe,Bloomington 04,,,,254
,Straight Party,,D,Monroe,Bloomington 04,42,0,62,104
,Straight Party,,R,Monroe,Bloomington 04,2,0,5,7
,Straight Party,,L,Monroe,Bloomington 04,0,0,1,1
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 04,97,0,131,228
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 04,5,0,11,16
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 04,3,0,6,9
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 04,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 04,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 04,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 04,97,0,122,219
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 04,5,0,19,24
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 04,3,0,5,8
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 04,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 04,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 04,91,0,123,214
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 04,7,0,18,25
John Schick,Auditor of State,,L,Monroe,Bloomington 04,3,0,4,7
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 04,97,0,125,222
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 04,5,0,20,25
Liz Watson,U.S. House,9,D,Monroe,Bloomington 04,101,0,133,234
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 04,4,0,13,17
George William Wolfe ,US House,9,W,Monroe,Bloomington 04,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 04,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 04,99,0,136,235
,Ballots Cast,,,Monroe,Bloomington 05,,,,775
,Straight Party,,D,Monroe,Bloomington 05,65,0,213,278
,Straight Party,,R,Monroe,Bloomington 05,8,0,42,50
,Straight Party,,L,Monroe,Bloomington 05,3,0,2,5
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 05,143,0,460,603
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 05,16,0,88,104
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 05,16,0,44,60
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 05,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 05,0,0,1,1
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 05,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 05,147,0,454,601
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 05,18,0,94,112
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 05,10,0,33,43
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 05,0,0,1,1
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 05,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 05,143,0,425,568
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 05,20,0,113,133
John Schick,Auditor of State,,L,Monroe,Bloomington 05,10,0,39,49
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 05,144,0,439,583
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 05,24,0,133,157
Liz Watson,U.S. House,9,D,Monroe,Bloomington 05,152,0,502,654
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 05,20,0,88,108
George William Wolfe ,US House,9,W,Monroe,Bloomington 05,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 05,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 05,161,0,534,695
,Ballots Cast,,,Monroe,Bloomington 06,,,,725
,Straight Party,,D,Monroe,Bloomington 06,143,0,100,243
,Straight Party,,R,Monroe,Bloomington 06,16,0,20,36
,Straight Party,,L,Monroe,Bloomington 06,1,0,0,1
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 06,356,0,270,626
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 06,22,0,39,61
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 06,7,0,26,33
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 06,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 06,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 06,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 06,347,0,268,615
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 06,29,0,42,71
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 06,10,0,18,28
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 06,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 06,0,0,0,
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 06,341,0,258,599
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 06,33,0,49,82
John Schick,Auditor of State,,L,Monroe,Bloomington 06,8,0,20,28
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 06,355,0,275,630
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 06,28,0,51,79
Liz Watson,U.S. House,9,D,Monroe,Bloomington 06,363,0,295,658
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 06,24,0,42,66
George William Wolfe ,US House,9,W,Monroe,Bloomington 06,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 06,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 06,357,0,292,649
,Ballots Cast,,,Monroe,Bloomington 07,,,,337
,Straight Party,,D,Monroe,Bloomington 07,17,0,130,147
,Straight Party,,R,Monroe,Bloomington 07,4,0,39,43
,Straight Party,,L,Monroe,Bloomington 07,0,0,1,1
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 07,34,0,214,248
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 07,6,0,66,72
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 07,1,0,13,14
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 07,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 07,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 07,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 07,35,0,204,239
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 07,7,0,79,86
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 07,0,0,7,7
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 07,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 07,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 07,33,0,194,227
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 07,8,0,80,88
John Schick,Auditor of State,,L,Monroe,Bloomington 07,1,0,16,17
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 07,35,0,192,227
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 07,7,0,96,103
Liz Watson,U.S. House,9,D,Monroe,Bloomington 07,36,0,215,251
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 07,6,0,75,81
George William Wolfe ,US House,9,W,Monroe,Bloomington 07,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 07,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 07,37,0,242,279
,Ballots Cast,,,Monroe,Bloomington 08,,,,424
,Straight Party,,D,Monroe,Bloomington 08,62,0,82,144
,Straight Party,,R,Monroe,Bloomington 08,10,0,11,21
,Straight Party,,L,Monroe,Bloomington 08,1,0,3,4
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 08,161,0,203,364
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 08,15,0,21,36
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 08,7,0,14,21
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 08,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 08,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 08,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 08,156,0,195,351
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 08,18,0,29,47
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 08,5,0,13,18
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 08,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 08,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 08,151,0,185,336
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 08,17,0,39,56
John Schick,Auditor of State,,L,Monroe,Bloomington 08,9,0,10,19
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 08,155,0,202,357
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 08,23,0,30,53
Liz Watson,U.S. House,9,D,Monroe,Bloomington 08,163,0,214,377
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 08,19,0,23,42
George William Wolfe ,US House,9,W,Monroe,Bloomington 08,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 08,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 08,165,0,217,382
,Ballots Cast,,,Monroe,Bloomington 09,,,,666
,Straight Party,,D,Monroe,Bloomington 09,131,0,53,184
,Straight Party,,R,Monroe,Bloomington 09,26,0,22,48
,Straight Party,,L,Monroe,Bloomington 09,2,0,0,2
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 09,300,0,219,519
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 09,56,0,55,111
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 09,12,0,15,27
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 09,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 09,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 09,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 09,288,0,211,499
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 09,68,0,63,131
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 09,6,0,13,19
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 09,0,0,2,2
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 09,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 09,294,0,196,490
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 09,63,0,72,135
John Schick,Auditor of State,,L,Monroe,Bloomington 09,3,0,18,21
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 09,296,0,212,508
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 09,62,0,71,133
Liz Watson,U.S. House,9,D,Monroe,Bloomington 09,317,0,231,548
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 09,52,0,59,111
George William Wolfe ,US House,9,W,Monroe,Bloomington 09,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 09,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 09,316,0,238,554
,Ballots Cast,,,Monroe,Bloomington 010,,,,607
,Straight Party,,D,Monroe,Bloomington 010,132,0,70,202
,Straight Party,,R,Monroe,Bloomington 010,22,0,13,35
,Straight Party,,L,Monroe,Bloomington 010,0,0,0,0
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 010,291,0,216,507
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 010,44,0,35,79
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 010,6,0,10,16
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 010,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bloomington 010,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bloomington 010,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bloomington 010,285,0,206,491
Connie Lawson,Secretary of State,,R,Monroe,Bloomington 010,47,0,44,91
Mark W. Rutherford,Secretary of State,,L,Monroe,Bloomington 010,10,0,7,17
George William Wolfe ,Secretary of State,,W,Monroe,Bloomington 010,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bloomington 010,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bloomington 010,281,0,199,480
Tera Klutz,Auditor of State,,R,Monroe,Bloomington 010,52,0,45,97
John Schick,Auditor of State,,L,Monroe,Bloomington 010,7,0,11,18
John C. Aguilera,Treasurer of State,,D,Monroe,Bloomington 010,289,0,207,496
Kelly Mitchell,Treasurer of State,,R,Monroe,Bloomington 010,49,0,45,94
Liz Watson,U.S. House,9,D,Monroe,Bloomington 010,300,0,226,526
Trey Hollingsworth,U.S. House,9,R,Monroe,Bloomington 010,42,0,34,76
George William Wolfe ,US House,9,W,Monroe,Bloomington 010,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bloomington 010,0,0,0,0
Matt Pierce,State Representative,61,D,Monroe,Bloomington 010,299,0,232,531
,Ballots Cast,,,Monroe,Bloomington 011,,,,663
,Straight Party,,D,Monroe,Bloomington 011,92,0,64,156
,Straight Party,,R,Monroe,Bloomington 011,67,0,61,128
,Straight Party,,L,Monroe,Bloomington 011,1,0,1,2
Joe Donnelly,U.S. Senate,,D,Monroe,Bloomington 011,221,0,181,402
Mike Braun,U.S. Senate,,R,Monroe,Bloomington 011,109,0,129,238
Lucy M Brenton,U.S. Senate,,L,Monroe,Bloomington 011,5,0,16,21
Christopher Fischer,U.S. Senate,,W,Monroe,Bloomington 011,0,0,0,0
