candidate,office,district,party,county,precinct,early_voting,election_day,votes,
John C. Aguilera,Treasurer of State,,,Ohio,RAN2,19,47,66,
Greg Pence,U.S. House,6,,Ohio,RAN2,32,68,100,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN2,17,43,60,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN2,1,0,1,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN2,36,88,124,
Randy Frye,State Representative,67,,Ohio,RAN2,34,72,106,
Cordelle Feuston,State Representative,67,,Ohio,RAN2,16,39,55,
,Ballots Cast,,,Ohio,RAN3,,,253,
,Straight Party,,R,Ohio,RAN3,14,29,43,
,Straight Party,,D,Ohio,RAN3,7,10,17,
,Straight Party,,L,Ohio,RAN3,0,3,3,
Mike Braun,U.S. Senate,,,Ohio,RAN3,46,100,146,
Joe Donnelly,U.S. Senate,,,Ohio,RAN3,43,45,88,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN3,1,7,8,
Connie Lawson,Secretary of State,,,Ohio,RAN3,49,98,147,
Jim Harper,Secretary of State,,,Ohio,RAN3,35,48,83,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN3,1,7,8,
Tera Klutz,Auditor of State,,,Ohio,RAN3,46,98,144,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN3,39,46,85,
John Schick,Auditor of State,,,Ohio,RAN3,0,7,7,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN3,52,104,156,
John C. Aguilera,Treasurer of State,,,Ohio,RAN3,32,44,76,
Greg Pence,U.S. House,6,,Ohio,RAN3,46,106,152,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN3,41,44,85,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN3,1,4,5,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN3,63,120,183,
Randy Frye,State Representative,67,,Ohio,RAN3,54,111,165,
Cordelle Feuston,State Representative,67,,Ohio,RAN3,34,42,76,
,Ballots Cast,,,Ohio,RAN4,,,251,
,Straight Party,,R,Ohio,RAN4,13,24,37,
,Straight Party,,D,Ohio,RAN4,3,9,12,
,Straight Party,,L,Ohio,RAN4,0,1,1,
Mike Braun,U.S. Senate,,,Ohio,RAN4,48,96,144,
Joe Donnelly,U.S. Senate,,,Ohio,RAN4,43,45,88,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN4,3,7,10,
Connie Lawson,Secretary of State,,,Ohio,RAN4,53,95,148,
Jim Harper,Secretary of State,,,Ohio,RAN4,35,46,81,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN4,0,6,12,
Tera Klutz,Auditor of State,,,Ohio,RAN4,48,94,142,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN4,37,47,84,
John Schick,Auditor of State,,,Ohio,RAN4,8,4,12,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN4,53,100,153,
John C. Aguilera,Treasurer of State,,,Ohio,RAN4,38,44,82,
Greg Pence,U.S. House,6,,Ohio,RAN4,55,98,153,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN4,34,45,79,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN4,6,3,9,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN4,72,113,185,
Randy Frye,State Representative,67,,Ohio,RAN4,58,100,158,
Cordelle Feuston,State Representative,67,,Ohio,RAN4,38,45,83,
,Ballots Cast,,,Ohio,RAN5,,,539,
,Straight Party,,R,Ohio,RAN5,39,78,117,
,Straight Party,,D,Ohio,RAN5,10,30,40,
,Straight Party,,L,Ohio,RAN5,0,0,0,
Mike Braun,U.S. Senate,,,Ohio,RAN5,143,244,387,
Joe Donnelly,U.S. Senate,,,Ohio,RAN5,52,86,138,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN5,1,10,11,
Connie Lawson,Secretary of State,,,Ohio,RAN5,140,244,384,
Jim Harper,Secretary of State,,,Ohio,RAN5,53,77,130,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN5,2,12,14,
Tera Klutz,Auditor of State,,,Ohio,RAN5,138,245,383,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN5,54,78,132,
John Schick,Auditor of State,,,Ohio,RAN5,2,10,12,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN5,142,255,397,
John C. Aguilera,Treasurer of State,,,Ohio,RAN5,49,71,120,
Greg Pence,U.S. House,6,,Ohio,RAN5,139,254,393,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN5,51,81,132,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN5,3,7,10,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN5,151,282,433,
Randy Frye,State Representative,67,,Ohio,RAN5,150,261,411,
Cordelle Feuston,State Representative,67,,Ohio,RAN5,42,72,114,
,Ballots Cast,,,Ohio,RAN6,,,241,
,Straight Party,,R,Ohio,RAN6,22,25,47,
,Straight Party,,D,Ohio,RAN6,2,5,7,
,Straight Party,,L,Ohio,RAN6,0,1,1,
Mike Braun,U.S. Senate,,,Ohio,RAN6,68,95,163,
Joe Donnelly,U.S. Senate,,,Ohio,RAN6,26,36,62,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN6,2,6,8,
Connie Lawson,Secretary of State,,,Ohio,RAN6,69,99,168,
Jim Harper,Secretary of State,,,Ohio,RAN6,22,30,52,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN6,1,5,6,
Tera Klutz,Auditor of State,,,Ohio,RAN6,68,96,164,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN6,21,30,51,
John Schick,Auditor of State,,,Ohio,RAN6,4,8,12,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN6,70,101,171,
John C. Aguilera,Treasurer of State,,,Ohio,RAN6,21,31,52,
Greg Pence,U.S. House,6,,Ohio,RAN6,71,107,178,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN6,23,26,49,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN6,0,5,5,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN6,78,118,196,
Randy Frye,State Representative,67,,Ohio,RAN6,73,114,187,
Cordelle Feuston,State Representative,67,,Ohio,RAN6,20,24,44,
,Ballots Cast,,,Ohio,CASS7,,,354,
,Straight Party,,R,Ohio,CASS7,21,56,77,
,Straight Party,,D,Ohio,CASS7,10,11,21,
,Straight Party,,L,Ohio,CASS7,0,0,0,
Mike Braun,U.S. Senate,,,Ohio,CASS7,77,175,252,
Joe Donnelly,U.S. Senate,,,Ohio,CASS7,37,51,88,
Lucy M Brenton,U.S. Senate,,,Ohio,CASS7,2,7,9,
Connie Lawson,Secretary of State,,,Ohio,CASS7,76,177,253,
Jim Harper,Secretary of State,,,Ohio,CASS7,31,43,74,
Mark W. Rutherford,Secretary of State,,,Ohio,CASS7,4,9,13,
Tera Klutz,Auditor of State,,,Ohio,CASS7,78,176,254,
Joselyn Whitticker,Auditor of State,,,Ohio,CASS7,29,43,72,
John Schick,Auditor of State,,,Ohio,CASS7,4,5,9,
Kelly Mitchell,Treasurer of State,,,Ohio,CASS7,81,179,260,
John C. Aguilera,Treasurer of State,,,Ohio,CASS7,27,44,71,
Greg Pence,U.S. House,6,,Ohio,CASS7,80,181,261,
Jeannine Lee Lake,U.S. House,6,,Ohio,CASS7,31,45,76,
Tom Ferkinhoff,U.S. House,6,,Ohio,CASS7,2,6,8,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,CASS7,88,188,276,
Randy Frye,State Representative,67,,Ohio,CASS7,85,185,270,
Cordelle Feuston,State Representative,67,,Ohio,CASS7,30,41,71,
,Ballots Cast,,,Ohio,PIKE8,,,179,
,Straight Party,,R,Ohio,PIKE8,17,38,55,
,Straight Party,,D,Ohio,PIKE8,1,9,10,
,Straight Party,,L,Ohio,PIKE8,2,1,3,
Mike Braun,U.S. Senate,,,Ohio,PIKE8,28,104,132,
Joe Donnelly,U.S. Senate,,,Ohio,PIKE8,4,39,43,
Lucy M Brenton,U.S. Senate,,,Ohio,PIKE8,1,1,2,
Connie Lawson,Secretary of State,,,Ohio,PIKE8,30,109,139,
Jim Harper,Secretary of State,,,Ohio,PIKE8,3,34,37,
Mark W. Rutherford,Secretary of State,,,Ohio,PIKE8,1,1,2,
Tera Klutz,Auditor of State,,,Ohio,PIKE8,29,106,135,
Joselyn Whitticker,Auditor of State,,,Ohio,PIKE8,3,32,35,
John Schick,Auditor of State,,,Ohio,PIKE8,1,3,4,
Kelly Mitchell,Treasurer of State,,,Ohio,PIKE8,28,111,139,
John C. Aguilera,Treasurer of State,,,Ohio,PIKE8,3,30,33,
Greg Pence,U.S. House,6,,Ohio,PIKE8,30,107,137,
Jeannine Lee Lake,U.S. House,6,,Ohio,PIKE8,3,32,35,
Tom Ferkinhoff,U.S. House,6,,Ohio,PIKE8,1,4,5,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,PIKE8,32,116,148,
Randy Frye,State Representative,67,,Ohio,PIKE8,29,111,140,
Cordelle Feuston,State Representative,67,,Ohio,PIKE8,4,30,34,
,Ballots Cast,,,Ohio,UNION9,,,197,
,Straight Party,,R,Ohio,UNION9,12,38,50,
,Straight Party,,D,Ohio,UNION9,8,11,19,
,Straight Party,,L,Ohio,UNION9,0,1,1,
Mike Braun,U.S. Senate,,,Ohio,UNION9,28,71,99,
Joe Donnelly,U.S. Senate,,,Ohio,UNION9,19,39,58,
Lucy M Brenton,U.S. Senate,,,Ohio,UNION9,0,3,3,
Connie Lawson,Secretary of State,,,Ohio,UNION9,28,77,105,
Jim Harper,Secretary of State,,,Ohio,UNION9,18,36,54,
Mark W. Rutherford,Secretary of State,,,Ohio,UNION9,1,3,4,
Tera Klutz,Auditor of State,,,Ohio,UNION9,27,78,105,
Joselyn Whitticker,Auditor of State,,,Ohio,UNION9,19,36,55,
John Schick,Auditor of State,,,Ohio,UNION9,0,4,4,
Kelly Mitchell,Treasurer of State,,,Ohio,UNION9,27,82,109,
John C. Aguilera,Treasurer of State,,,Ohio,UNION9,19,38,57,
Greg Pence,U.S. House,6,,Ohio,UNION9,29,80,109,
Jeannine Lee Lake,U.S. House,6,,Ohio,UNION9,18,37,55,
Tom Ferkinhoff,U.S. House,6,,Ohio,UNION9,0,4,4,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,UNION9,34,129,163,
Randy Frye,State Representative,67,,Ohio,UNION9,30,89,119,
Cordelle Feuston,State Representative,67,,Ohio,UNION9,16,33,49,
,Ballots Cast,,,Ohio,RAN10,,,93,
,Straight Party,,R,Ohio,RAN10,7,8,15,
,Straight Party,,D,Ohio,RAN10,1,5,6,
,Straight Party,,L,Ohio,RAN10,0,1,1,
Mike Braun,U.S. Senate,,,Ohio,RAN10,27,30,57,
Joe Donnelly,U.S. Senate,,,Ohio,RAN10,16,17,33,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN10,0,2,2,
Connie Lawson,Secretary of State,,,Ohio,RAN10,28,29,57,
Jim Harper,Secretary of State,,,Ohio,RAN10,13,19,32,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN10,2,0,2,
Tera Klutz,Auditor of State,,,Ohio,RAN10,27,27,54,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN10,14,18,32,
John Schick,Auditor of State,,,Ohio,RAN10,2,4,6,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN10,30,32,62,
John C. Aguilera,Treasurer of State,,,Ohio,RAN10,12,17,29,
Greg Pence,U.S. House,6,,Ohio,RAN10,26,31,57,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN10,15,17,32,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN10,1,1,2,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN10,31,38,69,
Randy Frye,State Representative,67,,Ohio,RAN10,33,31,64,
Cordelle Feuston,State Representative,67,,Ohio,RAN10,10,18,28,
,Ballots Cast,,,Ohio,RAN11,,,41,
,Straight Party,,R,Ohio,RAN11,3,5,8,
,Straight Party,,D,Ohio,RAN11,2,1,3,
,Straight Party,,L,Ohio,RAN11,0,0,0,
Mike Braun,U.S. Senate,,,Ohio,RAN11,13,14,27,
Joe Donnelly,U.S. Senate,,,Ohio,RAN11,6,6,12,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN11,1,1,2,
Connie Lawson,Secretary of State,,,Ohio,RAN11,11,17,28,
Jim Harper,Secretary of State,,,Ohio,RAN11,7,3,10,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN11,1,1,2,
Tera Klutz,Auditor of State,,,Ohio,RAN11,11,17,28,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN11,7,3,10,
John Schick,Auditor of State,,,Ohio,RAN11,1,1,2,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN11,13,16,29,
John C. Aguilera,Treasurer of State,,,Ohio,RAN11,5,5,10,
Greg Pence,U.S. House,6,,Ohio,RAN11,14,17,31,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN11,6,4,10,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN11,0,0,0,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN11,15,18,33,
Randy Frye,State Representative,67,,Ohio,RAN11,15,17,32,
Cordelle Feuston,State Representative,67,,Ohio,RAN11,4,4,8,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
