candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 2,125,29,122,0,276
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 2,281,26,202,0,509
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 2,154,28,134,0,316
Write In ,U S House,9,,Floyd,GEORGETOWN 2,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 2,296,27,211,0,534
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 2,137,27,125,0,289
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 2,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 2,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 2,279,27,215,0,521
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 2,152,26,119,0,297
,Registered Voters,,,Floyd,GEORGETOWN 3,,,,,4320
,Ballots Cast,,,Floyd,GEORGETOWN 3,375,32,297,,704
,Straight Party,,R,Floyd,GEORGETOWN 3,145,6,104,0,255
,Straight Party,,D,Floyd,GEORGETOWN 3,61,12,42,0,115
,Straight Party,,L,Floyd,GEORGETOWN 3,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 3,238,125,8,0,371
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 3,10,21,0,0,31
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 3,191,100,3,0,294
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 3,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 3,245,117,6,0,368
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 3,9,21,0,0,30
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 3,194,89,5,0,288
Write In ,Secretary of State,,,Floyd,GEORGETOWN 3,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 3,241,9,184,0,434
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 3,108,20,95,0,223
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 3,12,1,6,0,19
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 3,249,9,191,0,449
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 3,111,20,91,0,222
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 3,255,11,192,0,458
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 3,117,20,98,0,235
Write In ,U S House,9,,Floyd,GEORGETOWN 3,0,0,1,0,1
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 3,253,11,191,0,455
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 3,116,20,99,0,235
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 3,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 3,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 3,249,9,196,0,454
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 3,124,22,95,0,241
,Registered Voters,,,Floyd,GEORGETOWN 4,,,,,5812
,Ballots Cast,,,Floyd,GEORGETOWN 4,478,37,409,,924
,Straight Party,,R,Floyd,GEORGETOWN 4,190,8,137,0,335
,Straight Party,,D,Floyd,GEORGETOWN 4,60,11,58,0,129
,Straight Party,,L,Floyd,GEORGETOWN 4,1,0,1,0,2
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 4,324,133,19,0,476
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 4,15,21,1,0,37
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 4,275,124,5,0,404
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 4,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 4,324,121,22,0,467
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 4,17,15,2,0,34
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 4,277,121,5,0,403
Write In ,Secretary of State,,,Floyd,GEORGETOWN 4,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 4,319,15,274,0,608
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 4,121,17,118,0,256
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 4,21,2,9,0,32
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 4,344,18,280,0,642
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 4,116,16,119,0,251
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 4,339,15,278,0,632
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 4,132,21,125,0,278
Write In ,U S House,9,,Floyd,GEORGETOWN 4,0,1,0,0,1
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 4,339,20,283,0,642
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 4,132,16,125,0,273
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 4,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 4,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 4,328,19,281,0,628
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 4,142,17,126,0,285
,Registered Voters,,,Floyd,GEORGETOWN 5,,,,,5888
,Ballots Cast,,,Floyd,GEORGETOWN 5,471,69,324,,864
,Straight Party,,R,Floyd,GEORGETOWN 5,136,11,94,0,241
,Straight Party,,D,Floyd,GEORGETOWN 5,80,19,58,0,157
,Straight Party,,L,Floyd,GEORGETOWN 5,4,0,0,0,4
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 5,262,171,36,1,470
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 5,27,39,0,0,66
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 5,173,139,8,0,320
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 5,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 5,275,158,26,0,459
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 5,25,39,0,0,64
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 5,182,126,8,0,316
Write In ,Secretary of State,,,Floyd,GEORGETOWN 5,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 5,277,20,179,0,476
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 5,151,43,128,0,322
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 5,24,1,8,0,33
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 5,288,24,188,0,500
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 5,163,38,127,0,328
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 5,279,25,180,0,484
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 5,187,40,139,0,366
Write In ,U S House,9,,Floyd,GEORGETOWN 5,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 5,280,28,187,0,495
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 5,179,37,136,0,352
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 5,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 5,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 5,278,29,185,0,492
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 5,183,37,137,0,357
,Registered Voters,,,Floyd,GEORGETOWN 6,,,,,4300
,Ballots Cast,,,Floyd,GEORGETOWN 6,380,20,196,,596
,Straight Party,,R,Floyd,GEORGETOWN 6,119,4,29,0,152
,Straight Party,,D,Floyd,GEORGETOWN 6,81,4,41,0,126
,Straight Party,,L,Floyd,GEORGETOWN 6,0,0,1,0,1
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 6,214,144,19,1,378
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 6,13,4,3,0,20
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 6,95,90,10,0,195
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 6,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 6,221,135,18,0,374
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 6,13,6,1,0,20
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 6,102,81,9,0,192
Write In ,Secretary of State,,,Floyd,GEORGETOWN 6,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 6,224,14,95,0,333
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 6,129,5,90,0,224
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 6,16,1,7,0,24
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 6,236,15,111,0,362
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 6,133,4,82,0,219
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 6,224,13,102,0,339
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 6,151,7,94,0,252
Write In ,U S House,9,,Floyd,GEORGETOWN 6,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 6,224,14,98,0,336
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 6,149,6,96,0,251
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 6,222,15,108,0,345
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 6,150,4,85,0,239
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 6,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 6,,,,,0
,Registered Voters,,,Floyd,GEORGETOWN 7,,,,,2508
,Ballots Cast,,,Floyd,GEORGETOWN 7,209,16,154,,379
,Straight Party,,R,Floyd,GEORGETOWN 7,90,3,58,0,151
,Straight Party,,D,Floyd,GEORGETOWN 7,22,6,10,0,38
,Straight Party,,L,Floyd,GEORGETOWN 7,4,0,0,0,4
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 7,145,56,7,0,208
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 7,6,10,0,0,16
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 7,108,41,3,0,152
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 7,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 7,149,46,10,0,205
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 7,7,9,0,0,16
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 7,107,38,3,0,148
Write In ,Secretary of State,,,Floyd,GEORGETOWN 7,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 7,146,6,109,0,261
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 7,46,10,37,0,93
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 7,11,0,2,0,13
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 7,151,7,110,0,268
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 7,50,9,35,0,94
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 7,143,6,107,0,256
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 7,63,10,46,0,119
Write In ,U S House,9,,Floyd,GEORGETOWN 7,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 7,150,6,115,0,271
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 7,55,10,36,0,101
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 7,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 7,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 7,151,7,114,0,272
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 7,55,9,38,0,102
,Registered Voters,,,Floyd,GREENVILLE 1,,,,,4584
,Ballots Cast,,,Floyd,GREENVILLE 1,342,22,398,,762
,Straight Party,,R,Floyd,GREENVILLE 1,116,4,128,0,248
,Straight Party,,D,Floyd,GREENVILLE 1,55,9,37,0,101
,Straight Party,,L,Floyd,GREENVILLE 1,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 1,229,98,5,0,332
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 1,12,9,0,0,21
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 1,242,140,9,0,391
Write In ,U.S. Senate,,,Floyd,GREENVILLE 1,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 1,233,89,7,0,329
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 1,10,11,0,0,21
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 1,258,125,4,0,387
Write In ,Secretary of State,,,Floyd,GREENVILLE 1,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 1,222,11,250,0,483
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 1,99,10,121,0,230
John Schick,Auditor of State,,L,Floyd,GREENVILLE 1,5,0,10,0,15
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 1,228,10,250,0,488
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 1,97,11,129,0,237
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 1,235,11,253,0,499
Liz Watson,U S House,9,D,Floyd,GREENVILLE 1,100,10,136,0,246
Write In ,U S House,9,,Floyd,GREENVILLE 1,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 1,237,11,267,0,515
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 1,94,11,124,0,229
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 1,236,10,257,0,503
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 1,96,11,134,0,241
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 1,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 1,,,,,0
,Registered Voters,,,Floyd,GREENVILLE 2,,,,,3964
,Ballots Cast,,,Floyd,GREENVILLE 2,311,25,282,,618
,Straight Party,,R,Floyd,GREENVILLE 2,129,5,91,0,225
,Straight Party,,D,Floyd,GREENVILLE 2,42,10,40,0,92
,Straight Party,,L,Floyd,GREENVILLE 2,3,0,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 2,201,89,20,0,310
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 2,12,13,0,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 2,157,109,11,0,277
Write In ,U.S. Senate,,,Floyd,GREENVILLE 2,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 2,204,84,9,0,297
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 2,9,13,2,0,24
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 2,167,97,10,0,274
Write In ,Secretary of State,,,Floyd,GREENVILLE 2,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 2,204,9,168,0,381
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 2,80,13,99,0,192
John Schick,Auditor of State,,L,Floyd,GREENVILLE 2,11,2,5,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 2,209,11,168,0,388
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 2,84,13,103,0,200
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 2,201,12,156,0,369
Liz Watson,U S House,9,D,Floyd,GREENVILLE 2,103,13,122,0,238
Write In ,U S House,9,,Floyd,GREENVILLE 2,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 2,213,10,171,0,394
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 2,90,15,106,0,211
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 2,205,9,158,0,372
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 2,98,15,117,0,230
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 2,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 2,,,,,0
,Registered Voters,,,Floyd,GREENVILLE 3,,,,,3264
,Ballots Cast,,,Floyd,GREENVILLE 3,262,22,223,,507
,Straight Party,,R,Floyd,GREENVILLE 3,103,4,79,0,186
,Straight Party,,D,Floyd,GREENVILLE 3,33,4,27,0,64
,Straight Party,,L,Floyd,GREENVILLE 3,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 3,169,76,13,0,258
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 3,9,9,4,0,22
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 3,133,83,5,1,222
Write In ,U.S. Senate,,,Floyd,GREENVILLE 3,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 3,180,71,9,0,260
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 3,10,10,2,0,22
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 3,131,74,8,0,213
Write In ,Secretary of State,,,Floyd,GREENVILLE 3,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 3,175,9,136,0,320
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 3,75,9,72,0,156
John Schick,Auditor of State,,L,Floyd,GREENVILLE 3,8,3,4,0,15
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 3,183,10,140,0,333
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 3,75,11,72,0,158
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 3,183,9,138,0,330
Liz Watson,U S House,9,D,Floyd,GREENVILLE 3,75,11,82,0,168
Write In ,U S House,9,,Floyd,GREENVILLE 3,2,0,0,0,2
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 3,183,10,146,0,339
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 3,76,11,75,0,162
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 3,177,13,135,0,325
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 3,83,8,85,0,176
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 3,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 3,,,,,0
,Registered Voters,,,Floyd,GREENVILLE 4,,,,,4500
,Ballots Cast,,,Floyd,GREENVILLE 4,350,42,295,,687
,Straight Party,,R,Floyd,GREENVILLE 4,105,12,88,0,205
,Straight Party,,D,Floyd,GREENVILLE 4,52,11,48,0,111
,Straight Party,,L,Floyd,GREENVILLE 4,1,1,1,0,3
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 4,202,126,20,0,348
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 4,24,17,1,0,42
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 4,177,106,9,0,292
Write In ,U.S. Senate,,,Floyd,GREENVILLE 4,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 4,218,111,16,0,345
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 4,26,16,0,0,42
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 4,177,101,7,0,285
Write In ,Secretary of State,,,Floyd,GREENVILLE 4,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 4,216,27,171,0,414
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 4,112,15,104,0,231
John Schick,Auditor of State,,L,Floyd,GREENVILLE 4,10,0,7,0,17
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 4,223,28,175,0,426
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 4,112,14,104,0,230
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 4,214,27,178,0,419
Liz Watson,U S House,9,D,Floyd,GREENVILLE 4,134,15,116,0,265
Write In ,U S House,9,,Floyd,GREENVILLE 4,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 4,226,25,182,0,433
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 4,121,17,109,0,247
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 4,223,26,172,0,421
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 4,125,16,118,0,259
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 4,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 4,,,,,0
,Registered Voters,,,Floyd,GREENVILLE 5,,,,,4164
,Ballots Cast,,,Floyd,GREENVILLE 5,325,26,301,,652
,Straight Party,,R,Floyd,GREENVILLE 5,122,3,98,0,223
,Straight Party,,D,Floyd,GREENVILLE 5,44,9,56,0,109
,Straight Party,,L,Floyd,GREENVILLE 5,2,0,2,0,4
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 5,209,94,17,0,320
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 5,4,21,1,0,26
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 5,168,117,13,0,298
Write In ,U.S. Senate,,,Floyd,GREENVILLE 5,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 5,224,77,11,0,312
