county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Marshall,German 2,State House,17,R,Jack Jordan,248,,,,,
Marshall,German 2,State House,17,D,Michelle Livinghouse,112,,,,,
Marshall,German 2,U.S. Senate,,R,Mike Braun,330,,,,,
Marshall,German 2,U.S. Senate,,D,Joe Donnelly,162,,,,,
Marshall,German 2,U.S. Senate,,L,Lucy M. Brenton,26,,,,,
Marshall,German 2,U.S. Senate,,,Write in,0,,,,,
Marshall,German 2,State Secretary,,R,Connie Lawson,364,,,,,
Marshall,German 2,State Secretary,,D,Jim Harper,125,,,,,
Marshall,German 2,State Secretary,,L,Mark W. Rutherford,20,,,,,
Marshall,German 2,State Secretary,,,Write in,1,,,,,
Marshall,German 2,State Auditor,,R,Tera Klutz,356,,,,,
Marshall,German 2,State Auditor,,D,Joselyn Whitticker,133,,,,,
Marshall,German 2,State Auditor,,L,John Schick,19,,,,,
Marshall,German 2,State Treasurer,,R,Kelly Mitchell,369,,,,,
Marshall,German 2,State Treasurer,,D,John C. Aguilera,137,,,,,
Marshall,German 2,U.S. House,2,R,Jackie Walorski,342,,,,,
Marshall,German 2,U.S. House,2,D,Mel Hall,171,,,,,
Marshall,German 2,U.S. House,2,,Write in,4,,,,,
Marshall,German 2,State House,17,R,Jack Jordan,374,,,,,
Marshall,German 2,State House,17,D,Michelle Livinghouse,142,,,,,
Marshall,Green,U.S. Senate,,R,Mike Braun,239,,,,,
Marshall,Green,U.S. Senate,,D,Joe Donnelly,141,,,,,
Marshall,Green,U.S. Senate,,L,Lucy M. Brenton,17,,,,,
Marshall,Green,U.S. Senate,,,Write in,0,,,,,
Marshall,Green,State Secretary,,R,Connie Lawson,274,,,,,
Marshall,Green,State Secretary,,D,Jim Harper,112,,,,,
Marshall,Green,State Secretary,,L,Mark W. Rutherford,10,,,,,
Marshall,Green,State Secretary,,,Write in,0,,,,,
Marshall,Green,State Auditor,,R,Tera Klutz,272,,,,,
Marshall,Green,State Auditor,,D,Joselyn Whitticker,110,,,,,
Marshall,Green,State Auditor,,L,John Schick,10,,,,,
Marshall,Green,State Treasurer,,R,Kelly Mitchell,283,,,,,
Marshall,Green,State Treasurer,,D,John C. Aguilera,108,,,,,
Marshall,Green,U.S. House,2,R,Jackie Walorski,256,,,,,
Marshall,Green,U.S. House,2,D,Mel Hall,141,,,,,
Marshall,Green,U.S. House,2,,Write in,0,,,,,
Marshall,Green,State House,17,R,Jack Jordan,261,,,,,
Marshall,Green,State House,17,D,Michelle Livinghouse,132,,,,,
Marshall,Green,U.S. Senate,,R,Mike Braun,267,,,,,
Marshall,Green,U.S. Senate,,D,Joe Donnelly,196,,,,,
Marshall,Green,U.S. Senate,,L,Lucy M. Brenton,16,,,,,
Marshall,Green,U.S. Senate,,,Write in,0,,,,,
Marshall,Green,State Secretary,,R,Connie Lawson,306,,,,,
Marshall,Green,State Secretary,,D,Jim Harper,145,,,,,
Marshall,Green,State Secretary,,L,Mark W. Rutherford,21,,,,,
Marshall,Green,State Secretary,,,Write in,0,,,,,
Marshall,Green,State Auditor,,R,Tera Klutz,291,,,,,
Marshall,Green,State Auditor,,D,Joselyn Whitticker,152,,,,,
Marshall,Green,State Auditor,,L,John Schick,22,,,,,
Marshall,Green,State Treasurer,,R,Kelly Mitchell,316,,,,,
Marshall,Green,State Treasurer,,D,John C. Aguilera,145,,,,,
Marshall,Green,U.S. House,2,R,Jackie Walorski,281,,,,,
Marshall,Green,U.S. House,2,D,Mel Hall,189,,,,,
Marshall,Green,U.S. House,2,,Write in,1,,,,,
Marshall,Green,State House,17,R,Jack Jordan,309,,,,,
Marshall,Green,State House,17,D,Michelle Livinghouse,166,,,,,
Marshall,Green,U.S. Senate,,R,Mike Braun,265,,,,,
Marshall,Green,U.S. Senate,,D,Joe Donnelly,140,,,,,
Marshall,Green,U.S. Senate,,L,Lucy M. Brenton,9,,,,,
Marshall,Green,U.S. Senate,,,Write in,0,,,,,
Marshall,Green,State Secretary,,R,Connie Lawson,303,,,,,
Marshall,Green,State Secretary,,D,Jim Harper,98,,,,,
Marshall,Green,State Secretary,,L,Mark W. Rutherford,7,,,,,
Marshall,Green,State Secretary,,,Write in,0,,,,,
Marshall,Green,State Auditor,,R,Tera Klutz,285,,,,,
Marshall,Green,State Auditor,,D,Joselyn Whitticker,108,,,,,
Marshall,Green,State Auditor,,L,John Schick,7,,,,,
Marshall,Green,State Treasurer,,R,Kelly Mitchell,298,,,,,
Marshall,Green,State Treasurer,,D,John C. Aguilera,104,,,,,
Marshall,Green,U.S. House,2,R,Jackie Walorski,284,,,,,
Marshall,Green,U.S. House,2,D,Mel Hall,127,,,,,
Marshall,Green,U.S. House,2,,Write in,0,,,,,
Marshall,Green,State House,17,R,Jack Jordan,289,,,,,
Marshall,Green,State House,17,D,Michelle Livinghouse,118,,,,,
Marshall,North 3,U.S. Senate,,R,Mike Braun,264,,,,,
Marshall,North 3,U.S. Senate,,D,Joe Donnelly,144,,,,,
Marshall,North 3,U.S. Senate,,L,Lucy M. Brenton,14,,,,,
Marshall,North 3,U.S. Senate,,,Write in,0,,,,,
Marshall,North 3,State Secretary,,R,Connie Lawson,289,,,,,
Marshall,North 3,State Secretary,,D,Jim Harper,110,,,,,
Marshall,North 3,State Secretary,,L,Mark W. Rutherford,19,,,,,
Marshall,North 3,State Secretary,,,Write in,0,,,,,
Marshall,North 3,State Auditor,,R,Tera Klutz,280,,,,,
Marshall,North 3,State Auditor,,D,Joselyn Whitticker,113,,,,,
Marshall,North 3,State Auditor,,L,John Schick,20,,,,,
Marshall,North 3,State Treasurer,,R,Kelly Mitchell,299,,,,,
Marshall,North 3,State Treasurer,,D,John C. Aguilera,117,,,,,
Marshall,North 3,U.S. House,2,R,Jackie Walorski,274,,,,,
Marshall,North 3,U.S. House,2,D,Mel Hall,148,,,,,
Marshall,North 3,U.S. House,2,,Write in,0,,,,,
Marshall,North 3,State House,17,R,Jack Jordan,293,,,,,
Marshall,North 3,State House,17,D,Michelle Livinghouse,123,,,,,
Marshall,North 3,U.S. Senate,,R,Mike Braun,272,,,,,
Marshall,North 3,U.S. Senate,,D,Joe Donnelly,172,,,,,
Marshall,North 3,U.S. Senate,,L,Lucy M. Brenton,15,,,,,
Marshall,North 3,U.S. Senate,,,Write in,1,,,,,
Marshall,North 3,State Secretary,,R,Connie Lawson,299,,,,,
Marshall,North 3,State Secretary,,D,Jim Harper,131,,,,,
Marshall,North 3,State Secretary,,L,Mark W. Rutherford,19,,,,,
Marshall,North 3,State Secretary,,,Write in,0,,,,,
Marshall,North 3,State Auditor,,R,Tera Klutz,298,,,,,
Marshall,North 3,State Auditor,,D,Joselyn Whitticker,133,,,,,
Marshall,North 3,State Auditor,,L,John Schick,16,,,,,
Marshall,North 3,State Treasurer,,R,Kelly Mitchell,317,,,,,
Marshall,North 3,State Treasurer,,D,John C. Aguilera,128,,,,,
Marshall,North 3,U.S. House,2,R,Jackie Walorski,291,,,,,
Marshall,North 3,U.S. House,2,D,Mel Hall,170,,,,,
Marshall,North 3,U.S. House,2,,Write in,0,,,,,
Marshall,North 3,State House,17,R,Jack Jordan,305,,,,,
Marshall,North 3,State House,17,D,Michelle Livinghouse,145,,,,,
Marshall,Polk 2,U.S. Senate,,R,Mike Braun,328,,,,,
Marshall,Polk 2,U.S. Senate,,D,Joe Donnelly,197,,,,,
Marshall,Polk 2,U.S. Senate,,L,Lucy M. Brenton,33,,,,,
