county,office,district,candidate,party,votes
Allen,U.S. Senator,,Lucy Brenton,Libertarian,8482
Allen,U.S. Senator,,Todd Young,Republican,79230
Allen,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Allen,Governor,,John R Gregg,Democratic,61823
Allen,Governor,,Rex Bell,Libertarian,4465
Allen,Governor,,Eric Holcomb,Republican,80334
Allen,Governor,,Jack Adam Adkins,Independent,0
Allen,Governor,,Christopher Stried,Independent,0
Allen,Attorney General,,Lorenzo Arredondo,Democratic,49101
Allen,Attorney General,,"Curtis T Hill, Jr.",Republican,94106
Allen,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,65497
Allen,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,79064
Allen,U.S. House,3,Thomas A Schrader,Democratic,40043
Allen,U.S. House,3,Pepper Snyder,Libertarian,10457
Allen,U.S. House,3,James E Banks,Republican,93516
Allen,State Senator,16,Juli Dominguez,Democratic,17812
Allen,State Senator,16,David C Long,Republican,34195
Allen,State House,50,Jorge Fernandez,Democratic,3255
Allen,State House,50,Daniel J Dan Leonard,Republican,5070
Allen,State House,52,Charles E Odier,Democratic,2496
Allen,State House,52,Benjamin Charles Smaltz,Republican,7709
Allen,State House,79,Matthew S Lehman,Republican,3887
Allen,State House,80,Philip K Giaquinta,Democratic,14840
Allen,State House,81,Robert Haddad,Democratic,8919
Allen,State House,81,Martin Carbaugh,Republican,13918
Allen,State House,82,Michael T Wilber,Democratic,598
Allen,State House,82,David L Ober,Republican,2062
Allen,State House,83,Christopher N Judy,Republican,16466
Allen,State House,84,Curtis Nash,Democratic,10527
Allen,State House,84,Robert D Morris,Republican,20522
Allen,State House,85,Kathryn A Zoucha,Democratic,6988
Allen,State House,85,Dave Heine,Republican,19166
Allen,Judge Of The Superior Court,Allen Civil No. 1,Nancy Eshcoff Boyer,Non-Partisan,98914
Allen,Judge Of The Superior Court,Allen Civil No. 9,David J Avery,Non-Partisan,97925
Allen,Judge Of The Superior Court,Allen Criminal No. 4,Wendy W Davis,Non-Partisan,103004
Allen,Judge Of The Superior Court,Allen Fam. Rel. No. 8,Charles F Pratt,Non-Partisan,100704
Bartholomew,President,,Hillary Clinton,Democratic,9841
Bartholomew,President,,Gary Johnson,Libertarian,1911
Bartholomew,President,,Donald J Trump,Republican,20639
Bartholomew,President,,Darrell L Castle,Constitution,30
Bartholomew,President,,Jill Stein,Green,60
Bartholomew,President,,Ray C Brown,Independent,0
Bartholomew,President,,Roque De La Fuente,Independent,0
Bartholomew,President,,Richard Duncan,Independent,0
Bartholomew,President,,Cherunda Fox,Independent,0
Bartholomew,President,,Tom Hoefling,Independent,3
Bartholomew,President,,Denny Carroll Jackson,Independent,0
Bartholomew,President,,Melissa L Kelly,Independent,0
Bartholomew,President,,Laurence Kotlikoff,Independent,0
Bartholomew,President,,Joseph Maldonado,Independent,0
Bartholomew,President,,G Mullis,Independent,0
Bartholomew,President,,Matthew Roberts,Independent,5
Bartholomew,President,,Emidio Soltysik,Socialist,0
Bartholomew,U.S. Senator,,Evan Bayh,Democratic,11354
Bartholomew,U.S. Senator,,Lucy Brenton,Libertarian,1839
Bartholomew,U.S. Senator,,Todd Young,Republican,19050
Bartholomew,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Bartholomew,Governor,,John R Gregg,Democratic,11869
Bartholomew,Governor,,Rex Bell,Libertarian,1122
Bartholomew,Governor,,Eric Holcomb,Republican,19062
Bartholomew,Governor,,Jack Adam Adkins,Independent,0
Bartholomew,Governor,,Christopher Stried,Independent,0
Bartholomew,Attorney General,,Lorenzo Arredondo,Democratic,8789
Bartholomew,Attorney General,,"Curtis T Hill, Jr.",Republican,22192
Bartholomew,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,12318
Bartholomew,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,19200
Bartholomew,U.S. House,6,Barry A Welsh,Democratic,8605
Bartholomew,U.S. House,6,Rich Turvey,Libertarian,1342
Bartholomew,U.S. House,6,Allen Luke Messer,Republican,21836
Bartholomew,State Senator,44,Linda Kay Henderson,Democratic,2815
Bartholomew,State Senator,44,Darin S Kinser,Libertarian,424
Bartholomew,State Senator,44,Eric A Koch,Republican,6876
Bartholomew,State House,57,Sean R Eberhart,Republican,4045
Bartholomew,State House,59,Robert M Pitman,Democratic,10205
Bartholomew,State House,59,Milo E Smith,Republican,16118
Bartholomew,State House,69,James Thomas Lucas,Republican,424
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,Kelly S Benjamin,Republican,25729
Benton,President,,Hillary Clinton,Democratic,860
Benton,President,,Gary Johnson,Libertarian,215
Benton,President,,Donald J Trump,Republican,2579
Benton,President,,Darrell L Castle,Constitution,2
Benton,President,,Jill Stein,Green,9
Benton,President,,Ray C Brown,Independent,0
Benton,President,,Roque De La Fuente,Independent,0
Benton,President,,Richard Duncan,Independent,0
Benton,President,,Cherunda Fox,Independent,0
Benton,President,,Tom Hoefling,Independent,1
Benton,President,,Denny Carroll Jackson,Independent,0
Benton,President,,Melissa L Kelly,Independent,0
Benton,President,,Laurence Kotlikoff,Independent,0
Benton,President,,Joseph Maldonado,Independent,0
Benton,President,,G Mullis,Independent,0
Benton,President,,Matthew Roberts,Independent,0
Benton,President,,Emidio Soltysik,Socialist,0
Benton,U.S. Senator,,Evan Bayh,Democratic,1132
Benton,U.S. Senator,,Lucy Brenton,Libertarian,246
Benton,U.S. Senator,,Todd Young,Republican,2316
Benton,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Benton,Governor,,John R Gregg,Democratic,1201
Benton,Governor,,Rex Bell,Libertarian,150
Benton,Governor,,Eric Holcomb,Republican,2318
Benton,Governor,,Jack Adam Adkins,Independent,0
Benton,Governor,,Christopher Stried,Independent,0
Benton,Attorney General,,Lorenzo Arredondo,Democratic,834
Benton,Attorney General,,"Curtis T Hill, Jr.",Republican,2728
Benton,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,175
Benton,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,278
Benton,U.S. House,4,John Dale,Democratic,853
Benton,U.S. House,4,Steven M Mayoras,Libertarian,205
Benton,U.S. House,4,Todd Rokita,Republican,2594
Benton,State House,13,Michael Childress,Democratic,935
Benton,State House,13,Sharon Negele,Republican,2690
Blackford,President,,Hillary Clinton,Democratic,1243
Blackford,President,,Gary Johnson,Libertarian,230
Blackford,President,,Donald J Trump,Republican,3349
Blackford,President,,Darrell L Castle,Constitution,0
Blackford,President,,Jill Stein,Green,15
Blackford,President,,Ray C Brown,Independent,0
Blackford,President,,Roque De La Fuente,Independent,0
Blackford,President,,Richard Duncan,Independent,0
Blackford,President,,Cherunda Fox,Independent,0
Blackford,President,,Tom Hoefling,Independent,0
Blackford,President,,Denny Carroll Jackson,Independent,1
Blackford,President,,Melissa L Kelly,Independent,0
Blackford,President,,Laurence Kotlikoff,Independent,0
Blackford,President,,Joseph Maldonado,Independent,0
Blackford,President,,G Mullis,Independent,0
Blackford,President,,Matthew Roberts,Independent,0
Blackford,President,,Emidio Soltysik,Socialist,0
Blackford,U.S. Senator,,Evan Bayh,Democratic,1707
Blackford,U.S. Senator,,Lucy Brenton,Libertarian,364
Blackford,U.S. Senator,,Todd Young,Republican,2748
Blackford,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Blackford,Governor,,John R Gregg,Democratic,1856
Blackford,Governor,,Rex Bell,Libertarian,213
Blackford,Governor,,Eric Holcomb,Republican,2719
Blackford,Governor,,Jack Adam Adkins,Independent,0
Blackford,Governor,,Christopher Stried,Independent,0
Blackford,Attorney General,,Lorenzo Arredondo,Democratic,1275
Blackford,Attorney General,,"Curtis T Hill, Jr.",Republican,3331
Blackford,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,1883
Blackford,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,2836
Blackford,U.S. House,3,Thomas A Schrader,Democratic,320
Blackford,U.S. House,3,Pepper Snyder,Libertarian,68
Blackford,U.S. House,3,James E Banks,Republican,679
Blackford,U.S. House,5,Angela Demaree,Democratic,973
Blackford,U.S. House,5,Matthew Wittlief,Libertarian,218
Blackford,U.S. House,5,Susan W Brooks,Republican,2451
Blackford,State House,31,Lynn Johnson,Democratic,1388
Blackford,State House,31,Kevin A Mahan,Republican,3426
Blackford,State House,33,Greg Beumer,Republican,0
Blackford,Judge Of The Superior Court,Blackford County,John N Barry,Republican,3867
Boone,President,,Hillary Clinton,Democratic,10181
Boone,President,,Gary Johnson,Libertarian,2226
Boone,President,,Donald J Trump,Republican,19654
Boone,President,,Darrell L Castle,Constitution,35
Boone,President,,Jill Stein,Green,75
Boone,President,,Ray C Brown,Independent,0
Boone,President,,Roque De La Fuente,Independent,1
Boone,President,,Richard Duncan,Independent,0
Boone,President,,Cherunda Fox,Independent,0
Boone,President,,Tom Hoefling,Independent,2
Boone,President,,Denny Carroll Jackson,Independent,1
Boone,President,,Melissa L Kelly,Independent,1
Boone,President,,Laurence Kotlikoff,Independent,1
Boone,President,,Joseph Maldonado,Independent,0
Boone,President,,G Mullis,Independent,0
Boone,President,,Matthew Roberts,Independent,1
Boone,President,,Emidio Soltysik,Socialist,1
Boone,U.S. Senator,,Evan Bayh,Democratic,10583
Boone,U.S. Senator,,Lucy Brenton,Libertarian,1715
Boone,U.S. Senator,,Todd Young,Republican,19966
Boone,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Boone,Governor,,John R Gregg,Democratic,11868
Boone,Governor,,Rex Bell,Libertarian,1009
Boone,Governor,,Eric Holcomb,Republican,19269
Boone,Governor,,Jack Adam Adkins,Independent,0
Boone,Governor,,Christopher Stried,Independent,0
Boone,Attorney General,,Lorenzo Arredondo,Democratic,8314
Boone,Attorney General,,"Curtis T Hill, Jr.",Republican,22656
Boone,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,11564
Boone,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,19864
Boone,U.S. House,4,John Dale,Democratic,4056
Boone,U.S. House,4,Steven M Mayoras,Libertarian,704
Boone,U.S. House,4,Todd Rokita,Republican,9685
Boone,U.S. House,5,Angela Demaree,Democratic,4718
Boone,U.S. House,5,Matthew Wittlief,Libertarian,663
Boone,U.S. House,5,Susan W Brooks,Republican,12077
Boone,State Senator,7,Justin Notoras,Democratic,1052
Boone,State Senator,7,Brandt Hershman,Republican,4122
Boone,State House,24,Erol Ali Cetinok,Libertarian,2687
Boone,State House,24,Donna Schaibley,Republican,12640
Boone,State House,28,Jeffrey A Thompson,Republican,1514
Boone,State House,41,Howard Joseph Pollchik,Democratic,2485
Boone,State House,41,John Pickerill,Libertarian,852
Boone,State House,41,Tim Brown,Republican,9127
Brown,President,,Hillary Clinton,Democratic,2518
Brown,President,,Gary Johnson,Libertarian,375
Brown,President,,Donald J Trump,Republican,5015
Brown,President,,Darrell L Castle,Constitution,0
Brown,President,,Jill Stein,Green,0
Brown,President,,Ray C Brown,Independent,0
Brown,President,,Roque De La Fuente,Independent,0
Brown,President,,Richard Duncan,Independent,0
Brown,President,,Cherunda Fox,Independent,0
Brown,President,,Tom Hoefling,Independent,0
Brown,President,,Denny Carroll Jackson,Independent,0
Brown,President,,Melissa L Kelly,Independent,0
Brown,President,,Laurence Kotlikoff,Independent,0
Brown,President,,Joseph Maldonado,Independent,0
Brown,President,,G Mullis,Independent,0
Brown,President,,Matthew Roberts,Independent,0
Brown,President,,Emidio Soltysik,Socialist,0
Brown,U.S. Senator,,Evan Bayh,Democratic,2907
Brown,U.S. Senator,,Lucy Brenton,Libertarian,462
Brown,U.S. Senator,,Todd Young,Republican,4615
Brown,U.S. Senator,,"James L Johnson, Jr.",Write-In,5
Brown,Governor,,John R Gregg,Democratic,3201
Brown,Governor,,Rex Bell,Libertarian,272
Brown,Governor,,Eric Holcomb,Republican,4487
Brown,Governor,,Jack Adam Adkins,Independent,0
Brown,Governor,,Christopher Stried,Independent,0
Brown,Attorney General,,Lorenzo Arredondo,Democratic,2521
Brown,Attorney General,,"Curtis T Hill, Jr.",Republican,5263
Brown,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,3277
Brown,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,4593
Brown,U.S. House,9,Shelli Yoder,Democratic,3036
Brown,U.S. House,9,Russell Brooksbank,Libertarian,448
Brown,U.S. House,9,Joseph A Iii Hollingsworth,Republican,4450
Brown,State Senator,44,Linda Kay Henderson,Democratic,2553
Brown,State Senator,44,Darin S Kinser,Libertarian,303
Brown,State Senator,44,Eric A Koch,Republican,5031
Brown,State House,65,Christopher L Woods,Democratic,3105
Brown,State House,65,Christopher David May,Republican,4682
Carroll,President,,Hillary Clinton,Democratic,1891
Carroll,President,,Gary Johnson,Libertarian,445
Carroll,President,,Donald J Trump,Republican,6273
Carroll,President,,Darrell L Castle,Constitution,8
Carroll,President,,Jill Stein,Green,24
Carroll,President,,Ray C Brown,Independent,0
Carroll,President,,Roque De La Fuente,Independent,0
Carroll,President,,Richard Duncan,Independent,0
Carroll,President,,Cherunda Fox,Independent,0
Carroll,President,,Tom Hoefling,Independent,0
Carroll,President,,Denny Carroll Jackson,Independent,0
Carroll,President,,Melissa L Kelly,Independent,0
Carroll,President,,Laurence Kotlikoff,Independent,0
Carroll,President,,Joseph Maldonado,Independent,0
Carroll,President,,G Mullis,Independent,0
Carroll,President,,Matthew Roberts,Independent,1
Carroll,President,,Emidio Soltysik,Socialist,0
Carroll,U.S. Senator,,Evan Bayh,Democratic,2521
Carroll,U.S. Senator,,Lucy Brenton,Libertarian,648
Carroll,U.S. Senator,,Todd Young,Republican,5512
Carroll,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Carroll,Governor,,John R Gregg,Democratic,2922
Carroll,Governor,,Rex Bell,Libertarian,353
Carroll,Governor,,Eric Holcomb,Republican,5381
Carroll,Governor,,Jack Adam Adkins,Independent,0
Carroll,Governor,,Christopher Stried,Independent,0
Carroll,Attorney General,,Lorenzo Arredondo,Democratic,1932
Carroll,Attorney General,,"Curtis T Hill, Jr.",Republican,6493
Carroll,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,3237
Carroll,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,5317
Carroll,U.S. House,4,John Dale,Democratic,2026
Carroll,U.S. House,4,Steven M Mayoras,Libertarian,452
Carroll,U.S. House,4,Todd Rokita,Republican,6113
Carroll,State Senator,7,Justin Notoras,Democratic,1396
Carroll,State Senator,7,Brandt Hershman,Republican,4327
Carroll,State Senator,18,Randall Head,Republican,2219
Carroll,State House,25,Maurice O Fuller,Democratic,1119
Carroll,State House,25,Franklyn Voorhies,Libertarian,324
Carroll,State House,25,Don Lehe,Republican,3607
Carroll,State House,38,Heath Vannatter,Republican,2124
Carroll,State House,38,Jason Burns,Independent,1234
Cass,President,,Hillary Clinton,Democratic,3758
Cass,President,,Gary Johnson,Libertarian,680
Cass,President,,Donald J Trump,Republican,9697
Cass,President,,Darrell L Castle,Constitution,15
Cass,President,,Jill Stein,Green,49
Cass,President,,Ray C Brown,Independent,0
Cass,President,,Roque De La Fuente,Independent,0
Cass,President,,Richard Duncan,Independent,0
Cass,President,,Cherunda Fox,Independent,0
Cass,President,,Tom Hoefling,Independent,1
Cass,President,,Denny Carroll Jackson,Independent,0
Cass,President,,Melissa L Kelly,Independent,0
Cass,President,,Laurence Kotlikoff,Independent,0
Cass,President,,Joseph Maldonado,Independent,0
Cass,President,,G Mullis,Independent,0
Cass,President,,Matthew Roberts,Independent,3
Cass,President,,Emidio Soltysik,Socialist,1
Cass,U.S. Senator,,Evan Bayh,Democratic,4926
Cass,U.S. Senator,,Lucy Brenton,Libertarian,1012
Cass,U.S. Senator,,Todd Young,Republican,8303
Cass,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Cass,Governor,,John R Gregg,Democratic,5661
Cass,Governor,,Rex Bell,Libertarian,511
Cass,Governor,,Eric Holcomb,Republican,8055
Cass,Governor,,Jack Adam Adkins,Independent,0
Cass,Governor,,Christopher Stried,Independent,0
Cass,Attorney General,,Lorenzo Arredondo,Democratic,3837
Cass,Attorney General,,"Curtis T Hill, Jr.",Republican,10045
Cass,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,6095
Cass,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,7974
Cass,U.S. House,4,John Dale,Democratic,3987
Cass,U.S. House,4,Steven M Mayoras,Libertarian,673
Cass,U.S. House,4,Todd Rokita,Republican,9398
Cass,State Senator,18,Randall Head,Republican,11509
Cass,State House,23,Rose G Ryan,Democratic,3145
Cass,State House,23,William C Friend,Republican,6393
Cass,State House,25,Maurice O Fuller,Democratic,428
Cass,State House,25,Franklyn Voorhies,Libertarian,126
Cass,State House,25,Don Lehe,Republican,1512
Cass,State House,38,Heath Vannatter,Republican,1593
Cass,State House,38,Jason Burns,Independent,561
Cass,Judge Of The Superior Court,"Cass County, Court 1",James K Muehlhausen,Republican,11721
Clar,President,,Hillary Clinton,Democratic,18791
Clar,President,,Gary Johnson,Libertarian,2301
Clar,President,,Donald J Trump,Republican,30012
Clar,President,,Darrell L Castle,Constitution,0
Clar,President,,Jill Stein,Green,0
Clar,President,,Ray C Brown,Independent,0
Clar,President,,Roque De La Fuente,Independent,0
Clar,President,,Richard Duncan,Independent,0
Clar,President,,Cherunda Fox,Independent,0
Clar,President,,Tom Hoefling,Independent,0
Clar,President,,Denny Carroll Jackson,Independent,0
Clar,President,,Melissa L Kelly,Independent,0
Clar,President,,Laurence Kotlikoff,Independent,0
Clar,President,,Joseph Maldonado,Independent,0
Clar,President,,G Mullis,Independent,0
Clar,President,,Matthew Roberts,Independent,0
Clar,President,,Emidio Soltysik,Socialist,0
Clar,U.S. Senator,,Evan Bayh,Democratic,21394
Clar,U.S. Senator,,Lucy Brenton,Libertarian,1995
Clar,U.S. Senator,,Todd Young,Republican,27664
Clar,U.S. Senator,,"James L Johnson, Jr.",Write-In,26
Clar,Governor,,John R Gregg,Democratic,20273
Clar,Governor,,Rex Bell,Libertarian,1597
Clar,Governor,,Eric Holcomb,Republican,28420
Clar,Governor,,Jack Adam Adkins,Independent,0
Clar,Governor,,Christopher Stried,Independent,0
Clar,Attorney General,,Lorenzo Arredondo,Democratic,18277
Clar,Attorney General,,"Curtis T Hill, Jr.",Republican,30205
Clar,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,20559
Clar,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,27841
Clar,U.S. House,9,Shelli Yoder,Democratic,21576
Clar,U.S. House,9,Russell Brooksbank,Libertarian,2962
Clar,U.S. House,9,Joseph A Iii Hollingsworth,Republican,25785
Clar,State House,66,Terry Goodin,Democratic,4833
Clar,State House,66,Joseph Van Wye,Republican,4213
Clar,State House,70,Heidi Cade Sellers,Democratic,4112
Clar,State House,70,Karen Engleman,Republican,5334
Clar,State House,71,Steven R Stemler,Democratic,18709
Clar,State House,71,Thomas Keister,Libertarian,4576
Clar,State House,73,Douglas C Leatherbury,Democratic,940
Clar,State House,73,Steven Davisson,Republican,2337
Clay,President,,Hillary Clinton,Democratic,2306
Clay,President,,Gary Johnson,Libertarian,426
Clay,President,,Donald J Trump,Republican,8528
Clay,President,,Darrell L Castle,Constitution,6
Clay,President,,Jill Stein,Green,11
Clay,President,,Ray C Brown,Independent,0
Clay,President,,Roque De La Fuente,Independent,0
Clay,President,,Richard Duncan,Independent,0
Clay,President,,Cherunda Fox,Independent,0
Clay,President,,Tom Hoefling,Independent,2
Clay,President,,Denny Carroll Jackson,Independent,0
Clay,President,,Melissa L Kelly,Independent,0
Clay,President,,Laurence Kotlikoff,Independent,0
Clay,President,,Joseph Maldonado,Independent,0
Clay,President,,G Mullis,Independent,0
Clay,President,,Matthew Roberts,Independent,0
Clay,President,,Emidio Soltysik,Socialist,0
Clay,U.S. Senator,,Evan Bayh,Democratic,3979
Clay,U.S. Senator,,Lucy Brenton,Libertarian,697
Clay,U.S. Senator,,Todd Young,Republican,6439
Clay,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Clay,Governor,,John R Gregg,Democratic,4260
Clay,Governor,,Rex Bell,Libertarian,337
Clay,Governor,,Eric Holcomb,Republican,6457
Clay,Governor,,Jack Adam Adkins,Independent,0
Clay,Governor,,Christopher Stried,Independent,2
Clay,Attorney General,,Lorenzo Arredondo,Democratic,2521
Clay,Attorney General,,"Curtis T Hill, Jr.",Republican,8044
Clay,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,4379
Clay,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,6434
Clay,U.S. House,8,Ronald L Drake,Democratic,2572
Clay,U.S. House,8,Andrew Horning,Libertarian,514
Clay,U.S. House,8,Larry D Bucshon,Republican,7859
Clay,State House,42,Timothy D Skinner,Democratic,2004
Clay,State House,42,Alan Morrison,Republican,3462
Clay,State House,44,Kimberly Anne Fidler,Democratic,753
Clay,State House,44,James R Baird,Republican,1771
Clay,State House,46,William T Breeden,Democratic,752
Clay,State House,46,Robert Heaton,Republican,2214
Clinton,President,,Hillary Clinton,Democratic,2819
Clinton,President,,Gary Johnson,Libertarian,547
Clinton,President,,Donald J Trump,Republican,8531
Clinton,President,,Darrell L Castle,Constitution,6
Clinton,President,,Jill Stein,Green,31
Clinton,President,,Ray C Brown,Independent,0
Clinton,President,,Roque De La Fuente,Independent,0
Clinton,President,,Richard Duncan,Independent,0
Clinton,President,,Cherunda Fox,Independent,0
Clinton,President,,Tom Hoefling,Independent,1
Clinton,President,,Denny Carroll Jackson,Independent,0
Clinton,President,,Melissa L Kelly,Independent,0
Clinton,President,,Laurence Kotlikoff,Independent,0
Clinton,President,,Joseph Maldonado,Independent,0
Clinton,President,,G Mullis,Independent,0
Clinton,President,,Matthew Roberts,Independent,1
Clinton,President,,Emidio Soltysik,Socialist,0
Clinton,U.S. Senator,,Evan Bayh,Democratic,3693
Clinton,U.S. Senator,,Lucy Brenton,Libertarian,740
Clinton,U.S. Senator,,Todd Young,Republican,7291
Clinton,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Clinton,Governor,,John R Gregg,Democratic,4120
Clinton,Governor,,Rex Bell,Libertarian,423
Clinton,Governor,,Eric Holcomb,Republican,7126
Clinton,Governor,,Jack Adam Adkins,Independent,0
Clinton,Governor,,Christopher Stried,Independent,0
Clinton,Attorney General,,Lorenzo Arredondo,Democratic,2692
Clinton,Attorney General,,"Curtis T Hill, Jr.",Republican,8683
Clinton,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,4528
Clinton,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,6978
Clinton,U.S. House,4,John Dale,Democratic,2985
Clinton,U.S. House,4,Steven M Mayoras,Libertarian,556
Clinton,U.S. House,4,Todd Rokita,Republican,8111
Clinton,State Senator,7,Justin Notoras,Democratic,2590
Clinton,State Senator,7,Brandt Hershman,Republican,8023
Clinton,State House,25,Maurice O Fuller,Democratic,552
Clinton,State House,25,Franklyn Voorhies,Libertarian,140
Clinton,State House,25,Don Lehe,Republican,1811
Clinton,State House,38,Heath Vannatter,Republican,6612
Clinton,State House,38,Jason Burns,Independent,1644
Crawford,President,,Hillary Clinton,Democratic,1323
Crawford,President,,Gary Johnson,Libertarian,255
Crawford,President,,Donald J Trump,Republican,3013
Crawford,President,,Darrell L Castle,Constitution,0
Crawford,President,,Jill Stein,Green,0
Crawford,President,,Ray C Brown,Independent,0
Crawford,President,,Roque De La Fuente,Independent,0
Crawford,President,,Richard Duncan,Independent,0
Crawford,President,,Cherunda Fox,Independent,0
Crawford,President,,Tom Hoefling,Independent,0
Crawford,President,,Denny Carroll Jackson,Independent,0
Crawford,President,,Melissa L Kelly,Independent,0
Crawford,President,,Laurence Kotlikoff,Independent,0
Crawford,President,,Joseph Maldonado,Independent,0
Crawford,President,,G Mullis,Independent,0
Crawford,President,,Matthew Roberts,Independent,0
Crawford,President,,Emidio Soltysik,Socialist,0
Crawford,U.S. Senator,,Evan Bayh,Democratic,1890
Crawford,U.S. Senator,,Lucy Brenton,Libertarian,169
Crawford,U.S. Senator,,Todd Young,Republican,2498
Crawford,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Crawford,Governor,,John R Gregg,Democratic,1924
Crawford,Governor,,Rex Bell,Libertarian,156
Crawford,Governor,,Eric Holcomb,Republican,2379
Crawford,Governor,,Jack Adam Adkins,Independent,0
Crawford,Governor,,Christopher Stried,Independent,0
Crawford,Attorney General,,Lorenzo Arredondo,Democratic,1346
Crawford,Attorney General,,"Curtis T Hill, Jr.",Republican,2806
Crawford,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,1748
Crawford,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,2425
Crawford,U.S. House,8,Ronald L Drake,Democratic,190
Crawford,U.S. House,8,Andrew Horning,Libertarian,33
Crawford,U.S. House,8,Larry D Bucshon,Republican,397
Crawford,U.S. House,9,Shelli Yoder,Democratic,1623
Crawford,U.S. House,9,Russell Brooksbank,Libertarian,239
Crawford,U.S. House,9,Joseph A Iii Hollingsworth,Republican,1946
Crawford,State House,74,Larry K Kleeman,Democratic,1607
Crawford,State House,74,Lloyd B Arnold,Republican,2887
