county,precinct,office,district,candidate,party,election_day,early_voting,post_election,absentee,votes
Steuben,Jackson,President,,Biden / Harris,DEM,47,83,0,61,191
Steuben,Jackson,President,,Jo Jorgensen,LIB,12,8,0,1,21
Steuben,Jackson,President,,Write-In,,1,0,0,0,1
Steuben,Jackson,Governor,,Eric Holcomb,REP,272,231,0,73,576
Steuben,Jackson,Governor,,Woody Myers,DEM,26,60,0,42,128
Steuben,Jackson,Governor,,Donald Rainwater,LIB,72,41,0,6,119
Steuben,Jackson,Attorney General,,Todd Rokita,REP,294,244,0,62,600
Steuben,Jackson,Attorney General,,Jonathan Weinzapfel,DEM,65,85,0,54,204
Steuben,Jackson,U.S. House,3,Jim Banks,REP,314,253,0,62,629
Steuben,Jackson,U.S. House,3,Chip Coldiron,DEM,48,77,0,56,181
Steuben,Jackson,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Jackson,State Senate,13,C. Susan Glick,REP,329,273,0,86,688
Steuben,Jackson,State Representative,51,Dennis J. Zent,REP,313,258,0,65,636
Steuben,Jackson,State Representative,51,Michael Stephenson,DEM,43,68,0,54,165
Steuben,Jackson,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Jackson,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Jackson,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Jamestown 1,Registered Voters,,,,,,,,1238
Steuben,Jamestown 1,Ballots Cast,,,,376,382,0,204,962
Steuben,Jamestown 1,President,,Trump / Pence,REP,291,261,0,93,645
Steuben,Jamestown 1,President,,Biden / Harris,DEM,77,112,0,103,292
Steuben,Jamestown 1,President,,Jo Jorgensen,LIB,5,4,0,5,14
Steuben,Jamestown 1,President,,Write-In,,0,0,0,1,1
Steuben,Jamestown 1,Governor,,Eric Holcomb,REP,287,289,0,134,710
Steuben,Jamestown 1,Governor,,Woody Myers,DEM,44,66,0,66,176
Steuben,Jamestown 1,Governor,,Donald Rainwater,LIB,37,22,0,1,60
Steuben,Jamestown 1,Attorney General,,Todd Rokita,REP,274,268,0,112,654
Steuben,Jamestown 1,Attorney General,,Jonathan Weinzapfel,DEM,84,99,0,88,271
Steuben,Jamestown 1,U.S. House,3,Jim Banks,REP,300,268,0,106,674
Steuben,Jamestown 1,U.S. House,3,Chip Coldiron,DEM,64,103,0,94,261
Steuben,Jamestown 1,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Jamestown 1,State Senate,13,C. Susan Glick,REP,321,285,0,141,747
Steuben,Jamestown 1,State Representative,51,Dennis J. Zent,REP,296,278,0,111,685
Steuben,Jamestown 1,State Representative,51,Michael Stephenson,DEM,65,85,0,88,238
Steuben,Jamestown 1,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Jamestown 1,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Jamestown 1,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Jamestown 2,Registered Voters,,,,,,,,1625
Steuben,Jamestown 2,Ballots Cast,,,,507,428,0,214,1149
Steuben,Jamestown 2,President,,Trump / Pence,REP,381,296,0,98,775
Steuben,Jamestown 2,President,,Biden / Harris,DEM,106,126,0,110,342
Steuben,Jamestown 2,President,,Jo Jorgensen,LIB,11,0,0,3,14
Steuben,Jamestown 2,President,,Write-In,,1,0,0,0,1
Steuben,Jamestown 2,Governor,,Eric Holcomb,REP,384,307,0,149,840
Steuben,Jamestown 2,Governor,,Woody Myers,DEM,57,87,0,60,204
Steuben,Jamestown 2,Governor,,Donald Rainwater,LIB,54,27,0,4,85
Steuben,Jamestown 2,Attorney General,,Todd Rokita,REP,372,302,0,118,792
Steuben,Jamestown 2,Attorney General,,Jonathan Weinzapfel,DEM,118,117,0,92,327
Steuben,Jamestown 2,U.S. House,3,Jim Banks,REP,387,303,0,113,803
Steuben,Jamestown 2,U.S. House,3,Chip Coldiron,DEM,103,115,0,100,318
Steuben,Jamestown 2,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Jamestown 2,State Senate,13,C. Susan Glick,REP,427,332,0,149,908
Steuben,Jamestown 2,State Representative,51,Dennis J. Zent,REP,395,309,0,127,831
Steuben,Jamestown 2,State Representative,51,Michael Stephenson,DEM,94,106,0,84,284
Steuben,Jamestown 2,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Jamestown 2,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Jamestown 2,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Millgrove,Registered Voters,,,,,,,,1224
Steuben,Millgrove,Ballots Cast,,,,547,206,2,106,861
Steuben,Millgrove,President,,Trump / Pence,REP,437,123,0,50,610
Steuben,Millgrove,President,,Biden / Harris,DEM,94,78,2,53,227
Steuben,Millgrove,President,,Jo Jorgensen,LIB,11,0,0,3,14
Steuben,Millgrove,President,,Write-In,,2,0,0,0,2
Steuben,Millgrove,Governor,,Eric Holcomb,REP,401,145,0,72,618
Steuben,Millgrove,Governor,,Woody Myers,DEM,66,52,2,29,149
Steuben,Millgrove,Governor,,Donald Rainwater,LIB,75,7,0,4,86
Steuben,Millgrove,Attorney General,,Todd Rokita,REP,421,130,0,58,609
Steuben,Millgrove,Attorney General,,Jonathan Weinzapfel,DEM,114,69,2,45,230
Steuben,Millgrove,U.S. House,3,Jim Banks,REP,435,129,0,57,621
Steuben,Millgrove,U.S. House,3,Chip Coldiron,DEM,97,70,2,45,214
Steuben,Millgrove,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Millgrove,State Senate,13,C. Susan Glick,REP,475,153,0,76,704
Steuben,Millgrove,State Representative,51,Dennis J. Zent,REP,439,133,0,57,629
Steuben,Millgrove,State Representative,51,Michael Stephenson,DEM,91,64,2,45,202
Steuben,Millgrove,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Millgrove,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Millgrove,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Otsego 1,Registered Voters,,,,,,,,1144
Steuben,Otsego 1,Ballots Cast,,,,493,231,0,115,839
Steuben,Otsego 1,President,,Trump / Pence,REP,378,127,0,49,554
Steuben,Otsego 1,President,,Biden / Harris,DEM,94,97,0,64,255
Steuben,Otsego 1,President,,Jo Jorgensen,LIB,11,5,0,1,17
Steuben,Otsego 1,President,,Write-In,,0,0,0,0,0
Steuben,Otsego 1,Governor,,Eric Holcomb,REP,370,154,0,72,596
Steuben,Otsego 1,Governor,,Woody Myers,DEM,62,56,0,37,155
Steuben,Otsego 1,Governor,,Donald Rainwater,LIB,50,20,0,3,73
Steuben,Otsego 1,Attorney General,,Todd Rokita,REP,367,141,0,64,572
Steuben,Otsego 1,Attorney General,,Jonathan Weinzapfel,DEM,106,87,0,46,239
Steuben,Otsego 1,U.S. House,3,Jim Banks,REP,386,144,0,65,595
Steuben,Otsego 1,U.S. House,3,Chip Coldiron,DEM,85,84,0,45,214
Steuben,Otsego 1,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Otsego 1,State Senate,13,C. Susan Glick,REP,415,166,0,71,652
Steuben,Otsego 1,State Representative,51,Dennis J. Zent,REP,,,,,
Steuben,Otsego 1,State Representative,51,Michael Stephenson,DEM,,,,,
Steuben,Otsego 1,State Representative,52,Ben Smaltz,REP,374,141,0,61,576
Steuben,Otsego 1,State Representative,52,Martha Lemert,DEM,75,80,0,49,204
Steuben,Otsego 1,State Representative,52,Morgan Rigg,LIB,17,3,0,1,21
Steuben,Otsego 2,Registered Voters,,,,,,,,870
Steuben,Otsego 2,Ballots Cast,,,,378,214,0,68,660
Steuben,Otsego 2,President,,Trump / Pence,REP,317,150,0,35,502
Steuben,Otsego 2,President,,Biden / Harris,DEM,49,57,0,33,139
Steuben,Otsego 2,President,,Jo Jorgensen,LIB,6,2,0,0,8
Steuben,Otsego 2,President,,Write-In,,0,0,0,0,0
Steuben,Otsego 2,Governor,,Eric Holcomb,REP,274,163,0,43,480
Steuben,Otsego 2,Governor,,Woody Myers,DEM,35,32,0,23,90
Steuben,Otsego 2,Governor,,Donald Rainwater,LIB,62,18,0,2,82
Steuben,Otsego 2,Attorney General,,Todd Rokita,REP,314,155,0,41,510
Steuben,Otsego 2,Attorney General,,Jonathan Weinzapfel,DEM,52,56,0,27,135
Steuben,Otsego 2,U.S. House,3,Jim Banks,REP,319,154,0,35,508
Steuben,Otsego 2,U.S. House,3,Chip Coldiron,DEM,51,56,0,33,140
Steuben,Otsego 2,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Otsego 2,State Senate,13,C. Susan Glick,REP,327,174,0,47,548
Steuben,Otsego 2,State Representative,51,Dennis J. Zent,REP,,,,,
Steuben,Otsego 2,State Representative,51,Michael Stephenson,DEM,,,,,
Steuben,Otsego 2,State Representative,52,Ben Smaltz,REP,304,158,0,34,496
Steuben,Otsego 2,State Representative,52,Martha Lemert,DEM,45,51,0,31,127
Steuben,Otsego 2,State Representative,52,Morgan Rigg,LIB,13,2,0,3,18
Steuben,Pleasant 1,Registered Voters,,,,,,,,1187
Steuben,Pleasant 1,Ballots Cast,,,,335,306,0,124,765
Steuben,Pleasant 1,President,,Trump / Pence,REP,240,178,0,40,458
Steuben,Pleasant 1,President,,Biden / Harris,DEM,81,116,0,77,274
Steuben,Pleasant 1,President,,Jo Jorgensen,LIB,8,7,0,6,21
Steuben,Pleasant 1,President,,Write-In,,3,2,0,0,5
Steuben,Pleasant 1,Governor,,Eric Holcomb,REP,233,189,0,62,484
Steuben,Pleasant 1,Governor,,Woody Myers,DEM,46,83,0,44,173
Steuben,Pleasant 1,Governor,,Donald Rainwater,LIB,46,30,0,4,80
Steuben,Pleasant 1,Attorney General,,Todd Rokita,REP,233,187,0,44,464
Steuben,Pleasant 1,Attorney General,,Jonathan Weinzapfel,DEM,84,112,0,61,257
Steuben,Pleasant 1,U.S. House,3,Jim Banks,REP,248,192,0,48,488
Steuben,Pleasant 1,U.S. House,3,Chip Coldiron,DEM,68,109,0,69,246
Steuben,Pleasant 1,U.S. House,3,Write-In,,1,0,0,0,1
Steuben,Pleasant 1,State Senate,13,C. Susan Glick,REP,262,225,0,71,558
Steuben,Pleasant 1,State Representative,51,Dennis J. Zent,REP,245,203,0,53,501
Steuben,Pleasant 1,State Representative,51,Michael Stephenson,DEM,70,96,0,54,220
Steuben,Pleasant 1,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 1,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 1,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 2,Registered Voters,,,,,,,,1511
Steuben,Pleasant 2,Ballots Cast,,,,333,438,0,176,947
Steuben,Pleasant 2,President,,Trump / Pence,REP,246,276,0,73,595
Steuben,Pleasant 2,President,,Biden / Harris,DEM,78,140,0,96,314
Steuben,Pleasant 2,President,,Jo Jorgensen,LIB,8,12,0,3,23
Steuben,Pleasant 2,President,,Write-In,,0,1,0,3,4
Steuben,Pleasant 2,Governor,,Eric Holcomb,REP,218,305,0,106,629
Steuben,Pleasant 2,Governor,,Woody Myers,DEM,52,95,0,64,211
Steuben,Pleasant 2,Governor,,Donald Rainwater,LIB,60,30,0,4,94
Steuben,Pleasant 2,Attorney General,,Todd Rokita,REP,239,284,0,88,611
Steuben,Pleasant 2,Attorney General,,Jonathan Weinzapfel,DEM,85,141,0,82,308
Steuben,Pleasant 2,U.S. House,3,Jim Banks,REP,249,302,0,91,642
Steuben,Pleasant 2,U.S. House,3,Chip Coldiron,DEM,77,127,0,79,283
Steuben,Pleasant 2,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Pleasant 2,State Senate,13,C. Susan Glick,REP,277,344,0,124,745
Steuben,Pleasant 2,State Representative,51,Dennis J. Zent,REP,255,309,0,96,660
Steuben,Pleasant 2,State Representative,51,Michael Stephenson,DEM,67,116,0,74,257
Steuben,Pleasant 2,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 2,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 2,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 3,Registered Voters,,,,,,,,1630
Steuben,Pleasant 3,Ballots Cast,,,,330,364,3,153,850
Steuben,Pleasant 3,President,,Trump / Pence,REP,210,220,2,57,489
Steuben,Pleasant 3,President,,Biden / Harris,DEM,103,132,1,88,324
Steuben,Pleasant 3,President,,Jo Jorgensen,LIB,11,2,0,4,17
Steuben,Pleasant 3,President,,Write-In,,0,0,0,4,4
Steuben,Pleasant 3,Governor,,Eric Holcomb,REP,229,237,2,91,559
Steuben,Pleasant 3,Governor,,Woody Myers,DEM,53,97,1,53,204
Steuben,Pleasant 3,Governor,,Donald Rainwater,LIB,39,23,0,6,68
Steuben,Pleasant 3,Attorney General,,Todd Rokita,REP,221,226,2,76,525
Steuben,Pleasant 3,Attorney General,,Jonathan Weinzapfel,DEM,93,127,1,74,295
Steuben,Pleasant 3,U.S. House,3,Jim Banks,REP,223,238,2,79,542
Steuben,Pleasant 3,U.S. House,3,Chip Coldiron,DEM,94,113,1,68,276
Steuben,Pleasant 3,U.S. House,3,Write-In,,0,0,0,1,1
Steuben,Pleasant 3,State Senate,13,C. Susan Glick,REP,268,273,2,101,644
Steuben,Pleasant 3,State Representative,51,Dennis J. Zent,REP,232,238,2,76,548
Steuben,Pleasant 3,State Representative,51,Michael Stephenson,DEM,80,113,1,72,266
Steuben,Pleasant 3,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 3,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 3,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 4,Registered Voters,,,,,,,,1008
Steuben,Pleasant 4,Ballots Cast,,,,236,259,0,66,561
Steuben,Pleasant 4,President,,Trump / Pence,REP,164,135,0,22,321
Steuben,Pleasant 4,President,,Biden / Harris,DEM,59,112,0,42,213
Steuben,Pleasant 4,President,,Jo Jorgensen,LIB,4,9,0,0,13
Steuben,Pleasant 4,President,,Write-In,,6,0,0,0,6
Steuben,Pleasant 4,Governor,,Eric Holcomb,REP,135,137,0,37,309
Steuben,Pleasant 4,Governor,,Woody Myers,DEM,47,86,0,27,160
Steuben,Pleasant 4,Governor,,Donald Rainwater,LIB,49,31,0,0,80
Steuben,Pleasant 4,Attorney General,,Todd Rokita,REP,155,136,0,28,319
Steuben,Pleasant 4,Attorney General,,Jonathan Weinzapfel,DEM,75,116,0,35,226
Steuben,Pleasant 4,U.S. House,3,Jim Banks,REP,171,137,0,27,335
Steuben,Pleasant 4,U.S. House,3,Chip Coldiron,DEM,61,112,0,37,210
Steuben,Pleasant 4,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Pleasant 4,State Senate,13,C. Susan Glick,REP,200,176,0,42,418
Steuben,Pleasant 4,State Representative,51,Dennis J. Zent,REP,170,143,0,30,343
Steuben,Pleasant 4,State Representative,51,Michael Stephenson,DEM,57,101,0,33,191
Steuben,Pleasant 4,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 4,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 4,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 5,Registered Voters,,,,,,,,1280
Steuben,Pleasant 5,Ballots Cast,,,,301,360,1,94,756
Steuben,Pleasant 5,President,,Trump / Pence,REP,236,240,1,40,517
Steuben,Pleasant 5,President,,Biden / Harris,DEM,56,110,0,51,217
Steuben,Pleasant 5,President,,Jo Jorgensen,LIB,6,5,0,1,12
Steuben,Pleasant 5,President,,Write-In,,0,1,0,0,1
Steuben,Pleasant 5,Governor,,Eric Holcomb,REP,215,241,1,56,513
Steuben,Pleasant 5,Governor,,Woody Myers,DEM,36,71,0,36,143
Steuben,Pleasant 5,Governor,,Donald Rainwater,LIB,44,43,0,2,89
Steuben,Pleasant 5,Attorney General,,Todd Rokita,REP,225,244,1,50,520
Steuben,Pleasant 5,Attorney General,,Jonathan Weinzapfel,DEM,69,104,0,41,214
Steuben,Pleasant 5,U.S. House,3,Jim Banks,REP,238,247,1,46,532
Steuben,Pleasant 5,U.S. House,3,Chip Coldiron,DEM,58,105,0,46,209
Steuben,Pleasant 5,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Pleasant 5,State Senate,13,C. Susan Glick,REP,256,275,1,63,595
Steuben,Pleasant 5,State Representative,51,Dennis J. Zent,REP,236,251,1,50,538
Steuben,Pleasant 5,State Representative,51,Michael Stephenson,DEM,58,95,0,42,195
Steuben,Pleasant 5,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 5,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 5,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 6,Registered Voters,,,,,,,,1225
Steuben,Pleasant 6,Ballots Cast,,,,410,355,1,119,885
Steuben,Pleasant 6,President,,Trump / Pence,REP,337,232,0,58,627
Steuben,Pleasant 6,President,,Biden / Harris,DEM,64,114,1,61,240
Steuben,Pleasant 6,President,,Jo Jorgensen,LIB,6,4,0,0,10
Steuben,Pleasant 6,President,,Write-In,,1,1,0,0,2
Steuben,Pleasant 6,Governor,,Eric Holcomb,REP,311,254,1,79,645
Steuben,Pleasant 6,Governor,,Woody Myers,DEM,36,75,0,36,147
Steuben,Pleasant 6,Governor,,Donald Rainwater,LIB,51,22,0,3,76
Steuben,Pleasant 6,Attorney General,,Todd Rokita,REP,326,239,1,66,632
Steuben,Pleasant 6,Attorney General,,Jonathan Weinzapfel,DEM,71,102,0,49,222
Steuben,Pleasant 6,U.S. House,3,Jim Banks,REP,348,249,0,68,665
Steuben,Pleasant 6,U.S. House,3,Chip Coldiron,DEM,50,95,1,48,194
Steuben,Pleasant 6,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Pleasant 6,State Senate,13,C. Susan Glick,REP,355,274,0,82,711
Steuben,Pleasant 6,State Representative,51,Dennis J. Zent,REP,342,260,0,73,675
Steuben,Pleasant 6,State Representative,51,Michael Stephenson,DEM,51,84,1,45,181
Steuben,Pleasant 6,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 6,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 6,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Pleasant 7,Registered Voters,,,,,,,,1629
Steuben,Pleasant 7,Ballots Cast,,,,501,494,1,190,1186
Steuben,Pleasant 7,President,,Trump / Pence,REP,416,345,1,86,848
Steuben,Pleasant 7,President,,Biden / Harris,DEM,75,134,0,94,303
Steuben,Pleasant 7,President,,Jo Jorgensen,LIB,7,11,0,8,26
Steuben,Pleasant 7,President,,Write-In,,0,0,0,0,0
Steuben,Pleasant 7,Governor,,Eric Holcomb,REP,389,361,1,128,879
Steuben,Pleasant 7,Governor,,Woody Myers,DEM,50,90,0,45,185
Steuben,Pleasant 7,Governor,,Donald Rainwater,LIB,56,37,0,4,97
Steuben,Pleasant 7,Attorney General,,Todd Rokita,REP,409,357,1,106,873
Steuben,Pleasant 7,Attorney General,,Jonathan Weinzapfel,DEM,79,120,0,77,276
Steuben,Pleasant 7,U.S. House,3,Jim Banks,REP,421,357,1,104,883
Steuben,Pleasant 7,U.S. House,3,Chip Coldiron,DEM,67,119,0,73,259
Steuben,Pleasant 7,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Pleasant 7,State Senate,13,C. Susan Glick,REP,436,388,1,138,963
Steuben,Pleasant 7,State Representative,51,Dennis J. Zent,REP,424,357,1,116,898
Steuben,Pleasant 7,State Representative,51,Michael Stephenson,DEM,62,114,0,68,244
Steuben,Pleasant 7,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Pleasant 7,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Pleasant 7,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Richland,Registered Voters,,,,,,,,264
Steuben,Richland,Ballots Cast,,,,113,45,0,12,170
Steuben,Richland,President,,Trump / Pence,REP,99,30,0,4,133
Steuben,Richland,President,,Biden / Harris,DEM,10,12,0,7,29
Steuben,Richland,President,,Jo Jorgensen,LIB,1,2,0,1,4
Steuben,Richland,President,,Write-In,,0,0,0,0,0
Steuben,Richland,Governor,,Eric Holcomb,REP,84,27,0,9,120
Steuben,Richland,Governor,,Woody Myers,DEM,9,12,0,3,24
Steuben,Richland,Governor,,Donald Rainwater,LIB,19,5,0,0,24
Steuben,Richland,Attorney General,,Todd Rokita,REP,95,34,0,5,134
Steuben,Richland,Attorney General,,Jonathan Weinzapfel,DEM,11,11,0,6,28
Steuben,Richland,U.S. House,3,Jim Banks,REP,95,33,0,5,133
Steuben,Richland,U.S. House,3,Chip Coldiron,DEM,14,12,0,6,32
Steuben,Richland,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Richland,State Senate,13,C. Susan Glick,REP,100,35,0,6,141
Steuben,Richland,State Representative,51,Dennis J. Zent,REP,,,,,
Steuben,Richland,State Representative,51,Michael Stephenson,DEM,,,,,
Steuben,Richland,State Representative,52,Ben Smaltz,REP,93,29,0,5,127
Steuben,Richland,State Representative,52,Martha Lemert,DEM,10,12,0,6,28
Steuben,Richland,State Representative,52,Morgan Rigg,LIB,7,3,0,0,10
Steuben,Salem,Registered Voters,,,,,,,,1488
Steuben,Salem,Ballots Cast,,,,599,319,0,128,1046
Steuben,Salem,President,,Trump / Pence,REP,510,245,0,69,824
Steuben,Salem,President,,Biden / Harris,DEM,63,61,0,56,180
