county,precinct,office,district,candidate,party,votes,election_day,absentee
Crawford,Whiskey Run 1,Straight Party,,Democratic,DEM,54,24,30
Crawford,Whiskey Run 1,Straight Party,,Libertarian,LIB,0,0,0
Crawford,Whiskey Run 1,President,,Trump / Pence,REP,262,191,71
Crawford,Whiskey Run 1,President,,Biden / Harris,DEM,116,45,71
Crawford,Whiskey Run 1,President,,Jorgensen / Cohen,LIB,7,4,3
Crawford,Whiskey Run 1,President,,Write-In,,1,0,1
Crawford,Whiskey Run 1,Governor,,Holcomb / Crouch,REP,227,162,65
Crawford,Whiskey Run 1,Governor,,Meyers / Lawson,DEM,107,44,63
Crawford,Whiskey Run 1,Governor,,Rainwater / Henry,LIB,45,32,13
Crawford,Whiskey Run 1,Attorney General,,Todd Rokita,REP,240,171,69
Crawford,Whiskey Run 1,Attorney General,,Jonathan Weinzapfel,DEM,127,54,73
Crawford,Whiskey Run 1,U.S. House,9,Trey Hollingsworth,REP,255,181,74
Crawford,Whiskey Run 1,U.S. House,9,Andy Ruff,DEM,112,47,65
Crawford,Whiskey Run 1,U.S. House,9,Tonya L. Millis,LIB,10,6,4
Crawford,Whiskey Run 1,U.S. House,9,Write-In,,0,0,0
Crawford,Whiskey Run 1,State House,74,Stephen R. Bartels,REP,283,191,92
Crawford,Whiskey Run 2,Registered Voters,,,,813,,
Crawford,Whiskey Run 2,Ballots Cast,,,,524,328,196
Crawford,Whiskey Run 2,Straight Party,,Republican Party,REP,155,109,46
Crawford,Whiskey Run 2,Straight Party,,Democratic,DEM,59,23,36
Crawford,Whiskey Run 2,Straight Party,,Libertarian,LIB,2,2,0
Crawford,Whiskey Run 2,President,,Trump / Pence,REP,365,262,103
Crawford,Whiskey Run 2,President,,Biden / Harris,DEM,143,58,85
Crawford,Whiskey Run 2,President,,Jorgensen / Cohen,LIB,10,5,5
Crawford,Whiskey Run 2,President,,Write-In,,1,0,1
Crawford,Whiskey Run 2,Governor,,Holcomb / Crouch,REP,331,230,101
Crawford,Whiskey Run 2,Governor,,Meyers / Lawson,DEM,136,58,78
Crawford,Whiskey Run 2,Governor,,Rainwater / Henry,LIB,45,36,9
Crawford,Whiskey Run 2,Attorney General,,Todd Rokita,REP,331,242,89
Crawford,Whiskey Run 2,Attorney General,,Jonathan Weinzapfel,DEM,152,65,87
Crawford,Whiskey Run 2,U.S. House,9,Trey Hollingsworth,REP,347,250,97
Crawford,Whiskey Run 2,U.S. House,9,Andy Ruff,DEM,142,58,84
Crawford,Whiskey Run 2,U.S. House,9,Tonya L. Millis,LIB,15,11,4
Crawford,Whiskey Run 2,U.S. House,9,Write-In,,0,0,0
Crawford,Whiskey Run 2,State House,74,Stephen R. Bartels,REP,385,267,118
Crawford,Liberty 1,Registered Voters,,,,644,,
Crawford,Liberty 1,Ballots Cast,,,,421,271,150
Crawford,Liberty 1,Straight Party,,Republican Party,REP,84,62,22
Crawford,Liberty 1,Straight Party,,Democratic,DEM,45,14,31
Crawford,Liberty 1,Straight Party,,Libertarian,LIB,2,2,0
Crawford,Liberty 1,President,,Trump / Pence,REP,265,207,58
Crawford,Liberty 1,President,,Biden / Harris,DEM,140,53,87
Crawford,Liberty 1,President,,Jorgensen / Cohen,LIB,11,7,4
Crawford,Liberty 1,President,,Write-In,,0,0,0
Crawford,Liberty 1,Governor,,Holcomb / Crouch,REP,234,164,70
Crawford,Liberty 1,Governor,,Meyers / Lawson,DEM,118,47,71
Crawford,Liberty 1,Governor,,Rainwater / Henry,LIB,59,52,7
Crawford,Liberty 1,Attorney General,,Todd Rokita,REP,239,182,57
Crawford,Liberty 1,Attorney General,,Jonathan Weinzapfel,DEM,149,69,80
Crawford,Liberty 1,U.S. House,9,Trey Hollingsworth,REP,238,175,63
Crawford,Liberty 1,U.S. House,9,Andy Ruff,DEM,138,58,80
Crawford,Liberty 1,U.S. House,9,Tonya L. Millis,LIB,27,25,2
Crawford,Liberty 1,U.S. House,9,Write-In,,0,0,0
Crawford,Liberty 1,State House,74,Stephen R. Bartels,REP,279,209,70
Crawford,Liberty 2,Registered Voters,,,,743,,
Crawford,Liberty 2,Ballots Cast,,,,421,263,158
Crawford,Liberty 2,Straight Party,,Republican Party,REP,90,63,27
Crawford,Liberty 2,Straight Party,,Democratic,DEM,53,21,32
Crawford,Liberty 2,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Liberty 2,President,,Trump / Pence,REP,277,193,84
Crawford,Liberty 2,President,,Biden / Harris,DEM,128,61,67
Crawford,Liberty 2,President,,Jorgensen / Cohen,LIB,8,4,4
Crawford,Liberty 2,President,,Write-In,,0,0,0
Crawford,Liberty 2,Governor,,Holcomb / Crouch,REP,238,169,69
Crawford,Liberty 2,Governor,,Meyers / Lawson,DEM,126,58,68
Crawford,Liberty 2,Governor,,Rainwater / Henry,LIB,46,28,18
Crawford,Liberty 2,Attorney General,,Todd Rokita,REP,251,173,78
Crawford,Liberty 2,Attorney General,,Jonathan Weinzapfel,DEM,138,72,66
Crawford,Liberty 2,U.S. House,9,Trey Hollingsworth,REP,275,190,85
Crawford,Liberty 2,U.S. House,9,Andy Ruff,DEM,111,51,60
Crawford,Liberty 2,U.S. House,9,Tonya L. Millis,LIB,19,14,5
Crawford,Liberty 2,U.S. House,9,Write-In,,0,0,0
Crawford,Liberty 2,State House,74,Stephen R. Bartels,REP,299,202,97
Crawford,Sterling 1,Registered Voters,,,,261,,
Crawford,Sterling 1,Ballots Cast,,,,163,84,79
Crawford,Sterling 1,Straight Party,,Republican Party,REP,39,19,20
Crawford,Sterling 1,Straight Party,,Democratic,DEM,15,0,15
Crawford,Sterling 1,Straight Party,,Libertarian,LIB,4,2,2
Crawford,Sterling 1,President,,Trump / Pence,REP,108,61,47
Crawford,Sterling 1,President,,Biden / Harris,DEM,51,20,31
Crawford,Sterling 1,President,,Jorgensen / Cohen,LIB,4,3,1
Crawford,Sterling 1,President,,Write-In,,0,0,0
Crawford,Sterling 1,Governor,,Holcomb / Crouch,REP,93,52,41
Crawford,Sterling 1,Governor,,Meyers / Lawson,DEM,47,16,31
Crawford,Sterling 1,Governor,,Rainwater / Henry,LIB,18,13,5
Crawford,Sterling 1,Attorney General,,Todd Rokita,REP,92,57,35
Crawford,Sterling 1,Attorney General,,Jonathan Weinzapfel,DEM,58,22,36
Crawford,Sterling 1,U.S. House,9,Trey Hollingsworth,REP,93,52,41
Crawford,Sterling 1,U.S. House,9,Andy Ruff,DEM,52,19,33
Crawford,Sterling 1,U.S. House,9,Tonya L. Millis,LIB,10,9,1
Crawford,Sterling 1,U.S. House,9,Write-In,,0,0,0
Crawford,Sterling 1,State House,74,Stephen R. Bartels,REP,113,65,48
Crawford,Sterling 2,Registered Voters,,,,481,,
Crawford,Sterling 2,Ballots Cast,,,,289,161,128
Crawford,Sterling 2,Straight Party,,Republican Party,REP,76,38,38
Crawford,Sterling 2,Straight Party,,Democratic,DEM,24,5,19
Crawford,Sterling 2,Straight Party,,Libertarian,LIB,1,0,1
Crawford,Sterling 2,President,,Trump / Pence,REP,199,125,74
Crawford,Sterling 2,President,,Biden / Harris,DEM,79,29,50
Crawford,Sterling 2,President,,Jorgensen / Cohen,LIB,9,5,4
Crawford,Sterling 2,President,,Write-In,,1,1,0
Crawford,Sterling 2,Governor,,Holcomb / Crouch,REP,174,107,67
Crawford,Sterling 2,Governor,,Meyers / Lawson,DEM,70,24,46
Crawford,Sterling 2,Governor,,Rainwater / Henry,LIB,36,25,11
Crawford,Sterling 2,Attorney General,,Todd Rokita,REP,183,113,70
Crawford,Sterling 2,Attorney General,,Jonathan Weinzapfel,DEM,84,34,50
Crawford,Sterling 2,U.S. House,8,Larry D. Buschon,REP,0,0,0
Crawford,Sterling 2,U.S. House,8,E. Thomasina Marsili,DEM,0,0,0
Crawford,Sterling 2,U.S. House,8,James D. Rodenberger,,0,0,0
Crawford,Sterling 2,U.S. House,8,Write-In,,0,0,0
Crawford,Sterling 2,U.S. House,9,Trey Hollingsworth,REP,183,111,72
Crawford,Sterling 2,U.S. House,9,Andy Ruff,DEM,78,34,44
Crawford,Sterling 2,U.S. House,9,Tonya L. Millis,LIB,13,7,6
Crawford,Sterling 2,U.S. House,9,Write-In,,0,0,0
Crawford,Sterling 2,State House,74,Stephen R. Bartels,REP,211,126,85
Crawford,Sterling 3,Registered Voters,,,,463,,
Crawford,Sterling 3,Ballots Cast,,,,300,161,139
Crawford,Sterling 3,Straight Party,,Republican Party,REP,90,56,34
Crawford,Sterling 3,Straight Party,,Democratic,DEM,21,5,16
Crawford,Sterling 3,Straight Party,,Libertarian,LIB,0,0,0
Crawford,Sterling 3,President,,Trump / Pence,REP,233,144,89
Crawford,Sterling 3,President,,Biden / Harris,DEM,60,14,46
Crawford,Sterling 3,President,,Jorgensen / Cohen,LIB,6,3,3
Crawford,Sterling 3,President,,Write-In,,0,0,0
Crawford,Sterling 3,Governor,,Holcomb / Crouch,REP,204,119,85
Crawford,Sterling 3,Governor,,Meyers / Lawson,DEM,49,14,35
Crawford,Sterling 3,Governor,,Rainwater / Henry,LIB,34,24,10
Crawford,Sterling 3,Attorney General,,Todd Rokita,REP,203,125,78
Crawford,Sterling 3,Attorney General,,Jonathan Weinzapfel,DEM,64,21,43
Crawford,Sterling 3,U.S. House,9,Trey Hollingsworth,REP,218,135,83
Crawford,Sterling 3,U.S. House,9,Andy Ruff,DEM,53,15,38
Crawford,Sterling 3,U.S. House,9,Tonya L. Millis,LIB,9,2,7
Crawford,Sterling 3,U.S. House,9,Write-In,,0,0,0
Crawford,Sterling 3,State House,74,Stephen R. Bartels,REP,233,140,93
Crawford,Patoka 1,Registered Voters,,,,775,,
Crawford,Patoka 1,Ballots Cast,,,,491,317,174
Crawford,Patoka 1,Straight Party,,Republican Party,REP,140,87,53
Crawford,Patoka 1,Straight Party,,Democratic,DEM,43,17,26
Crawford,Patoka 1,Straight Party,,Libertarian,LIB,2,1,1
Crawford,Patoka 1,President,,Trump / Pence,REP,358,247,111
Crawford,Patoka 1,President,,Biden / Harris,DEM,118,62,56
Crawford,Patoka 1,President,,Jorgensen / Cohen,LIB,11,8,3
Crawford,Patoka 1,President,,Write-In,,0,0,0
Crawford,Patoka 1,Governor,,Holcomb / Crouch,REP,297,198,99
Crawford,Patoka 1,Governor,,Meyers / Lawson,DEM,117,63,54
Crawford,Patoka 1,Governor,,Rainwater / Henry,LIB,58,45,13
Crawford,Patoka 1,Attorney General,,Todd Rokita,REP,284,197,87
Crawford,Patoka 1,Attorney General,,Jonathan Weinzapfel,DEM,153,91,62
Crawford,Patoka 1,U.S. House,9,Trey Hollingsworth,REP,315,213,102
Crawford,Patoka 1,U.S. House,9,Andy Ruff,DEM,127,70,57
Crawford,Patoka 1,U.S. House,9,Tonya L. Millis,LIB,12,6,6
Crawford,Patoka 1,U.S. House,9,Write-In,,1,1,0
Crawford,Patoka 1,State House,74,Stephen R. Bartels,REP,346,236,110
Crawford,Patoka 2,Registered Voters,,,,416,,
Crawford,Patoka 2,Ballots Cast,,,,280,134,146
Crawford,Patoka 2,Straight Party,,Republican Party,REP,99,44,55
Crawford,Patoka 2,Straight Party,,Democratic,DEM,32,6,26
Crawford,Patoka 2,Straight Party,,Libertarian,LIB,0,0,0
Crawford,Patoka 2,President,,Trump / Pence,REP,190,105,85
Crawford,Patoka 2,President,,Biden / Harris,DEM,79,26,53
Crawford,Patoka 2,President,,Jorgensen / Cohen,LIB,8,3,5
Crawford,Patoka 2,President,,Write-In,,0,0,0
Crawford,Patoka 2,Governor,,Holcomb / Crouch,REP,178,91,87
Crawford,Patoka 2,Governor,,Meyers / Lawson,DEM,63,17,46
Crawford,Patoka 2,Governor,,Rainwater / Henry,LIB,37,26,11
Crawford,Patoka 2,Attorney General,,Todd Rokita,REP,191,104,87
Crawford,Patoka 2,Attorney General,,Jonathan Weinzapfel,DEM,73,23,50
Crawford,Patoka 2,U.S. House,8,Larry D. Buschon,REP,180,99,81
Crawford,Patoka 2,U.S. House,8,E. Thomasina Marsili,DEM,70,22,48
Crawford,Patoka 2,U.S. House,8,James D. Rodenberger,,16,7,9
Crawford,Patoka 2,U.S. House,8,Write-In,,0,0,0
Crawford,Patoka 2,State House,74,Stephen R. Bartels,REP,205,105,100
Crawford,Johnson 1,Registered Voters,,,,307,,
Crawford,Johnson 1,Ballots Cast,,,,184,133,51
Crawford,Johnson 1,Straight Party,,Republican Party,REP,48,35,13
Crawford,Johnson 1,Straight Party,,Democratic,DEM,14,8,6
Crawford,Johnson 1,Straight Party,,Libertarian,LIB,2,2,0
Crawford,Johnson 1,President,,Trump / Pence,REP,138,106,32
Crawford,Johnson 1,President,,Biden / Harris,DEM,41,24,17
Crawford,Johnson 1,President,,Jorgensen / Cohen,LIB,2,1,1
Crawford,Johnson 1,President,,Write-In,,0,0,0
Crawford,Johnson 1,Governor,,Holcomb / Crouch,REP,117,92,25
Crawford,Johnson 1,Governor,,Meyers / Lawson,DEM,34,19,15
Crawford,Johnson 1,Governor,,Rainwater / Henry,LIB,26,15,11
Crawford,Johnson 1,Attorney General,,Todd Rokita,REP,116,89,27
Crawford,Johnson 1,Attorney General,,Jonathan Weinzapfel,DEM,48,28,20
Crawford,Johnson 1,U.S. House,8,Larry D. Buschon,REP,122,94,28
Crawford,Johnson 1,U.S. House,8,E. Thomasina Marsili,DEM,36,20,16
Crawford,Johnson 1,U.S. House,8,James D. Rodenberger,,6,4,2
Crawford,Johnson 1,U.S. House,8,Write-In,,0,0,0
Crawford,Johnson 1,State House,74,Stephen R. Bartels,REP,139,104,35
Crawford,Johnson 2,Registered Voters,,,,8,,
Crawford,Johnson 2,Ballots Cast,,,,1,1,0
Crawford,Johnson 2,Straight Party,,Republican Party,REP,1,1,0
Crawford,Johnson 2,Straight Party,,Democratic,DEM,0,0,0
Crawford,Johnson 2,Straight Party,,Libertarian,LIB,0,0,0
Crawford,Johnson 2,President,,Trump / Pence,REP,1,1,0
Crawford,Johnson 2,President,,Biden / Harris,DEM,0,0,0
Crawford,Johnson 2,President,,Jorgensen / Cohen,LIB,0,0,0
Crawford,Johnson 2,President,,Write-In,,0,0,0
Crawford,Johnson 2,Governor,,Holcomb / Crouch,REP,1,1,0
Crawford,Johnson 2,Governor,,Meyers / Lawson,DEM,0,0,0
Crawford,Johnson 2,Governor,,Rainwater / Henry,LIB,0,0,0
Crawford,Johnson 2,Attorney General,,Todd Rokita,REP,1,1,0
Crawford,Johnson 2,Attorney General,,Jonathan Weinzapfel,DEM,0,0,0
Crawford,Johnson 2,U.S. House,9,Trey Hollingsworth,REP,1,1,0
Crawford,Johnson 2,U.S. House,9,Andy Ruff,DEM,0,0,0
Crawford,Johnson 2,U.S. House,9,Tonya L. Millis,LIB,0,0,0
Crawford,Johnson 2,U.S. House,9,Write-In,,0,0,0
Crawford,Johnson 2,State House,74,Stephen R. Bartels,REP,1,1,0
Crawford,Union 1,Registered Voters,,,,337,,
Crawford,Union 1,Ballots Cast,,,,226,130,96
Crawford,Union 1,Straight Party,,Republican Party,REP,67,37,30
Crawford,Union 1,Straight Party,,Democratic,DEM,35,13,22
Crawford,Union 1,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Union 1,President,,Trump / Pence,REP,153,97,56
Crawford,Union 1,President,,Biden / Harris,DEM,65,29,36
Crawford,Union 1,President,,Jorgensen / Cohen,LIB,6,4,2
Crawford,Union 1,President,,Write-In,,0,0,0
Crawford,Union 1,Governor,,Holcomb / Crouch,REP,145,85,60
Crawford,Union 1,Governor,,Meyers / Lawson,DEM,58,25,33
Crawford,Union 1,Governor,,Rainwater / Henry,LIB,19,16,3
Crawford,Union 1,Attorney General,,Todd Rokita,REP,133,82,51
Crawford,Union 1,Attorney General,,Jonathan Weinzapfel,DEM,79,38,41
Crawford,Union 1,U.S. House,9,Trey Hollingsworth,REP,146,90,56
Crawford,Union 1,U.S. House,9,Andy Ruff,DEM,65,29,36
Crawford,Union 1,U.S. House,9,Tonya L. Millis,LIB,7,7,0
Crawford,Union 1,U.S. House,9,Write-In,,0,0,0
Crawford,Union 1,State House,74,Stephen R. Bartels,REP,150,89,61
Crawford,Union 2,Registered Voters,,,,243,,
Crawford,Union 2,Ballots Cast,,,,158,103,55
Crawford,Union 2,Straight Party,,Republican Party,REP,56,39,17
Crawford,Union 2,Straight Party,,Democratic,DEM,15,6,9
Crawford,Union 2,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Union 2,President,,Trump / Pence,REP,128,91,37
Crawford,Union 2,President,,Biden / Harris,DEM,24,9,15
Crawford,Union 2,President,,Jorgensen / Cohen,LIB,2,1,1
Crawford,Union 2,President,,Write-In,,0,0,0
Crawford,Union 2,Governor,,Holcomb / Crouch,REP,114,75,39
Crawford,Union 2,Governor,,Meyers / Lawson,DEM,28,13,15
Crawford,Union 2,Governor,,Rainwater / Henry,LIB,11,10,1
Crawford,Union 2,Attorney General,,Todd Rokita,REP,112,77,35
Crawford,Union 2,Attorney General,,Jonathan Weinzapfel,DEM,30,13,17
Crawford,Union 2,U.S. House,8,Larry D. Buschon,REP,113,78,35
Crawford,Union 2,U.S. House,8,E. Thomasina Marsili,DEM,28,12,16
Crawford,Union 2,U.S. House,8,James D. Rodenberger,,3,2,1
Crawford,Union 2,U.S. House,8,Write-In,,0,0,0
Crawford,Union 2,State House,74,Stephen R. Bartels,REP,119,80,39
Crawford,Ohio 1,Registered Voters,,,,297,,
Crawford,Ohio 1,Ballots Cast,,,,196,113,83
Crawford,Ohio 1,Straight Party,,Republican Party,REP,43,28,15
Crawford,Ohio 1,Straight Party,,Democratic,DEM,11,5,6
Crawford,Ohio 1,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Ohio 1,President,,Trump / Pence,REP,121,81,40
Crawford,Ohio 1,President,,Biden / Harris,DEM,69,29,40
Crawford,Ohio 1,President,,Jorgensen / Cohen,LIB,2,1,1
Crawford,Ohio 1,President,,Write-In,,0,0,0
Crawford,Ohio 1,Governor,,Holcomb / Crouch,REP,103,68,35
Crawford,Ohio 1,Governor,,Meyers / Lawson,DEM,63,27,36
Crawford,Ohio 1,Governor,,Rainwater / Henry,LIB,19,14,5
Crawford,Ohio 1,Attorney General,,Todd Rokita,REP,106,75,31
Crawford,Ohio 1,Attorney General,,Jonathan Weinzapfel,DEM,67,30,37
Crawford,Ohio 1,U.S. House,9,Trey Hollingsworth,REP,110,77,33
Crawford,Ohio 1,U.S. House,9,Andy Ruff,DEM,68,27,41
Crawford,Ohio 1,U.S. House,9,Tonya L. Millis,LIB,7,5,2
Crawford,Ohio 1,U.S. House,9,Write-In,,0,0,0
Crawford,Ohio 1,State House,74,Stephen R. Bartels,REP,125,83,42
Crawford,Ohio 2,Registered Voters,,,,204,,
Crawford,Ohio 2,Ballots Cast,,,,127,87,40
Crawford,Ohio 2,Straight Party,,Republican Party,REP,27,19,8
Crawford,Ohio 2,Straight Party,,Democratic,DEM,5,2,3
Crawford,Ohio 2,Straight Party,,Libertarian,LIB,0,0,0
Crawford,Ohio 2,President,,Trump / Pence,REP,90,73,17
Crawford,Ohio 2,President,,Biden / Harris,DEM,36,14,22
Crawford,Ohio 2,President,,Jorgensen / Cohen,LIB,0,0,0
Crawford,Ohio 2,President,,Write-In,,0,0,0
Crawford,Ohio 2,Governor,,Holcomb / Crouch,REP,79,61,18
Crawford,Ohio 2,Governor,,Meyers / Lawson,DEM,36,15,21
Crawford,Ohio 2,Governor,,Rainwater / Henry,LIB,9,8,1
Crawford,Ohio 2,Attorney General,,Todd Rokita,REP,69,52,17
Crawford,Ohio 2,Attorney General,,Jonathan Weinzapfel,DEM,43,22,21
Crawford,Ohio 2,U.S. House,8,Larry D. Buschon,REP,72,57,15
Crawford,Ohio 2,U.S. House,8,E. Thomasina Marsili,DEM,36,16,20
Crawford,Ohio 2,U.S. House,8,James D. Rodenberger,,4,3,1
Crawford,Ohio 2,U.S. House,8,Write-In,,0,0,0
Crawford,Ohio 2,State House,74,Stephen R. Bartels,REP,82,60,22
Crawford,Boone,Registered Voters,,,,110,,
Crawford,Boone,Ballots Cast,,,,71,56,15
Crawford,Boone,Straight Party,,Republican Party,REP,23,19,4
Crawford,Boone,Straight Party,,Democratic,DEM,4,2,2
Crawford,Boone,Straight Party,,Libertarian,LIB,1,1,0
Crawford,Boone,President,,Trump / Pence,REP,51,44,7
Crawford,Boone,President,,Biden / Harris,DEM,18,10,8
Crawford,Boone,President,,Jorgensen / Cohen,LIB,2,2,0
Crawford,Boone,President,,Write-In,,0,0,0
Crawford,Boone,Governor,,Holcomb / Crouch,REP,51,40,11
Crawford,Boone,Governor,,Meyers / Lawson,DEM,12,8,4
Crawford,Boone,Governor,,Rainwater / Henry,LIB,7,7,0
Crawford,Boone,Attorney General,,Todd Rokita,REP,43,38,5
Crawford,Boone,Attorney General,,Jonathan Weinzapfel,DEM,20,12,8
Crawford,Boone,U.S. House,8,Larry D. Buschon,REP,48,42,6
Crawford,Boone,U.S. House,8,E. Thomasina Marsili,DEM,17,10,7
Crawford,Boone,U.S. House,8,James D. Rodenberger,,1,1,0
Crawford,Boone,U.S. House,8,Write-In,,0,0,0
Crawford,Boone,State House,74,Stephen R. Bartels,REP,53,45,8
