county,precinct,office,district,party,candidate,election_day,early_voting,post_election,absentee,votes
Newton,Iroquois 2,Governor,,DEM,Woodrow (Woody) Myers,21,8,0,5,34
Newton,Iroquois 2,Governor,,LIB,Donald G Rainwater II,48,4,0,0,52
Newton,Iroquois 2,Governor,,,Over votes,0,0,0,0,0
Newton,Iroquois 2,Governor,,,Under votes,4,2,0,0,6
Newton,Iroquois 2,Attorney General,,REP,Todd Rokita,197,31,0,22,250
Newton,Iroquois 2,Attorney General,,DEM,Jonathan Weinzapfel,30,10,0,8,48
Newton,Iroquois 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Iroquois 2,Attorney General,,,Under votes,13,4,0,0,17
Newton,Iroquois 2,U.S. House,4,REP,Jim Baird,193,32,0,21,246
Newton,Iroquois 2,U.S. House,4,DEM,Joe Mackey,33,9,0,8,50
Newton,Iroquois 2,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Iroquois 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Iroquois 2,U.S. House,4,,Under votes,14,4,0,1,19
Newton,Iroquois 2,State Representative,13,REP,Sharon Negele,200,33,0,22,255
Newton,Iroquois 2,State Representative,13,DEM,Loretta Barnes,29,8,0,8,45
Newton,Iroquois 2,State Representative,13,,Over votes,0,0,0,0,0
Newton,Iroquois 2,State Representative,13,,Under votes,11,4,0,0,15
Newton,Iroquois 2,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Iroquois 2,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Iroquois 2,State Representative,16,,Over votes,,,,,
Newton,Iroquois 2,State Representative,16,,Under votes,,,,,
Newton,Jackson,Registered Voters,,,,,,,,294
Newton,Jackson,Ballots Cast,,,,153,23,0,41,217
Newton,Jackson,Straight Party,,REP,,44,8,0,3,55
Newton,Jackson,Straight Party,,DEM,,3,3,0,4,10
Newton,Jackson,Straight Party,,LIB,,2,0,0,1,3
Newton,Jackson,Straight Party,,,Over votes,0,0,0,0,0
Newton,Jackson,Straight Party,,,Under votes,104,12,0,33,149
Newton,Jackson,President,,REP,Donald J Trump,127,12,0,24,163
Newton,Jackson,President,,DEM,Joseph R Biden,21,11,0,17,49
Newton,Jackson,President,,LIB,Jo Jorgensen,5,0,0,0,5
Newton,Jackson,President,,,Write-In votes,0,0,0,0,0
Newton,Jackson,President,,,Over votes,0,0,0,0,0
Newton,Jackson,President,,,Under votes,0,0,0,0,0
Newton,Jackson,Governor,,REP,Eric Holcomb,105,10,0,23,138
Newton,Jackson,Governor,,DEM,Woodrow (Woody) Myers,16,8,0,14,38
Newton,Jackson,Governor,,LIB,Donald G Rainwater II,31,5,0,4,40
Newton,Jackson,Governor,,,Over votes,0,0,0,0,0
Newton,Jackson,Governor,,,Under votes,1,0,0,0,1
Newton,Jackson,Attorney General,,REP,Todd Rokita,129,16,0,22,167
Newton,Jackson,Attorney General,,DEM,Jonathan Weinzapfel,21,7,0,17,45
Newton,Jackson,Attorney General,,,Over votes,0,0,0,0,0
Newton,Jackson,Attorney General,,,Under votes,3,0,0,2,5
Newton,Jackson,U.S. House,4,REP,Jim Baird,130,14,0,24,168
Newton,Jackson,U.S. House,4,DEM,Joe Mackey,21,9,0,15,45
Newton,Jackson,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Jackson,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Jackson,U.S. House,4,,Under votes,2,0,0,2,4
Newton,Jackson,State Representative,13,REP,Sharon Negele,,,,,
Newton,Jackson,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Jackson,State Representative,13,,Over votes,,,,,
Newton,Jackson,State Representative,13,,Under votes,,,,,
Newton,Jackson,State Representative,16,REP,Douglas L Gutwein,124,13,0,27,164
Newton,Jackson,State Representative,16,DEM,Michael A Lovely,26,9,0,13,48
Newton,Jackson,State Representative,16,,Over votes,0,0,0,0,0
Newton,Jackson,State Representative,16,,Under votes,3,1,0,1,5
Newton,Jefferson 1,Registered Voters,,,,,,,,446
Newton,Jefferson 1,Ballots Cast,,,,189,83,0,47,319
Newton,Jefferson 1,Straight Party,,REP,,81,29,0,16,126
Newton,Jefferson 1,Straight Party,,DEM,,11,12,0,6,29
Newton,Jefferson 1,Straight Party,,LIB,,1,1,0,0,2
Newton,Jefferson 1,Straight Party,,,Over votes,0,0,0,2,2
Newton,Jefferson 1,Straight Party,,,Under votes,96,41,0,23,160
Newton,Jefferson 1,President,,REP,Donald J Trump,146,51,0,25,222
Newton,Jefferson 1,President,,DEM,Joseph R Biden,39,28,0,22,89
Newton,Jefferson 1,President,,LIB,Jo Jorgensen,3,2,0,0,5
Newton,Jefferson 1,President,,,Write-In votes,1,0,0,0,1
Newton,Jefferson 1,President,,,Over votes,0,0,0,0,0
Newton,Jefferson 1,President,,,Under votes,0,2,0,0,2
Newton,Jefferson 1,Governor,,REP,Eric Holcomb,134,50,0,31,215
Newton,Jefferson 1,Governor,,DEM,Woodrow (Woody) Myers,30,22,0,16,68
Newton,Jefferson 1,Governor,,LIB,Donald G Rainwater II,24,7,0,0,31
Newton,Jefferson 1,Governor,,,Over votes,0,0,0,0,0
Newton,Jefferson 1,Governor,,,Under votes,1,4,0,0,5
Newton,Jefferson 1,Attorney General,,REP,Todd Rokita,151,54,0,29,234
Newton,Jefferson 1,Attorney General,,DEM,Jonathan Weinzapfel,33,26,0,15,74
Newton,Jefferson 1,Attorney General,,,Over votes,1,0,0,0,1
Newton,Jefferson 1,Attorney General,,,Under votes,4,3,0,3,10
Newton,Jefferson 1,U.S. House,4,REP,Jim Baird,152,53,0,27,232
Newton,Jefferson 1,U.S. House,4,DEM,Joe Mackey,34,26,0,17,77
Newton,Jefferson 1,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Jefferson 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Jefferson 1,U.S. House,4,,Under votes,3,4,0,3,10
Newton,Jefferson 1,State Representative,13,REP,Sharon Negele,158,57,0,28,243
Newton,Jefferson 1,State Representative,13,DEM,Loretta Barnes,29,20,0,14,63
Newton,Jefferson 1,State Representative,13,,Over votes,0,0,0,0,0
Newton,Jefferson 1,State Representative,13,,Under votes,2,6,0,5,13
Newton,Jefferson 1,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Jefferson 1,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Jefferson 1,State Representative,16,,Over votes,,,,,
Newton,Jefferson 1,State Representative,16,,Under votes,,,,,
Newton,Jefferson 2,Registered Voters,,,,,,,,572
Newton,Jefferson 2,Ballots Cast,,,,214,135,0,55,404
Newton,Jefferson 2,Straight Party,,REP,,71,42,0,11,124
Newton,Jefferson 2,Straight Party,,DEM,,8,23,0,6,37
Newton,Jefferson 2,Straight Party,,LIB,,0,2,0,0,2
Newton,Jefferson 2,Straight Party,,,Over votes,0,0,0,0,0
Newton,Jefferson 2,Straight Party,,,Under votes,135,68,0,38,241
Newton,Jefferson 2,President,,REP,Donald J Trump,167,78,0,28,273
Newton,Jefferson 2,President,,DEM,Joseph R Biden,43,51,0,25,119
Newton,Jefferson 2,President,,LIB,Jo Jorgensen,1,3,0,1,5
Newton,Jefferson 2,President,,,Write-In votes,1,1,0,0,2
Newton,Jefferson 2,President,,,Over votes,1,0,0,0,1
Newton,Jefferson 2,President,,,Under votes,1,2,0,1,4
Newton,Jefferson 2,Governor,,REP,Eric Holcomb,157,78,0,37,272
Newton,Jefferson 2,Governor,,DEM,Woodrow (Woody) Myers,19,45,0,14,78
Newton,Jefferson 2,Governor,,LIB,Donald G Rainwater II,36,9,0,3,48
Newton,Jefferson 2,Governor,,,Over votes,0,0,0,0,0
Newton,Jefferson 2,Governor,,,Under votes,2,3,0,1,6
Newton,Jefferson 2,Attorney General,,REP,Todd Rokita,176,79,0,37,292
Newton,Jefferson 2,Attorney General,,DEM,Jonathan Weinzapfel,33,51,0,16,100
Newton,Jefferson 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Jefferson 2,Attorney General,,,Under votes,5,5,0,2,12
Newton,Jefferson 2,U.S. House,4,REP,Jim Baird,171,80,0,34,285
Newton,Jefferson 2,U.S. House,4,DEM,Joe Mackey,38,51,0,19,108
Newton,Jefferson 2,U.S. House,4,,Write-In votes,1,0,0,0,1
Newton,Jefferson 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Jefferson 2,U.S. House,4,,Under votes,4,4,0,2,10
Newton,Jefferson 2,State Representative,13,REP,Sharon Negele,178,82,0,37,297
Newton,Jefferson 2,State Representative,13,DEM,Loretta Barnes,30,48,0,16,94
Newton,Jefferson 2,State Representative,13,,Over votes,0,0,0,0,0
Newton,Jefferson 2,State Representative,13,,Under votes,6,5,0,2,13
Newton,Jefferson 2,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Jefferson 2,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Jefferson 2,State Representative,16,,Over votes,,,,,
Newton,Jefferson 2,State Representative,16,,Under votes,,,,,
Newton,Jefferson 3,Registered Voters,,,,,,,,365
Newton,Jefferson 3,Ballots Cast,,,,135,59,0,20,214
Newton,Jefferson 3,Straight Party,,REP,,40,21,0,3,64
Newton,Jefferson 3,Straight Party,,DEM,,12,13,0,2,27
Newton,Jefferson 3,Straight Party,,LIB,,1,0,0,1,2
Newton,Jefferson 3,Straight Party,,,Over votes,0,0,0,0,0
Newton,Jefferson 3,Straight Party,,,Under votes,82,25,0,14,121
Newton,Jefferson 3,President,,REP,Donald J Trump,91,34,0,10,135
Newton,Jefferson 3,President,,DEM,Joseph R Biden,34,25,0,10,69
Newton,Jefferson 3,President,,LIB,Jo Jorgensen,7,0,0,0,7
Newton,Jefferson 3,President,,,Write-In votes,2,0,0,0,2
Newton,Jefferson 3,President,,,Over votes,0,0,0,0,0
Newton,Jefferson 3,President,,,Under votes,1,0,0,0,1
Newton,Jefferson 3,Governor,,REP,Eric Holcomb,85,35,0,7,127
Newton,Jefferson 3,Governor,,DEM,Woodrow (Woody) Myers,20,20,0,5,45
Newton,Jefferson 3,Governor,,LIB,Donald G Rainwater II,29,3,0,3,35
Newton,Jefferson 3,Governor,,,Over votes,0,0,0,0,0
Newton,Jefferson 3,Governor,,,Under votes,0,1,0,2,3
Newton,Jefferson 3,Attorney General,,REP,Todd Rokita,101,33,0,9,143
Newton,Jefferson 3,Attorney General,,DEM,Jonathan Weinzapfel,30,25,0,6,61
Newton,Jefferson 3,Attorney General,,,Over votes,0,0,0,0,0
Newton,Jefferson 3,Attorney General,,,Under votes,3,1,0,2,6
Newton,Jefferson 3,U.S. House,4,REP,Jim Baird,96,35,0,10,141
Newton,Jefferson 3,U.S. House,4,DEM,Joe Mackey,37,23,0,8,68
Newton,Jefferson 3,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Jefferson 3,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Jefferson 3,U.S. House,4,,Under votes,1,1,0,2,4
Newton,Jefferson 3,State Representative,13,REP,Sharon Negele,102,37,0,10,149
Newton,Jefferson 3,State Representative,13,DEM,Loretta Barnes,31,21,0,6,58
Newton,Jefferson 3,State Representative,13,,Over votes,0,0,0,0,0
Newton,Jefferson 3,State Representative,13,,Under votes,1,1,0,1,3
Newton,Jefferson 3,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Jefferson 3,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Jefferson 3,State Representative,16,,Over votes,,,,,
Newton,Jefferson 3,State Representative,16,,Under votes,,,,,
Newton,Lake 1,Registered Voters,,,,,,,,1033
Newton,Lake 1,Ballots Cast,,,,549,98,0,52,699
Newton,Lake 1,Straight Party,,REP,,204,47,0,12,263
Newton,Lake 1,Straight Party,,DEM,,35,12,0,8,55
Newton,Lake 1,Straight Party,,LIB,,4,0,0,0,4
Newton,Lake 1,Straight Party,,,Over votes,0,0,0,0,0
Newton,Lake 1,Straight Party,,,Under votes,306,39,0,32,377
Newton,Lake 1,President,,REP,Donald J Trump,448,72,0,23,543
Newton,Lake 1,President,,DEM,Joseph R Biden,80,25,0,28,133
Newton,Lake 1,President,,LIB,Jo Jorgensen,18,1,0,1,20
Newton,Lake 1,President,,,Write-In votes,2,0,0,0,2
Newton,Lake 1,President,,,Over votes,0,0,0,0,0
