county,precinct,election_day,absentee,provisional,votes,office,district,candidate,party
Wabash,001 - Noble 1,93,50,0,143,IN Supreme Court-Slaughter,,YES,
Wabash,001 - Noble 1,41,13,0,54,IN Supreme Court-Slaughter,,NO,
Wabash,001 - Noble 1,99,48,0,147,Court of Appeals Dist 2-Altice,,YES,
Wabash,001 - Noble 1,37,12,0,49,Court of Appeals Dist 2-Altice,,NO,
Wabash,002 - Noble 2,85,35,0,120,Public Question,,YES,
Wabash,002 - Noble 2,32,11,0,43,Public Question,,NO,
Wabash,002 - Noble 2,95,34,0,129,U.S. Senate,,MIKE BRAUN,R
Wabash,002 - Noble 2,57,27,0,84,U.S. Senate,,JOE DONNELLY,D
Wabash,002 - Noble 2,5,1,0,6,U.S. Senate,,LUCY M. BRENTON,L
Wabash,002 - Noble 2,0,1,0,1,U.S. Senate,,WRITE-IN,
Wabash,002 - Noble 2,100,37,0,137,Secretary of State,,CONNIE LAWSON,R
Wabash,002 - Noble 2,52,21,0,73,Secretary of State,,JIM HARPER,D
Wabash,002 - Noble 2,6,3,0,9,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,002 - Noble 2,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,002 - Noble 2,98,38,0,136,Auditor of State,,TERA KLUTZ,R
Wabash,002 - Noble 2,56,21,0,77,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,002 - Noble 2,4,2,0,6,Auditor of State,,JOHN SCHICK,L
Wabash,002 - Noble 2,105,41,0,146,Treasurer of State,,KELLY MITCHELL,R
Wabash,002 - Noble 2,54,20,0,74,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,002 - Noble 2,95,40,0,135,U.S. House,2,JACKIE WALORSKI,R
Wabash,002 - Noble 2,59,22,0,81,U.S. House,2,MEL HALL,D
Wabash,002 - Noble 2,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,002 - Noble 2,102,36,0,138,State Senate,17,ANDY ZAY,R
Wabash,002 - Noble 2,56,25,0,81,State Senate,17,GARY L. SNYDER,D
Wabash,002 - Noble 2,102,38,0,140,State Representative,18,DAVID A. WOLKINS,R
Wabash,002 - Noble 2,56,23,0,79,State Representative,18,DEE M MOORE,D
Wabash,002 - Noble 2,118,47,0,165,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,002 - Noble 2,121,48,0,169,Circuit Court Clerk,,LORI DRAPER,R
Wabash,002 - Noble 2,123,45,0,168,County Recorder,,ERIC RISH,R
Wabash,002 - Noble 2,128,47,0,175,County Sheriff,,RYAN T. BAKER,R
Wabash,002 - Noble 2,123,47,0,170,County Assessor,,KELLY SCHENKEL,R
Wabash,002 - Noble 2,122,47,0,169,County Commissioner District 2,,JEFF DAWES,R
Wabash,002 - Noble 2,120,49,0,169,County Council District 3,,MATT DILLON,R
Wabash,002 - Noble 2,120,47,0,167,Noble Township Trustee,,LORI HARNISH,R
Wabash,002 - Noble 2,78,27,0,105,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,002 - Noble 2,73,19,0,92,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,002 - Noble 2,56,17,0,73,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,002 - Noble 2,49,23,0,72,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,002 - Noble 2,87,30,0,117,IN Supreme Court-Slaughter,,YES,
Wabash,002 - Noble 2,22,11,0,33,IN Supreme Court-Slaughter,,NO,
Wabash,002 - Noble 2,90,29,0,119,Court of Appeals Dist 2-Altice,,YES,
Wabash,002 - Noble 2,21,11,0,32,Court of Appeals Dist 2-Altice,,NO,
Wabash,003 - Noble 3,129,69,0,198,Public Question,,YES,
Wabash,003 - Noble 3,50,28,0,78,Public Question,,NO,
Wabash,003 - Noble 3,138,77,0,215,U.S. Senate,,MIKE BRAUN,R
Wabash,003 - Noble 3,57,42,0,99,U.S. Senate,,JOE DONNELLY,D
Wabash,003 - Noble 3,13,9,0,22,U.S. Senate,,LUCY M. BRENTON,L
Wabash,003 - Noble 3,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,003 - Noble 3,149,87,0,236,Secretary of State,,CONNIE LAWSON,R
Wabash,003 - Noble 3,51,38,0,89,Secretary of State,,JIM HARPER,D
Wabash,003 - Noble 3,8,3,0,11,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,003 - Noble 3,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,003 - Noble 3,141,82,0,223,Auditor of State,,TERA KLUTZ,R
Wabash,003 - Noble 3,57,43,0,100,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,003 - Noble 3,9,2,0,11,Auditor of State,,JOHN SCHICK,L
Wabash,003 - Noble 3,152,85,0,237,Treasurer of State,,KELLY MITCHELL,R
Wabash,003 - Noble 3,53,42,0,95,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,003 - Noble 3,140,79,0,219,U.S. House,2,JACKIE WALORSKI,R
Wabash,003 - Noble 3,67,48,0,115,U.S. House,2,MEL HALL,D
Wabash,003 - Noble 3,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,003 - Noble 3,143,81,0,224,State Senate,17,ANDY ZAY,R
Wabash,003 - Noble 3,64,45,0,109,State Senate,17,GARY L. SNYDER,D
Wabash,003 - Noble 3,146,84,0,230,State Representative,18,DAVID A. WOLKINS,R
Wabash,003 - Noble 3,61,43,0,104,State Representative,18,DEE M MOORE,D
Wabash,003 - Noble 3,167,102,0,269,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,003 - Noble 3,171,105,0,276,Circuit Court Clerk,,LORI DRAPER,R
Wabash,003 - Noble 3,167,99,0,266,County Recorder,,ERIC RISH,R
Wabash,003 - Noble 3,173,106,0,279,County Sheriff,,RYAN T. BAKER,R
Wabash,003 - Noble 3,168,102,0,270,County Assessor,,KELLY SCHENKEL,R
Wabash,003 - Noble 3,167,103,0,270,County Commissioner District 2,,JEFF DAWES,R
Wabash,003 - Noble 3,140,83,0,223,County Council District 2,,BARBARA PEARSON,R
Wabash,003 - Noble 3,69,45,0,114,County Council District 2,,JANE LONG,D
Wabash,003 - Noble 3,168,101,0,269,Noble Township Trustee,,LORI HARNISH,R
Wabash,003 - Noble 3,101,78,0,179,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,003 - Noble 3,105,73,0,178,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,003 - Noble 3,80,64,0,144,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,003 - Noble 3,57,40,0,97,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,003 - Noble 3,0,0,0,0,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,003 - Noble 3,1,3,0,4,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,003 - Noble 3,1,0,0,1,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,003 - Noble 3,0,0,0,0,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,003 - Noble 3,0,2,0,2,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,003 - Noble 3,1,0,0,1,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,003 - Noble 3,1,1,0,2,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,003 - Noble 3,119,72,0,191,IN Supreme Court-Slaughter,,YES,
Wabash,003 - Noble 3,52,33,0,85,IN Supreme Court-Slaughter,,NO,
Wabash,003 - Noble 3,120,80,0,200,Court of Appeals Dist 2-Altice,,YES,
Wabash,003 - Noble 3,48,26,0,74,Court of Appeals Dist 2-Altice,,NO,
Wabash,004 - Noble 4,118,74,0,192,Public Question,,YES,
Wabash,004 - Noble 4,45,23,0,68,Public Question,,NO,
Wabash,004 - Noble 4,131,66,0,197,U.S. Senate,,MIKE BRAUN,R
Wabash,004 - Noble 4,55,43,0,98,U.S. Senate,,JOE DONNELLY,D
Wabash,004 - Noble 4,12,4,0,16,U.S. Senate,,LUCY M. BRENTON,L
Wabash,004 - Noble 4,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,004 - Noble 4,144,72,0,216,Secretary of State,,CONNIE LAWSON,R
Wabash,004 - Noble 4,38,34,0,72,Secretary of State,,JIM HARPER,D
Wabash,004 - Noble 4,10,5,0,15,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,004 - Noble 4,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,004 - Noble 4,145,72,0,217,Auditor of State,,TERA KLUTZ,R
Wabash,004 - Noble 4,41,35,0,76,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,004 - Noble 4,8,4,0,12,Auditor of State,,JOHN SCHICK,L
Wabash,004 - Noble 4,150,75,0,225,Treasurer of State,,KELLY MITCHELL,R
Wabash,004 - Noble 4,42,35,0,77,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,004 - Noble 4,137,69,0,206,U.S. House,2,JACKIE WALORSKI,R
Wabash,004 - Noble 4,59,44,0,103,U.S. House,2,MEL HALL,D
Wabash,004 - Noble 4,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,004 - Noble 4,150,76,0,226,State Senate,17,ANDY ZAY,R
Wabash,004 - Noble 4,44,34,0,78,State Senate,17,GARY L. SNYDER,D
Wabash,004 - Noble 4,147,74,0,221,State Representative,18,DAVID A. WOLKINS,R
Wabash,004 - Noble 4,46,36,0,82,State Representative,18,DEE M MOORE,D
Wabash,004 - Noble 4,171,91,0,262,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,004 - Noble 4,174,93,0,267,Circuit Court Clerk,,LORI DRAPER,R
Wabash,004 - Noble 4,170,88,0,258,County Recorder,,ERIC RISH,R
Wabash,004 - Noble 4,180,93,0,273,County Sheriff,,RYAN T. BAKER,R
Wabash,004 - Noble 4,169,90,0,259,County Assessor,,KELLY SCHENKEL,R
Wabash,004 - Noble 4,168,87,0,255,County Commissioner District 2,,JEFF DAWES,R
Wabash,004 - Noble 4,168,87,0,255,County Council District 3,,MATT DILLON,R
Wabash,004 - Noble 4,171,91,0,262,Noble Township Trustee,,LORI HARNISH,R
Wabash,004 - Noble 4,98,64,0,162,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,004 - Noble 4,109,70,0,179,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,004 - Noble 4,92,63,0,155,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,004 - Noble 4,44,36,0,80,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,004 - Noble 4,128,64,0,192,IN Supreme Court-Slaughter,,YES,
Wabash,004 - Noble 4,28,26,0,54,IN Supreme Court-Slaughter,,NO,
Wabash,004 - Noble 4,131,67,0,198,Court of Appeals Dist 2-Altice,,YES,
Wabash,004 - Noble 4,28,26,0,54,Court of Appeals Dist 2-Altice,,NO,
Wabash,005 - Noble 5,167,91,0,258,Public Question,,YES,
Wabash,005 - Noble 5,73,34,0,107,Public Question,,NO,
Wabash,005 - Noble 5,188,94,0,282,U.S. Senate,,MIKE BRAUN,R
Wabash,005 - Noble 5,80,51,0,131,U.S. Senate,,JOE DONNELLY,D
Wabash,005 - Noble 5,13,9,0,22,U.S. Senate,,LUCY M. BRENTON,L
Wabash,005 - Noble 5,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,005 - Noble 5,210,100,0,310,Secretary of State,,CONNIE LAWSON,R
Wabash,005 - Noble 5,67,44,0,111,Secretary of State,,JIM HARPER,D
Wabash,005 - Noble 5,7,7,0,14,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,005 - Noble 5,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,005 - Noble 5,207,96,0,303,Auditor of State,,TERA KLUTZ,R
Wabash,005 - Noble 5,66,50,0,116,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,005 - Noble 5,10,5,0,15,Auditor of State,,JOHN SCHICK,L
Wabash,005 - Noble 5,217,104,0,321,Treasurer of State,,KELLY MITCHELL,R
Wabash,005 - Noble 5,67,49,0,116,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,005 - Noble 5,196,97,0,293,U.S. House,2,JACKIE WALORSKI,R
Wabash,005 - Noble 5,85,55,0,140,U.S. House,2,MEL HALL,D
Wabash,005 - Noble 5,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,005 - Noble 5,205,104,0,309,State Senate,17,ANDY ZAY,R
Wabash,005 - Noble 5,77,47,0,124,State Senate,17,GARY L. SNYDER,D
Wabash,005 - Noble 5,205,102,0,307,State Representative,18,DAVID A. WOLKINS,R
Wabash,005 - Noble 5,78,50,0,128,State Representative,18,DEE M MOORE,D
Wabash,005 - Noble 5,240,117,0,357,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,005 - Noble 5,248,119,0,367,Circuit Court Clerk,,LORI DRAPER,R
Wabash,005 - Noble 5,241,114,0,355,County Recorder,,ERIC RISH,R
Wabash,005 - Noble 5,251,127,0,378,County Sheriff,,RYAN T. BAKER,R
Wabash,005 - Noble 5,246,119,0,365,County Assessor,,KELLY SCHENKEL,R
Wabash,005 - Noble 5,244,115,0,359,County Commissioner District 2,,JEFF DAWES,R
Wabash,005 - Noble 5,241,120,0,361,County Council District 3,,MATT DILLON,R
Wabash,005 - Noble 5,243,120,0,363,Noble Township Trustee,,LORI HARNISH,R
Wabash,005 - Noble 5,148,75,0,223,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,005 - Noble 5,161,80,0,241,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,005 - Noble 5,134,70,0,204,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,005 - Noble 5,71,49,0,120,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,005 - Noble 5,1,3,0,4,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,005 - Noble 5,25,6,0,31,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,005 - Noble 5,13,8,0,21,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,005 - Noble 5,2,0,0,2,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,005 - Noble 5,15,4,0,19,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,005 - Noble 5,12,10,0,22,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,005 - Noble 5,11,4,0,15,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,005 - Noble 5,202,95,0,297,IN Supreme Court-Slaughter,,YES,
Wabash,005 - Noble 5,37,29,0,66,IN Supreme Court-Slaughter,,NO,
Wabash,005 - Noble 5,206,89,0,295,Court of Appeals Dist 2-Altice,,YES,
Wabash,005 - Noble 5,34,33,0,67,Court of Appeals Dist 2-Altice,,NO,
Wabash,006 - Noble 6,188,148,0,336,Public Question,,YES,
Wabash,006 - Noble 6,78,41,0,119,Public Question,,NO,
Wabash,006 - Noble 6,205,165,0,370,U.S. Senate,,MIKE BRAUN,R
Wabash,006 - Noble 6,121,87,0,208,U.S. Senate,,JOE DONNELLY,D
Wabash,006 - Noble 6,12,6,0,18,U.S. Senate,,LUCY M. BRENTON,L
Wabash,006 - Noble 6,1,0,0,1,U.S. Senate,,WRITE-IN,
Wabash,006 - Noble 6,222,176,0,398,Secretary of State,,CONNIE LAWSON,R
Wabash,006 - Noble 6,105,76,0,181,Secretary of State,,JIM HARPER,D
Wabash,006 - Noble 6,10,4,0,14,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,006 - Noble 6,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,006 - Noble 6,220,176,0,396,Auditor of State,,TERA KLUTZ,R
Wabash,006 - Noble 6,112,75,0,187,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,006 - Noble 6,8,5,0,13,Auditor of State,,JOHN SCHICK,L
Wabash,006 - Noble 6,227,178,0,405,Treasurer of State,,KELLY MITCHELL,R
Wabash,006 - Noble 6,109,77,0,186,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,006 - Noble 6,204,175,0,379,U.S. House,2,JACKIE WALORSKI,R
Wabash,006 - Noble 6,135,83,0,218,U.S. House,2,MEL HALL,D
Wabash,006 - Noble 6,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,006 - Noble 6,228,179,0,407,State Senate,17,ANDY ZAY,R
Wabash,006 - Noble 6,113,77,0,190,State Senate,17,GARY L. SNYDER,D
Wabash,006 - Noble 6,228,176,0,404,State Representative,18,DAVID A. WOLKINS,R
Wabash,006 - Noble 6,114,78,0,192,State Representative,18,DEE M MOORE,D
Wabash,006 - Noble 6,259,199,0,458,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,006 - Noble 6,265,199,0,464,Circuit Court Clerk,,LORI DRAPER,R
Wabash,006 - Noble 6,252,204,0,456,County Recorder,,ERIC RISH,R
Wabash,006 - Noble 6,275,206,0,481,County Sheriff,,RYAN T. BAKER,R
Wabash,006 - Noble 6,263,208,0,471,County Assessor,,KELLY SCHENKEL,R
Wabash,006 - Noble 6,263,204,0,467,County Commissioner District 2,,JEFF DAWES,R
Wabash,006 - Noble 6,216,172,0,388,County Council District 2,,BARBARA PEARSON,R
Wabash,006 - Noble 6,118,84,0,202,County Council District 2,,JANE LONG,D
Wabash,006 - Noble 6,258,196,0,454,Noble Township Trustee,,LORI HARNISH,R
Wabash,006 - Noble 6,174,150,0,324,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,006 - Noble 6,185,162,0,347,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,006 - Noble 6,146,136,0,282,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,006 - Noble 6,103,65,0,168,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,006 - Noble 6,5,4,0,9,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,006 - Noble 6,3,15,0,18,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,006 - Noble 6,12,10,0,22,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,006 - Noble 6,1,1,0,2,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,006 - Noble 6,0,12,0,12,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,006 - Noble 6,10,11,0,21,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,006 - Noble 6,8,2,0,10,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,006 - Noble 6,197,166,0,363,IN Supreme Court-Slaughter,,YES,
Wabash,006 - Noble 6,73,42,0,115,IN Supreme Court-Slaughter,,NO,
Wabash,006 - Noble 6,202,162,0,364,Court of Appeals Dist 2-Altice,,YES,
Wabash,006 - Noble 6,68,41,0,109,Court of Appeals Dist 2-Altice,,NO,
Wabash,007 - Noble 7,191,79,0,270,Public Question,,YES,
Wabash,007 - Noble 7,50,34,0,84,Public Question,,NO,
Wabash,007 - Noble 7,212,95,0,307,U.S. Senate,,MIKE BRAUN,R
Wabash,007 - Noble 7,64,47,0,111,U.S. Senate,,JOE DONNELLY,D
Wabash,007 - Noble 7,17,12,0,29,U.S. Senate,,LUCY M. BRENTON,L
Wabash,007 - Noble 7,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,007 - Noble 7,231,105,0,336,Secretary of State,,CONNIE LAWSON,R
Wabash,007 - Noble 7,51,43,0,94,Secretary of State,,JIM HARPER,D
Wabash,007 - Noble 7,11,6,0,17,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,007 - Noble 7,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,007 - Noble 7,223,100,0,323,Auditor of State,,TERA KLUTZ,R
Wabash,007 - Noble 7,59,47,0,106,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,007 - Noble 7,10,4,0,14,Auditor of State,,JOHN SCHICK,L
Wabash,007 - Noble 7,237,102,0,339,Treasurer of State,,KELLY MITCHELL,R
Wabash,007 - Noble 7,54,47,0,101,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,007 - Noble 7,226,100,0,326,U.S. House,2,JACKIE WALORSKI,R
Wabash,007 - Noble 7,67,52,0,119,U.S. House,2,MEL HALL,D
Wabash,007 - Noble 7,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,007 - Noble 7,230,103,0,333,State Senate,17,ANDY ZAY,R
Wabash,007 - Noble 7,62,48,0,110,State Senate,17,GARY L. SNYDER,D
Wabash,007 - Noble 7,231,101,0,332,State Representative,18,DAVID A. WOLKINS,R
Wabash,007 - Noble 7,61,49,0,110,State Representative,18,DEE M MOORE,D
Wabash,007 - Noble 7,254,108,0,362,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,007 - Noble 7,255,112,0,367,Circuit Court Clerk,,LORI DRAPER,R
Wabash,007 - Noble 7,249,109,0,358,County Recorder,,ERIC RISH,R
Wabash,007 - Noble 7,263,113,0,376,County Sheriff,,RYAN T. BAKER,R
Wabash,007 - Noble 7,257,111,0,368,County Assessor,,KELLY SCHENKEL,R
Wabash,007 - Noble 7,255,112,0,367,County Commissioner District 2,,JEFF DAWES,R
Wabash,007 - Noble 7,253,110,0,363,County Council District 3,,MATT DILLON,R
Wabash,007 - Noble 7,248,109,0,357,Noble Township Trustee,,LORI HARNISH,R
Wabash,007 - Noble 7,164,69,0,233,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,007 - Noble 7,174,72,0,246,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,007 - Noble 7,127,49,0,176,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,007 - Noble 7,67,42,0,109,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,007 - Noble 7,12,8,0,20,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,007 - Noble 7,34,11,0,45,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,007 - Noble 7,29,18,0,47,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,007 - Noble 7,3,2,0,5,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,007 - Noble 7,29,14,0,43,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,007 - Noble 7,27,14,0,41,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,007 - Noble 7,19,9,0,28,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,007 - Noble 7,187,82,0,269,IN Supreme Court-Slaughter,,YES,
Wabash,007 - Noble 7,55,36,0,91,IN Supreme Court-Slaughter,,NO,
Wabash,007 - Noble 7,189,79,0,268,Court of Appeals Dist 2-Altice,,YES,
Wabash,007 - Noble 7,54,39,0,93,Court of Appeals Dist 2-Altice,,NO,
Wabash,008 - Noble 8,150,132,0,282,Public Question,,YES,
Wabash,008 - Noble 8,60,36,0,96,Public Question,,NO,
Wabash,008 - Noble 8,181,149,0,330,U.S. Senate,,MIKE BRAUN,R
Wabash,008 - Noble 8,70,87,0,157,U.S. Senate,,JOE DONNELLY,D
Wabash,008 - Noble 8,7,12,0,19,U.S. Senate,,LUCY M. BRENTON,L
Wabash,008 - Noble 8,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,008 - Noble 8,199,169,0,368,Secretary of State,,CONNIE LAWSON,R
Wabash,008 - Noble 8,48,72,0,120,Secretary of State,,JIM HARPER,D
Wabash,008 - Noble 8,10,6,0,16,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,008 - Noble 8,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,008 - Noble 8,195,168,0,363,Auditor of State,,TERA KLUTZ,R
Wabash,008 - Noble 8,52,74,0,126,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,008 - Noble 8,6,5,0,11,Auditor of State,,JOHN SCHICK,L
Wabash,008 - Noble 8,206,176,0,382,Treasurer of State,,KELLY MITCHELL,R
Wabash,008 - Noble 8,49,70,0,119,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,008 - Noble 8,193,161,0,354,U.S. House,2,JACKIE WALORSKI,R
Wabash,008 - Noble 8,63,83,0,146,U.S. House,2,MEL HALL,D
Wabash,008 - Noble 8,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,008 - Noble 8,201,169,0,370,State Senate,17,ANDY ZAY,R
Wabash,008 - Noble 8,55,73,0,128,State Senate,17,GARY L. SNYDER,D
Wabash,008 - Noble 8,201,170,0,371,State Representative,18,DAVID A. WOLKINS,R
Wabash,008 - Noble 8,54,74,0,128,State Representative,18,DEE M MOORE,D
Wabash,008 - Noble 8,230,209,0,439,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
