candidate,id,office,district,party,county,precinct,election_day,absentee,provisional,votes
Connie Lawson,369,Secretary of State,,R,Warrick,Greer 2,200,23,0,223
Jim Harper,370,Secretary of State,,D,Warrick,Greer 2,61,11,0,72
Mark W. Rutherford,371,Secretary of State,,L,Warrick,Greer 2,10,0,0,10
Write in,372,Secretary of State,,,Warrick,Greer 2,0,0,0,0
Tera Klutz,373,Auditor of State,,R,Warrick,Greer 2,194,23,0,217
Joselyn Whitticker,374,Auditor of State,,D,Warrick,Greer 2,60,9,0,69
John Schick,375,Auditor of State,,L,Warrick,Greer 2,14,1,0,15
Kelly Mitchell,376,Treasurer of State,,R,Warrick,Greer 2,203,22,0,225
John C. Aguilera,377,Treasurer of State,,D,Warrick,Greer 2,66,11,0,77
Larry D Bucshon,378,U.S. House,8,R,Warrick,Greer 2,215,21,0,236
William Tanoos,379,U.S. House,8,D,Warrick,Greer 2,65,12,0,77
Write in,380,U.S. House,8,,Warrick,Greer 2,0,0,0,0
Ron Bacon ,381,State Representative,75,R,Warrick,Greer 2,209,23,0,232
John Hurley ,382,State Representative,75,D,Warrick,Greer 2,66,10,0,76
,383,Registered Voters,,,Warrick,Hart 1,,,,1022
,384,Ballots Cast,,,Warrick,Hart 1,553,,,
Mike Braun,385,U.S. Senate,,R,Warrick,Hart 1,273,36,0,309
Joe Donnelly,386,U.S. Senate,,D,Warrick,Hart 1,238,44,0,282
Lucy M Brenton,387,U.S. Senate,,L,Warrick,Hart 1,27,2,0,29
Write in,388,U.S. Senate,,,Warrick,Hart 1,0,0,0,0
Connie Lawson,389,Secretary of State,,R,Warrick,Hart 1,286,37,0,323
Jim Harper,390,Secretary of State,,D,Warrick,Hart 1,214,41,0,255
Mark W. Rutherford,391,Secretary of State,,L,Warrick,Hart 1,22,1,0,23
Write in,392,Secretary of State,,,Warrick,Hart 1,0,0,0,0
Tera Klutz,393,Auditor of State,,R,Warrick,Hart 1,282,37,0,319
Joselyn Whitticker,394,Auditor of State,,D,Warrick,Hart 1,214,42,0,256
John Schick,395,Auditor of State,,L,Warrick,Hart 1,20,0,0,20
Kelly Mitchell,396,Treasurer of State,,R,Warrick,Hart 1,324,37,0,361
John C. Aguilera,397,Treasurer of State,,D,Warrick,Hart 1,199,43,0,242
Larry D Bucshon,398,U.S. House,8,R,Warrick,Hart 1,315,41,0,356
William Tanoos,399,U.S. House,8,D,Warrick,Hart 1,209,41,0,250
Write in,400,U.S. House,8,,Warrick,Hart 1,0,0,0,0
Mark Messmer,401,State Senate,48,R,Warrick,Hart 1,402,51,0,453
No Candidate Filed,402,State Senate,48,D,Warrick,Hart 1,0,0,0,0
,403,Registered Voters,,,Warrick,Hart 2,,,,85
,404,Ballots Cast,,,Warrick,Hart 2,33,,,
Mike Braun,405,U.S. Senate,,R,Warrick,Hart 2,15,6,0,21
Joe Donnelly,406,U.S. Senate,,D,Warrick,Hart 2,15,6,0,21
Lucy M Brenton,407,U.S. Senate,,L,Warrick,Hart 2,0,0,0,0
Write in,408,U.S. Senate,,,Warrick,Hart 2,0,0,0,0
Connie Lawson,409,Secretary of State,,R,Warrick,Hart 2,16,6,0,22
Jim Harper,410,Secretary of State,,D,Warrick,Hart 2,14,6,0,20
Mark W. Rutherford,411,Secretary of State,,L,Warrick,Hart 2,1,0,0,1
Write in,412,Secretary of State,,,Warrick,Hart 2,0,0,0,0
Tera Klutz,413,Auditor of State,,R,Warrick,Hart 2,17,6,0,23
Joselyn Whitticker,414,Auditor of State,,D,Warrick,Hart 2,14,6,0,20
John Schick,415,Auditor of State,,L,Warrick,Hart 2,0,0,0,0
Kelly Mitchell,416,Treasurer of State,,R,Warrick,Hart 2,16,6,0,22
John C. Aguilera,417,Treasurer of State,,D,Warrick,Hart 2,15,6,0,21
Larry D Bucshon,418,U.S. House,8,R,Warrick,Hart 2,19,6,0,25
William Tanoos,419,U.S. House,8,D,Warrick,Hart 2,13,6,0,19
Write in,420,U.S. House,8,,Warrick,Hart 2,0,0,0,0
Mark Messmer,421,State Senate,48,R,Warrick,Hart 2,21,7,0,28
No Candidate Filed,422,State Senate,48,D,Warrick,Hart 2,0,0,0,0
,423,Registered Voters,,,Warrick,Lane,,,,171
,424,Ballots Cast,,,Warrick,Lane,89,,,
Mike Braun,425,U.S. Senate,,R,Warrick,Lane,52,11,0,63
Joe Donnelly,426,U.S. Senate,,D,Warrick,Lane,33,3,0,36
Lucy M Brenton,427,U.S. Senate,,L,Warrick,Lane,2,0,0,2
Write in,428,U.S. Senate,,,Warrick,Lane,0,0,0,0
Connie Lawson,429,Secretary of State,,R,Warrick,Lane,59,11,0,70
Jim Harper,430,Secretary of State,,D,Warrick,Lane,28,3,0,31
Mark W. Rutherford,431,Secretary of State,,L,Warrick,Lane,0,0,0,0
Write in,432,Secretary of State,,,Warrick,Lane,1,0,0,1
Tera Klutz,433,Auditor of State,,R,Warrick,Lane,59,11,0,70
Joselyn Whitticker,434,Auditor of State,,D,Warrick,Lane,28,3,0,31
John Schick,435,Auditor of State,,L,Warrick,Lane,0,0,0,0
Kelly Mitchell,436,Treasurer of State,,R,Warrick,Lane,58,12,0,70
John C. Aguilera,437,Treasurer of State,,D,Warrick,Lane,28,2,0,30
Larry D Bucshon,438,U.S. House,8,R,Warrick,Lane,61,11,0,72
William Tanoos,439,U.S. House,8,D,Warrick,Lane,28,3,0,31
Write in,440,U.S. House,8,,Warrick,Lane,0,0,0,0
Mark Messmer,441,State Senate,48,R,Warrick,Lane,63,12,0,75
No Candidate Filed,442,State Senate,48,D,Warrick,Lane,0,0,0,0
,443,Registered Voters,,,Warrick,Ohio 1,,,,1207
,444,Ballots Cast,,,Warrick,Ohio 1,474,,,
Mike Braun,445,U.S. Senate,,R,Warrick,Ohio 1,287,129,0,416
Joe Donnelly,446,U.S. Senate,,D,Warrick,Ohio 1,170,75,0,245
Lucy M Brenton,447,U.S. Senate,,L,Warrick,Ohio 1,16,7,0,23
Write in,448,U.S. Senate,,,Warrick,Ohio 1,0,0,0,0
Connie Lawson,449,Secretary of State,,R,Warrick,Ohio 1,304,134,0,438
Jim Harper,450,Secretary of State,,D,Warrick,Ohio 1,147,70,0,217
Mark W. Rutherford,451,Secretary of State,,L,Warrick,Ohio 1,15,5,0,20
Write in,452,Secretary of State,,,Warrick,Ohio 1,0,1,0,1
Tera Klutz,453,Auditor of State,,R,Warrick,Ohio 1,295,135,0,430
Joselyn Whitticker,454,Auditor of State,,D,Warrick,Ohio 1,145,67,0,212
John Schick,455,Auditor of State,,L,Warrick,Ohio 1,20,6,0,26
Kelly Mitchell,456,Treasurer of State,,R,Warrick,Ohio 1,318,136,0,454
John C. Aguilera,457,Treasurer of State,,D,Warrick,Ohio 1,141,71,0,212
Larry D Bucshon,458,U.S. House,8,R,Warrick,Ohio 1,319,137,0,456
William Tanoos,459,U.S. House,8,D,Warrick,Ohio 1,154,73,0,227
Write in,460,U.S. House,8,,Warrick,Ohio 1,0,0,0,0
Ron Bacon ,461,State Representative,75,R,Warrick,Ohio 1,295,136,0,431
John Hurley ,462,State Representative,75,D,Warrick,Ohio 1,177,73,0,250
,463,Registered Voters,,,Warrick,Ohio 2,,,,982
,464,Ballots Cast,,,Warrick,Ohio 2,396,,,
Mike Braun,465,U.S. Senate,,R,Warrick,Ohio 2,262,83,0,345
Joe Donnelly,466,U.S. Senate,,D,Warrick,Ohio 2,119,86,0,205
Lucy M Brenton,467,U.S. Senate,,L,Warrick,Ohio 2,11,3,0,14
Write in,468,U.S. Senate,,,Warrick,Ohio 2,0,0,0,0
Connie Lawson,469,Secretary of State,,R,Warrick,Ohio 2,262,89,0,351
Jim Harper,470,Secretary of State,,D,Warrick,Ohio 2,104,81,0,185
Mark W. Rutherford,471,Secretary of State,,L,Warrick,Ohio 2,17,1,0,18
Write in,472,Secretary of State,,,Warrick,Ohio 2,0,0,0,0
Tera Klutz,473,Auditor of State,,R,Warrick,Ohio 2,263,88,0,351
Joselyn Whitticker,474,Auditor of State,,D,Warrick,Ohio 2,104,80,0,184
John Schick,475,Auditor of State,,L,Warrick,Ohio 2,18,2,0,20
Kelly Mitchell,476,Treasurer of State,,R,Warrick,Ohio 2,279,92,0,371
John C. Aguilera,477,Treasurer of State,,D,Warrick,Ohio 2,105,80,0,185
Larry D Bucshon,478,U.S. House,8,R,Warrick,Ohio 2,275,90,0,365
William Tanoos,479,U.S. House,8,D,Warrick,Ohio 2,115,80,0,195
Write in,480,U.S. House,8,,Warrick,Ohio 2,0,0,0,0
Ron Bacon ,481,State Representative,75,R,Warrick,Ohio 2,282,93,0,375
John Hurley ,482,State Representative,75,D,Warrick,Ohio 2,106,77,0,183
,483,Registered Voters,,,Warrick,Ohio 3,,,,573
,484,Ballots Cast,,,Warrick,Ohio 3,269,,,
Mike Braun,485,U.S. Senate,,R,Warrick,Ohio 3,146,32,0,178
Joe Donnelly,486,U.S. Senate,,D,Warrick,Ohio 3,106,35,0,141
Lucy M Brenton,487,U.S. Senate,,L,Warrick,Ohio 3,11,0,0,11
Write in,488,U.S. Senate,,,Warrick,Ohio 3,0,0,0,0
Connie Lawson,489,Secretary of State,,R,Warrick,Ohio 3,164,31,0,195
Jim Harper,490,Secretary of State,,D,Warrick,Ohio 3,94,34,0,128
Mark W. Rutherford,491,Secretary of State,,L,Warrick,Ohio 3,4,2,0,6
Write in,492,Secretary of State,,,Warrick,Ohio 3,0,0,0,0
Tera Klutz,493,Auditor of State,,R,Warrick,Ohio 3,159,32,0,191
Joselyn Whitticker,494,Auditor of State,,D,Warrick,Ohio 3,95,33,0,128
John Schick,495,Auditor of State,,L,Warrick,Ohio 3,8,2,0,10
Kelly Mitchell,496,Treasurer of State,,R,Warrick,Ohio 3,169,33,0,202
John C. Aguilera,497,Treasurer of State,,D,Warrick,Ohio 3,95,34,0,129
Larry D Bucshon,498,U.S. House,8,R,Warrick,Ohio 3,162,33,0,195
William Tanoos,499,U.S. House,8,D,Warrick,Ohio 3,101,34,0,135
Write in,500,U.S. House,8,,Warrick,Ohio 3,0,0,0,0
Holli Sullivan,501,State Representative,78,R,Warrick,Ohio 3,196,39,0,235
No Candidate Filed,502,State Representative,78,D,Warrick,Ohio 3,0,0,0,0
,503,Registered Voters,,,Warrick,Ohio 4,,,,421
,504,Ballots Cast,,,Warrick,Ohio 4,184,,,
Mike Braun,505,U.S. Senate,,R,Warrick,Ohio 4,84,16,0,100
Joe Donnelly,506,U.S. Senate,,D,Warrick,Ohio 4,96,34,0,130
Lucy M Brenton,507,U.S. Senate,,L,Warrick,Ohio 4,2,0,0,2
Write in,508,U.S. Senate,,,Warrick,Ohio 4,0,0,0,0
Connie Lawson,509,Secretary of State,,R,Warrick,Ohio 4,88,16,0,104
Jim Harper,510,Secretary of State,,D,Warrick,Ohio 4,86,33,0,119
Mark W. Rutherford,511,Secretary of State,,L,Warrick,Ohio 4,3,0,0,3
Write in,512,Secretary of State,,,Warrick,Ohio 4,0,0,0,0
Tera Klutz,513,Auditor of State,,R,Warrick,Ohio 4,89,18,0,107
Joselyn Whitticker,514,Auditor of State,,D,Warrick,Ohio 4,86,31,0,117
John Schick,515,Auditor of State,,L,Warrick,Ohio 4,2,0,0,2
Kelly Mitchell,516,Treasurer of State,,R,Warrick,Ohio 4,94,20,0,114
John C. Aguilera,517,Treasurer of State,,D,Warrick,Ohio 4,84,29,0,113
Larry D Bucshon,518,U.S. House,8,R,Warrick,Ohio 4,97,15,0,112
William Tanoos,519,U.S. House,8,D,Warrick,Ohio 4,84,34,0,118
Write in,520,U.S. House,8,,Warrick,Ohio 4,0,0,0,0
Holli Sullivan,521,State Representative,78,R,Warrick,Ohio 4,130,28,0,158
No Candidate Filed,522,State Representative,78,D,Warrick,Ohio 4,0,0,0,0
,523,Registered Voters,,,Warrick,Ohio 5,,,,900
,524,Ballots Cast,,,Warrick,Ohio 5,346,,,
Mike Braun,525,U.S. Senate,,R,Warrick,Ohio 5,162,36,0,198
Joe Donnelly,526,U.S. Senate,,D,Warrick,Ohio 5,165,39,0,204
Lucy M Brenton,527,U.S. Senate,,L,Warrick,Ohio 5,14,2,0,16
Write in,528,U.S. Senate,,,Warrick,Ohio 5,0,0,0,0
Connie Lawson,529,Secretary of State,,R,Warrick,Ohio 5,174,36,0,210
Jim Harper,530,Secretary of State,,D,Warrick,Ohio 5,155,40,0,195
Mark W. Rutherford,531,Secretary of State,,L,Warrick,Ohio 5,9,0,0,9
Write in,532,Secretary of State,,,Warrick,Ohio 5,0,0,0,0
Tera Klutz,533,Auditor of State,,R,Warrick,Ohio 5,171,36,0,207
Joselyn Whitticker,534,Auditor of State,,D,Warrick,Ohio 5,155,38,0,193
John Schick,535,Auditor of State,,L,Warrick,Ohio 5,10,1,0,11
Kelly Mitchell,536,Treasurer of State,,R,Warrick,Ohio 5,179,36,0,215
John C. Aguilera,537,Treasurer of State,,D,Warrick,Ohio 5,157,39,0,196
Larry D Bucshon,538,U.S. House,8,R,Warrick,Ohio 5,176,38,0,214
William Tanoos,539,U.S. House,8,D,Warrick,Ohio 5,163,39,0,202
Write in,540,U.S. House,8,,Warrick,Ohio 5,0,0,0,0
Ron Bacon ,541,State Representative,75,R,Warrick,Ohio 5,181,36,0,217
John Hurley ,542,State Representative,75,D,Warrick,Ohio 5,158,38,0,196
,543,Registered Voters,,,Warrick,Ohio 6,,,,340
,544,Ballots Cast,,,Warrick,Ohio 6,142,,,
Mike Braun,545,U.S. Senate,,R,Warrick,Ohio 6,77,36,0,113
Joe Donnelly,546,U.S. Senate,,D,Warrick,Ohio 6,57,10,0,67
Lucy M Brenton,547,U.S. Senate,,L,Warrick,Ohio 6,4,1,0,5
Write in,548,U.S. Senate,,,Warrick,Ohio 6,0,0,0,0
Connie Lawson,549,Secretary of State,,R,Warrick,Ohio 6,88,36,0,124
Jim Harper,550,Secretary of State,,D,Warrick,Ohio 6,45,8,0,53
Mark W. Rutherford,551,Secretary of State,,L,Warrick,Ohio 6,4,0,0,4
Write in,552,Secretary of State,,,Warrick,Ohio 6,0,0,0,0
Tera Klutz,553,Auditor of State,,R,Warrick,Ohio 6,91,34,0,125
Joselyn Whitticker,554,Auditor of State,,D,Warrick,Ohio 6,45,9,0,54
John Schick,555,Auditor of State,,L,Warrick,Ohio 6,2,2,0,4
Kelly Mitchell,556,Treasurer of State,,R,Warrick,Ohio 6,92,38,0,130
John C. Aguilera,557,Treasurer of State,,D,Warrick,Ohio 6,45,8,0,53
Larry D Bucshon,558,U.S. House,8,R,Warrick,Ohio 6,93,40,0,133
William Tanoos,559,U.S. House,8,D,Warrick,Ohio 6,43,7,0,50
Write in,560,U.S. House,8,,Warrick,Ohio 6,0,0,0,0
Ron Bacon ,561,State Representative,75,R,Warrick,Ohio 6,94,39,0,133
John Hurley ,562,State Representative,75,D,Warrick,Ohio 6,44,8,0,52
,563,Registered Voters,,,Warrick,Ohio 7,,,,745
,564,Ballots Cast,,,Warrick,Ohio 7,274,,,
Mike Braun,565,U.S. Senate,,R,Warrick,Ohio 7,146,40,0,186
Joe Donnelly,566,U.S. Senate,,D,Warrick,Ohio 7,110,27,0,137
Lucy M Brenton,567,U.S. Senate,,L,Warrick,Ohio 7,13,0,0,13
Write in,568,U.S. Senate,,,Warrick,Ohio 7,0,0,0,0
Connie Lawson,569,Secretary of State,,R,Warrick,Ohio 7,146,40,0,186
Jim Harper,570,Secretary of State,,D,Warrick,Ohio 7,110,25,0,135
Mark W. Rutherford,571,Secretary of State,,L,Warrick,Ohio 7,12,1,0,13
Write in,572,Secretary of State,,,Warrick,Ohio 7,0,0,0,0
Tera Klutz,573,Auditor of State,,R,Warrick,Ohio 7,147,40,0,187
Joselyn Whitticker,574,Auditor of State,,D,Warrick,Ohio 7,109,25,0,134
John Schick,575,Auditor of State,,L,Warrick,Ohio 7,11,1,0,12
Kelly Mitchell,576,Treasurer of State,,R,Warrick,Ohio 7,158,41,0,199
John C. Aguilera,577,Treasurer of State,,D,Warrick,Ohio 7,111,25,0,136
Larry D Bucshon,578,U.S. House,8,R,Warrick,Ohio 7,158,41,0,199
William Tanoos,579,U.S. House,8,D,Warrick,Ohio 7,109,24,0,133
Write in,580,U.S. House,8,,Warrick,Ohio 7,1,0,0,1
Ron Bacon ,581,State Representative,75,R,Warrick,Ohio 7,160,39,0,199
John Hurley ,582,State Representative,75,D,Warrick,Ohio 7,110,27,0,137
,583,Registered Voters,,,Warrick,Ohio 8,,,,563
,584,Ballots Cast,,,Warrick,Ohio 8,279,,,
Mike Braun,585,U.S. Senate,,R,Warrick,Ohio 8,177,24,0,201
Joe Donnelly,586,U.S. Senate,,D,Warrick,Ohio 8,87,28,0,115
Lucy M Brenton,587,U.S. Senate,,L,Warrick,Ohio 8,12,3,0,15
Write in,588,U.S. Senate,,,Warrick,Ohio 8,0,0,0,0
Connie Lawson,589,Secretary of State,,R,Warrick,Ohio 8,186,28,0,214
Jim Harper,590,Secretary of State,,D,Warrick,Ohio 8,81,24,0,105
Mark W. Rutherford,591,Secretary of State,,L,Warrick,Ohio 8,8,1,0,9
Write in,592,Secretary of State,,,Warrick,Ohio 8,0,0,0,0
Tera Klutz,593,Auditor of State,,R,Warrick,Ohio 8,182,26,0,208
Joselyn Whitticker,594,Auditor of State,,D,Warrick,Ohio 8,81,26,0,107
John Schick,595,Auditor of State,,L,Warrick,Ohio 8,9,0,0,9
Kelly Mitchell,596,Treasurer of State,,R,Warrick,Ohio 8,197,29,0,226
John C. Aguilera,597,Treasurer of State,,D,Warrick,Ohio 8,78,24,0,102
Larry D Bucshon,598,U.S. House,8,R,Warrick,Ohio 8,199,26,0,225
William Tanoos,599,U.S. House,8,D,Warrick,Ohio 8,78,27,0,105
Write in,600,U.S. House,8,,Warrick,Ohio 8,0,0,0,0
Holli Sullivan,601,State Representative,78,R,Warrick,Ohio 8,222,33,0,255
No Candidate Filed,602,State Representative,78,D,Warrick,Ohio 8,0,0,0,0
,603,Registered Voters,,,Warrick,Ohio 9,,,,947
,604,Ballots Cast,,,Warrick,Ohio 9,355,,,
Mike Braun,605,U.S. Senate,,R,Warrick,Ohio 9,205,39,0,244
Joe Donnelly,606,U.S. Senate,,D,Warrick,Ohio 9,132,59,0,191
Lucy M Brenton,607,U.S. Senate,,L,Warrick,Ohio 9,13,5,0,18
Write in,608,U.S. Senate,,,Warrick,Ohio 9,0,0,0,0
Connie Lawson,609,Secretary of State,,R,Warrick,Ohio 9,219,43,0,262
Jim Harper,610,Secretary of State,,D,Warrick,Ohio 9,113,59,0,172
Mark W. Rutherford,611,Secretary of State,,L,Warrick,Ohio 9,15,1,0,16
Write in,612,Secretary of State,,,Warrick,Ohio 9,1,0,0,1
Tera Klutz,613,Auditor of State,,R,Warrick,Ohio 9,218,46,0,264
Joselyn Whitticker,614,Auditor of State,,D,Warrick,Ohio 9,114,56,0,170
John Schick,615,Auditor of State,,L,Warrick,Ohio 9,12,1,0,13
Kelly Mitchell,616,Treasurer of State,,R,Warrick,Ohio 9,230,46,0,276
John C. Aguilera,617,Treasurer of State,,D,Warrick,Ohio 9,116,57,0,173
Larry D Bucshon,618,U.S. House,8,R,Warrick,Ohio 9,224,43,0,267
William Tanoos,619,U.S. House,8,D,Warrick,Ohio 9,123,59,0,182
Write in,620,U.S. House,8,,Warrick,Ohio 9,0,0,0,0
Holli Sullivan,621,State Representative,78,R,Warrick,Ohio 9,274,58,0,332
No Candidate Filed,622,State Representative,78,D,Warrick,Ohio 9,0,0,0,0
,623,Registered Voters,,,Warrick,Ohio 10,,,,1198
,624,Ballots Cast,,,Warrick,Ohio 10,437,,,
Mike Braun,625,U.S. Senate,,R,Warrick,Ohio 10,264,78,0,342
Joe Donnelly,626,U.S. Senate,,D,Warrick,Ohio 10,169,100,0,269
Lucy M Brenton,627,U.S. Senate,,L,Warrick,Ohio 10,1,1,0,2
Write in,628,U.S. Senate,,,Warrick,Ohio 10,0,0,0,0
Connie Lawson,629,Secretary of State,,R,Warrick,Ohio 10,271,83,0,354
Jim Harper,630,Secretary of State,,D,Warrick,Ohio 10,152,93,0,245
Mark W. Rutherford,631,Secretary of State,,L,Warrick,Ohio 10,11,2,0,13
Write in,632,Secretary of State,,,Warrick,Ohio 10,0,0,0,0
Tera Klutz,633,Auditor of State,,R,Warrick,Ohio 10,267,78,0,345
Joselyn Whitticker,634,Auditor of State,,D,Warrick,Ohio 10,154,97,0,251
John Schick,635,Auditor of State,,L,Warrick,Ohio 10,10,4,0,14
Kelly Mitchell,636,Treasurer of State,,R,Warrick,Ohio 10,277,83,0,360
John C. Aguilera,637,Treasurer of State,,D,Warrick,Ohio 10,153,95,0,248
Larry D Bucshon,638,U.S. House,8,R,Warrick,Ohio 10,275,85,0,360
William Tanoos,639,U.S. House,8,D,Warrick,Ohio 10,161,92,0,253
Write in,640,U.S. House,8,,Warrick,Ohio 10,0,1,0,1
Holli Sullivan,641,State Representative,78,R,Warrick,Ohio 10,338,101,0,439
No Candidate Filed,642,State Representative,78,D,Warrick,Ohio 10,0,0,0,0
,643,Registered Voters,,,Warrick,Ohio 11,,,,939
,644,Ballots Cast,,,Warrick,Ohio 11,382,,,
Mike Braun,645,U.S. Senate,,R,Warrick,Ohio 11,206,43,0,249
Joe Donnelly,646,U.S. Senate,,D,Warrick,Ohio 11,161,32,0,193
Lucy M Brenton,647,U.S. Senate,,L,Warrick,Ohio 11,10,0,0,10
Write in,648,U.S. Senate,,,Warrick,Ohio 11,0,0,0,0
Connie Lawson,649,Secretary of State,,R,Warrick,Ohio 11,209,43,0,252
Jim Harper,650,Secretary of State,,D,Warrick,Ohio 11,155,30,0,185
Mark W. Rutherford,651,Secretary of State,,L,Warrick,Ohio 11,12,2,0,14
Write in,652,Secretary of State,,,Warrick,Ohio 11,0,0,0,0
Tera Klutz,653,Auditor of State,,R,Warrick,Ohio 11,198,43,0,241
Joselyn Whitticker,654,Auditor of State,,D,Warrick,Ohio 11,159,29,0,188
John Schick,655,Auditor of State,,L,Warrick,Ohio 11,13,2,0,15
Kelly Mitchell,656,Treasurer of State,,R,Warrick,Ohio 11,215,43,0,258
John C. Aguilera,657,Treasurer of State,,D,Warrick,Ohio 11,155,31,0,186
Larry D Bucshon,658,U.S. House,8,R,Warrick,Ohio 11,215,43,0,258
William Tanoos,659,U.S. House,8,D,Warrick,Ohio 11,160,32,0,192
Write in,660,U.S. House,8,,Warrick,Ohio 11,0,0,0,0
Ron Bacon ,661,State Representative,75,R,Warrick,Ohio 11,216,44,0,260
John Hurley ,662,State Representative,75,D,Warrick,Ohio 11,158,31,0,189
,663,Registered Voters,,,Warrick,Ohio 12,,,,1086
,664,Ballots Cast,,,Warrick,Ohio 12,379,,,
Mike Braun,665,U.S. Senate,,R,Warrick,Ohio 12,241,105,0,346
Joe Donnelly,666,U.S. Senate,,D,Warrick,Ohio 12,119,100,0,219
Lucy M Brenton,667,U.S. Senate,,L,Warrick,Ohio 12,15,4,0,19
Write in,668,U.S. Senate,,,Warrick,Ohio 12,0,0,0,0
Connie Lawson,669,Secretary of State,,R,Warrick,Ohio 12,242,107,0,349
Jim Harper,670,Secretary of State,,D,Warrick,Ohio 12,115,97,0,212
Mark W. Rutherford,671,Secretary of State,,L,Warrick,Ohio 12,14,1,0,15
Write in,672,Secretary of State,,,Warrick,Ohio 12,0,0,0,0
Tera Klutz,673,Auditor of State,,R,Warrick,Ohio 12,246,106,0,352
Joselyn Whitticker,674,Auditor of State,,D,Warrick,Ohio 12,113,99,0,212
John Schick,675,Auditor of State,,L,Warrick,Ohio 12,13,1,0,14
Kelly Mitchell,676,Treasurer of State,,R,Warrick,Ohio 12,258,112,0,370
John C. Aguilera,677,Treasurer of State,,D,Warrick,Ohio 12,112,95,0,207
Larry D Bucshon,678,U.S. House,8,R,Warrick,Ohio 12,254,114,0,368
William Tanoos,679,U.S. House,8,D,Warrick,Ohio 12,120,94,0,214
Write in,680,U.S. House,8,,Warrick,Ohio 12,0,0,0,0
Ron Bacon ,681,State Representative,75,R,Warrick,Ohio 12,244,112,0,356
John Hurley ,682,State Representative,75,D,Warrick,Ohio 12,129,95,0,224
,683,Registered Voters,,,Warrick,Ohio 13,,,,1475
,684,Ballots Cast,,,Warrick,Ohio 13,494,,,
Mike Braun,685,U.S. Senate,,R,Warrick,Ohio 13,267,159,0,426
Joe Donnelly,686,U.S. Senate,,D,Warrick,Ohio 13,204,137,0,341
Lucy M Brenton,687,U.S. Senate,,L,Warrick,Ohio 13,14,5,0,19
Write in,688,U.S. Senate,,,Warrick,Ohio 13,0,0,0,0
Connie Lawson,689,Secretary of State,,R,Warrick,Ohio 13,292,168,0,460
Jim Harper,690,Secretary of State,,D,Warrick,Ohio 13,173,130,0,303
Mark W. Rutherford,691,Secretary of State,,L,Warrick,Ohio 13,11,1,0,12
Write in,692,Secretary of State,,,Warrick,Ohio 13,0,0,,0
Tera Klutz,693,Auditor of State,,R,Warrick,Ohio 13,294,168,0,462
Joselyn Whitticker,694,Auditor of State,,D,Warrick,Ohio 13,169,128,0,297
John Schick,695,Auditor of State,,L,Warrick,Ohio 13,12,3,0,15
Kelly Mitchell,696,Treasurer of State,,R,Warrick,Ohio 13,314,167,0,481
John C. Aguilera,697,Treasurer of State,,D,Warrick,Ohio 13,164,131,0,295
Larry D Bucshon,698,U.S. House,8,R,Warrick,Ohio 13,307,167,0,474
William Tanoos,699,U.S. House,8,D,Warrick,Ohio 13,176,131,0,307
Write in,700,U.S. House,8,,Warrick,Ohio 13,0,0,0,0
Ron Bacon ,701,State Representative,75,R,Warrick,Ohio 13,303,169,0,472
John Hurley ,702,State Representative,75,D,Warrick,Ohio 13,179,129,0,308
,703,Registered Voters,,,Warrick,Ohio 14,,,,1241
,704,Ballots Cast,,,Warrick,Ohio 14,484,,,
Mike Braun,705,U.S. Senate,,R,Warrick,Ohio 14,256,38,0,294
Joe Donnelly,706,U.S. Senate,,D,Warrick,Ohio 14,202,51,0,253
Lucy M Brenton,707,U.S. Senate,,L,Warrick,Ohio 14,22,3,0,25
Write in,708,U.S. Senate,,,Warrick,Ohio 14,1,0,0,1
Connie Lawson,709,Secretary of State,,R,Warrick,Ohio 14,265,42,0,307
Jim Harper,710,Secretary of State,,D,Warrick,Ohio 14,192,47,0,239
Mark W. Rutherford,711,Secretary of State,,L,Warrick,Ohio 14,19,3,0,22
Write in,712,Secretary of State,,,Warrick,Ohio 14,1,0,0,1
Tera Klutz,713,Auditor of State,,R,Warrick,Ohio 14,256,43,0,299
Joselyn Whitticker,714,Auditor of State,,D,Warrick,Ohio 14,200,49,0,249
John Schick,715,Auditor of State,,L,Warrick,Ohio 14,16,1,0,17
Kelly Mitchell,716,Treasurer of State,,R,Warrick,Ohio 14,284,40,0,324
John C. Aguilera,717,Treasurer of State,,D,Warrick,Ohio 14,191,51,0,242
Larry D Bucshon,718,U.S. House,8,R,Warrick,Ohio 14,285,41,0,326
William Tanoos,719,U.S. House,8,D,Warrick,Ohio 14,192,51,0,243
Write in,720,U.S. House,8,,Warrick,Ohio 14,0,0,0,0
Ron Bacon ,721,State Representative,75,R,Warrick,Ohio 14,298,50,0,348
John Hurley ,722,State Representative,75,D,Warrick,Ohio 14,179,46,0,225
,723,Registered Voters,,,Warrick,Ohio 15,,,,1019
,724,Ballots Cast,,,Warrick,Ohio 15,388,,,
Mike Braun,725,U.S. Senate,,R,Warrick,Ohio 15,210,55,0,265
Joe Donnelly,726,U.S. Senate,,D,Warrick,Ohio 15,166,35,0,201
Lucy M Brenton,727,U.S. Senate,,L,Warrick,Ohio 15,8,4,0,12
Write in,728,U.S. Senate,,,Warrick,Ohio 15,0,0,0,0
Connie Lawson,729,Secretary of State,,R,Warrick,Ohio 15,221,57,0,278
Jim Harper,730,Secretary of State,,D,Warrick,Ohio 15,143,36,0,179
