candidate,office,district,party,county,precinct,votes,,,
Write in,U.S. Senate,,,Hancock,BROWN 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BROWN 1,411,,,
Jim Harper,Secretary of State,,D,Hancock,BROWN 1,113,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BROWN 1,19,,,
Write in,Secretary of State,,,Hancock,BROWN 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BROWN 1,407,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BROWN 1,107,,,
John Schick,Auditor of State,,L,Hancock,BROWN 1,23,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BROWN 1,427,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BROWN 1,105,,,
Greg Pence,US House,,R,Hancock,BROWN 1,407,,,
Jeannine Lee Lake,US House,,D,Hancock,BROWN 1,119,,,
Tom Ferkinhoff,US House,,L,Hancock,BROWN 1,18,,,
Write in,US House,,,Hancock,BROWN 1,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,BROWN 1,416,,,
Nancy Tibbett,State Representative,53,D,Hancock,BROWN 1,123,,,
,Registered Voters,,,Hancock,BROWN 2,788,,,
,Ballots Cast,,,Hancock,BROWN 2,406,,,
,Straight Party,,R,Hancock,BROWN 2,169,,,
,Straight Party,,D,Hancock,BROWN 2,32,,,
,Straight Party,,L,Hancock,BROWN 2,1,,,
Mike Braun,U.S. Senate,,R,Hancock,BROWN 2,296,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BROWN 2,87,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BROWN 2,21,,,
Write in,U.S. Senate,,,Hancock,BROWN 2,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BROWN 2,323,,,
Jim Harper,Secretary of State,,D,Hancock,BROWN 2,68,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BROWN 2,10,,,
Write in,Secretary of State,,,Hancock,BROWN 2,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BROWN 2,315,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BROWN 2,69,,,
John Schick,Auditor of State,,L,Hancock,BROWN 2,11,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BROWN 2,329,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BROWN 2,66,,,
Greg Pence,US House,,R,Hancock,BROWN 2,313,,,
Jeannine Lee Lake,US House,,D,Hancock,BROWN 2,80,,,
Tom Ferkinhoff,US House,,L,Hancock,BROWN 2,10,,,
Write in,US House,,,Hancock,BROWN 2,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,BROWN 2,309,,,
Nancy Tibbett,State Representative,53,D,Hancock,BROWN 2,94,,,
,Registered Voters,,,Hancock,BRANDYWINE 01-E,1105,,,
,Ballots Cast,,,Hancock,BRANDYWINE 01-E,643,,,
,Straight Party,,R,Hancock,BRANDYWINE 01-E,292,,,
,Straight Party,,D,Hancock,BRANDYWINE 01-E,44,,,
,Straight Party,,L,Hancock,BRANDYWINE 01-E,3,,,
Mike Braun,U.S. Senate,,R,Hancock,BRANDYWINE 01-E,467,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BRANDYWINE 01-E,142,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BRANDYWINE 01-E,30,,,
Write in,U.S. Senate,,,Hancock,BRANDYWINE 01-E,1,,,
Connie Lawson,Secretary of State,,R,Hancock,BRANDYWINE 01-E,507,,,
Jim Harper,Secretary of State,,D,Hancock,BRANDYWINE 01-E,107,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BRANDYWINE 01-E,16,,,
Write in,Secretary of State,,,Hancock,BRANDYWINE 01-E,1,,,
Tera Klutz,Auditor of State,,R,Hancock,BRANDYWINE 01-E,490,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BRANDYWINE 01-E,113,,,
John Schick,Auditor of State,,L,Hancock,BRANDYWINE 01-E,24,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BRANDYWINE 01-E,522,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BRANDYWINE 01-E,99,,,
Greg Pence,US House,,R,Hancock,BRANDYWINE 01-E,481,,,
Jeannine Lee Lake,US House,,D,Hancock,BRANDYWINE 01-E,134,,,
Tom Ferkinhoff,US House,,L,Hancock,BRANDYWINE 01-E,22,,,
Write in,US House,,,Hancock,BRANDYWINE 01-E,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,BRANDYWINE 01-E,511,,,
Nancy Tibbett,State Representative,53,D,Hancock,BRANDYWINE 01-E,120,,,
,Registered Voters,,,Hancock,BRANDYWINE 01-W,661,,,
,Ballots Cast,,,Hancock,BRANDYWINE 01-W,372,,,
,Straight Party,,R,Hancock,BRANDYWINE 01-W,154,,,
,Straight Party,,D,Hancock,BRANDYWINE 01-W,34,,,
,Straight Party,,L,Hancock,BRANDYWINE 01-W,0,,,
Mike Braun,U.S. Senate,,R,Hancock,BRANDYWINE 01-W,273,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BRANDYWINE 01-W,89,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BRANDYWINE 01-W,9,,,
Write in,U.S. Senate,,,Hancock,BRANDYWINE 01-W,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BRANDYWINE 01-W,298,,,
Jim Harper,Secretary of State,,D,Hancock,BRANDYWINE 01-W,63,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BRANDYWINE 01-W,8,,,
Write in,Secretary of State,,,Hancock,BRANDYWINE 01-W,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BRANDYWINE 01-W,289,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BRANDYWINE 01-W,60,,,
John Schick,Auditor of State,,L,Hancock,BRANDYWINE 01-W,12,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BRANDYWINE 01-W,298,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BRANDYWINE 01-W,66,,,
Greg Pence,US House,,R,Hancock,BRANDYWINE 01-W,279,,,
Jeannine Lee Lake,US House,,D,Hancock,BRANDYWINE 01-W,79,,,
Tom Ferkinhoff,US House,,L,Hancock,BRANDYWINE 01-W,11,,,
Write in,US House,,,Hancock,BRANDYWINE 01-W,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,BRANDYWINE 01-W,296,,,
Nancy Tibbett,State Representative,53,D,Hancock,BRANDYWINE 01-W,70,,,
,Registered Voters,,,Hancock,BUCK CREEK 1,1515,,,
,Ballots Cast,,,Hancock,BUCK CREEK 1,965,,,
,Straight Party,,R,Hancock,BUCK CREEK 1,381,,,
,Straight Party,,D,Hancock,BUCK CREEK 1,108,,,
,Straight Party,,L,Hancock,BUCK CREEK 1,3,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 1,639,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 1,275,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 1,42,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 1,698,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 1,219,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 1,31,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 1,1,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 1,687,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 1,222,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 1,32,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 1,724,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 1,219,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 1,669,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 1,260,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 1,30,,,
Write in,US House,,,Hancock,BUCK CREEK 1,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 1,691,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 1,258,,,
,Registered Voters,,,Hancock,BUCK CREEK 02 -N,1667,,,
,Ballots Cast,,,Hancock,BUCK CREEK 02 -N,909,,,
,Straight Party,,R,Hancock,BUCK CREEK 02 -N,245,,,
,Straight Party,,D,Hancock,BUCK CREEK 02 -N,291,,,
,Straight Party,,L,Hancock,BUCK CREEK 02 -N,2,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 02 -N,383,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 02 -N,468,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 02 -N,50,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 02 -N,1,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 02 -N,425,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 02 -N,443,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 02 -N,28,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 02 -N,1,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 02 -N,410,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 02 -N,452,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 02 -N,31,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 02 -N,437,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 02 -N,449,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 02 -N,397,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 02 -N,476,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 02 -N,28,,,
Write in,US House,,,Hancock,BUCK CREEK 02 -N,1,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 02 -N,384,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 02 -N,508,,,
,Registered Voters,,,Hancock,BUCK CREEK 02 -S,548,,,
,Ballots Cast,,,Hancock,BUCK CREEK 02 -S,321,,,
,Straight Party,,R,Hancock,BUCK CREEK 02 -S,113,,,
,Straight Party,,D,Hancock,BUCK CREEK 02 -S,36,,,
,Straight Party,,L,Hancock,BUCK CREEK 02 -S,7,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 02 -S,196,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 02 -S,102,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 02 -S,21,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 02 -S,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 02 -S,228,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 02 -S,71,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 02 -S,15,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 02 -S,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 02 -S,219,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 02 -S,78,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 02 -S,16,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 02 -S,234,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 02 -S,78,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 02 -S,210,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 02 -S,90,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 02 -S,19,,,
Write in,US House,,,Hancock,BUCK CREEK 02 -S,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 02 -S,220,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 02 -S,98,,,
,Registered Voters,,,Hancock,BUCK CREEK 3,857,,,
,Ballots Cast,,,Hancock,BUCK CREEK 3,524,,,
,Straight Party,,R,Hancock,BUCK CREEK 3,209,,,
,Straight Party,,D,Hancock,BUCK CREEK 3,78,,,
,Straight Party,,L,Hancock,BUCK CREEK 3,1,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 3,319,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 3,188,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 3,17,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 3,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 3,359,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 3,137,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 3,24,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 3,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 3,350,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 3,145,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 3,24,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 3,359,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 3,153,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 3,331,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 3,170,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 3,20,,,
Write in,US House,,,Hancock,BUCK CREEK 3,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 3,339,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 3,181,,,
,Registered Voters,,,Hancock,BUCK CREEK 4,964,,,
,Ballots Cast,,,Hancock,BUCK CREEK 4,594,,,
,Straight Party,,R,Hancock,BUCK CREEK 4,236,,,
,Straight Party,,D,Hancock,BUCK CREEK 4,82,,,
,Straight Party,,L,Hancock,BUCK CREEK 4,1,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 4,388,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 4,183,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 4,21,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 4,2,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 4,412,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 4,150,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 4,26,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 4,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 4,407,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 4,151,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 4,28,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 4,422,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 4,162,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 4,400,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 4,174,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 4,14,,,
Write in,US House,,,Hancock,BUCK CREEK 4,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 4,405,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 4,185,,,
,Registered Voters,,,Hancock,BUCK CREEK 5,1204,,,
,Ballots Cast,,,Hancock,BUCK CREEK 5,734,,,
,Straight Party,,R,Hancock,BUCK CREEK 5,263,,,
,Straight Party,,D,Hancock,BUCK CREEK 5,134,,,
,Straight Party,,L,Hancock,BUCK CREEK 5,1,,,
Mike Braun,U.S. Senate,,R,Hancock,BUCK CREEK 5,400,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BUCK CREEK 5,294,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BUCK CREEK 5,36,,,
Write in,U.S. Senate,,,Hancock,BUCK CREEK 5,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BUCK CREEK 5,460,,,
Jim Harper,Secretary of State,,D,Hancock,BUCK CREEK 5,243,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BUCK CREEK 5,25,,,
Write in,Secretary of State,,,Hancock,BUCK CREEK 5,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BUCK CREEK 5,464,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BUCK CREEK 5,231,,,
John Schick,Auditor of State,,L,Hancock,BUCK CREEK 5,28,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BUCK CREEK 5,469,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BUCK CREEK 5,253,,,
Greg Pence,US House,,R,Hancock,BUCK CREEK 5,427,,,
Jeannine Lee Lake,US House,,D,Hancock,BUCK CREEK 5,280,,,
Tom Ferkinhoff,US House,,L,Hancock,BUCK CREEK 5,23,,,
Write in,US House,,,Hancock,BUCK CREEK 5,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,BUCK CREEK 5,437,,,
Poonam Gill,State Representative,88,D,Hancock,BUCK CREEK 5,286,,,
,Registered Voters,,,Hancock,CENTER 1,892,,,
,Ballots Cast,,,Hancock,CENTER 1,508,,,
,Straight Party,,R,Hancock,CENTER 1,172,,,
,Straight Party,,D,Hancock,CENTER 1,51,,,
,Straight Party,,L,Hancock,CENTER 1,1,,,
Mike Braun,U.S. Senate,,R,Hancock,CENTER 1,313,,,
Joe Donnelly,U.S. Senate,,D,Hancock,CENTER 1,163,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,CENTER 1,28,,,
Write in,U.S. Senate,,,Hancock,CENTER 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,CENTER 1,359,,,
Jim Harper,Secretary of State,,D,Hancock,CENTER 1,120,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,CENTER 1,21,,,
Write in,Secretary of State,,,Hancock,CENTER 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,CENTER 1,341,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,CENTER 1,130,,,
John Schick,Auditor of State,,L,Hancock,CENTER 1,23,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,CENTER 1,370,,,
John C. Aguilera,Treasurer of State,,D,Hancock,CENTER 1,125,,,
Greg Pence,US House,,R,Hancock,CENTER 1,344,,,
Jeannine Lee Lake,US House,,D,Hancock,CENTER 1,136,,,
Tom Ferkinhoff,US House,,L,Hancock,CENTER 1,22,,,
Write in,US House,,,Hancock,CENTER 1,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,CENTER 1,362,,,
Nancy Tibbett,State Representative,53,D,Hancock,CENTER 1,140,,,
,Registered Voters,,,Hancock,CENTER 2,1489,,,
,Ballots Cast,,,Hancock,CENTER 2,850,,,
,Straight Party,,R,Hancock,CENTER 2,305,,,
,Straight Party,,D,Hancock,CENTER 2,85,,,
,Straight Party,,L,Hancock,CENTER 2,4,,,
Mike Braun,U.S. Senate,,R,Hancock,CENTER 2,567,,,
Joe Donnelly,U.S. Senate,,D,Hancock,CENTER 2,236,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,CENTER 2,42,,,
Write in,U.S. Senate,,,Hancock,CENTER 2,0,,,
Connie Lawson,Secretary of State,,R,Hancock,CENTER 2,638,,,
Jim Harper,Secretary of State,,D,Hancock,CENTER 2,180,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,CENTER 2,24,,,
Write in,Secretary of State,,,Hancock,CENTER 2,0,,,
Tera Klutz,Auditor of State,,R,Hancock,CENTER 2,616,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,CENTER 2,188,,,
John Schick,Auditor of State,,L,Hancock,CENTER 2,31,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,CENTER 2,648,,,
John C. Aguilera,Treasurer of State,,D,Hancock,CENTER 2,183,,,
Greg Pence,US House,,R,Hancock,CENTER 2,593,,,
Jeannine Lee Lake,US House,,D,Hancock,CENTER 2,217,,,
Tom Ferkinhoff,US House,,L,Hancock,CENTER 2,32,,,
Write in,US House,,,Hancock,CENTER 2,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,CENTER 2,618,,,
Poonam Gill,State Representative,88,D,Hancock,CENTER 2,216,,,
,Registered Voters,,,Hancock,CENTER 3,1152,,,
,Ballots Cast,,,Hancock,CENTER 3,698,,,
,Straight Party,,R,Hancock,CENTER 3,233,,,
,Straight Party,,D,Hancock,CENTER 3,50,,,
,Straight Party,,L,Hancock,CENTER 3,0,,,
Mike Braun,U.S. Senate,,R,Hancock,CENTER 3,473,,,
Joe Donnelly,U.S. Senate,,D,Hancock,CENTER 3,187,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,CENTER 3,34,,,
Write in,U.S. Senate,,,Hancock,CENTER 3,0,,,
Connie Lawson,Secretary of State,,R,Hancock,CENTER 3,514,,,
Jim Harper,Secretary of State,,D,Hancock,CENTER 3,152,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,CENTER 3,23,,,
Write in,Secretary of State,,,Hancock,CENTER 3,0,,,
Tera Klutz,Auditor of State,,R,Hancock,CENTER 3,497,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,CENTER 3,148,,,
John Schick,Auditor of State,,L,Hancock,CENTER 3,34,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,CENTER 3,525,,,
John C. Aguilera,Treasurer of State,,D,Hancock,CENTER 3,152,,,
Greg Pence,US House,,R,Hancock,CENTER 3,493,,,
Jeannine Lee Lake,US House,,D,Hancock,CENTER 3,176,,,
Tom Ferkinhoff,US House,,L,Hancock,CENTER 3,22,,,
Write in,US House,,,Hancock,CENTER 3,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,CENTER 3,519,,,
Nancy Tibbett,State Representative,53,D,Hancock,CENTER 3,163,,,
,Registered Voters,,,Hancock,CENTER 4,606,,,
,Ballots Cast,,,Hancock,CENTER 4,353,,,
,Straight Party,,R,Hancock,CENTER 4,117,,,
,Straight Party,,D,Hancock,CENTER 4,27,,,
,Straight Party,,L,Hancock,CENTER 4,1,,,
Mike Braun,U.S. Senate,,R,Hancock,CENTER 4,243,,,
Joe Donnelly,U.S. Senate,,D,Hancock,CENTER 4,97,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,CENTER 4,12,,,
Write in,U.S. Senate,,,Hancock,CENTER 4,0,,,
Connie Lawson,Secretary of State,,R,Hancock,CENTER 4,267,,,
Jim Harper,Secretary of State,,D,Hancock,CENTER 4,73,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,CENTER 4,10,,,
Write in,Secretary of State,,,Hancock,CENTER 4,0,,,
Tera Klutz,Auditor of State,,R,Hancock,CENTER 4,257,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,CENTER 4,79,,,
John Schick,Auditor of State,,L,Hancock,CENTER 4,11,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,CENTER 4,273,,,
John C. Aguilera,Treasurer of State,,D,Hancock,CENTER 4,74,,,
Greg Pence,US House,,R,Hancock,CENTER 4,252,,,
Jeannine Lee Lake,US House,,D,Hancock,CENTER 4,88,,,
Tom Ferkinhoff,US House,,L,Hancock,CENTER 4,10,,,
Write in,US House,,,Hancock,CENTER 4,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,CENTER 4,269,,,
Nancy Tibbett,State Representative,53,D,Hancock,CENTER 4,78,,,
,Registered Voters,,,Hancock,FORTVILLE 1,1564,,,
,Ballots Cast,,,Hancock,FORTVILLE 1,810,,,
,Straight Party,,R,Hancock,FORTVILLE 1,261,,,
,Straight Party,,D,Hancock,FORTVILLE 1,93,,,
,Straight Party,,L,Hancock,FORTVILLE 1,5,,,
Mike Braun,U.S. Senate,,R,Hancock,FORTVILLE 1,508,,,
Joe Donnelly,U.S. Senate,,D,Hancock,FORTVILLE 1,245,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,FORTVILLE 1,48,,,
Write in,U.S. Senate,,,Hancock,FORTVILLE 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,FORTVILLE 1,550,,,
Jim Harper,Secretary of State,,D,Hancock,FORTVILLE 1,215,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,FORTVILLE 1,29,,,
Write in,Secretary of State,,,Hancock,FORTVILLE 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,FORTVILLE 1,542,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,FORTVILLE 1,217,,,
John Schick,Auditor of State,,L,Hancock,FORTVILLE 1,34,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,FORTVILLE 1,573,,,
John C. Aguilera,Treasurer of State,,D,Hancock,FORTVILLE 1,216,,,
Greg Pence,US House,,R,Hancock,FORTVILLE 1,527,,,
Jeannine Lee Lake,US House,,D,Hancock,FORTVILLE 1,239,,,
Tom Ferkinhoff,US House,,L,Hancock,FORTVILLE 1,28,,,
Write in,US House,,,Hancock,FORTVILLE 1,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,FORTVILLE 1,525,,,
Poonam Gill,State Representative,88,D,Hancock,FORTVILLE 1,272,,,
,Registered Voters,,,Hancock,FORTVILLE 2,1371,,,
