county,precinct,office,district,party,candidate,election_day,absentee,provisional,votes
Grant,Center 03,U.S. House,5,Dem,Dee Thornton,84,37,0,121
Grant,Center 03,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 03,U.S. Senate,,Rep,Mike Braun,30,1,0,31
Grant,Center 03,U.S. Senate,,Dem,Joe Donnelly,82,37,0,119
Grant,Center 03,U.S. Senate,,Lbt,Lucy Brenton,5,1,0,6
Grant,Center 03,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 04,Auditor,,Rep,Tera Klutz,67,34,0,101
Grant,Center 04,Auditor,,Dem,Joselyn Whitticker,86,21,0,107
Grant,Center 04,Auditor,,Lbt,John Schick,7,2,0,9
Grant,Center 04,Ballots Cast,,,,166,60,0,226
Grant,Center 04,Registered Voters,,,,,,,723
Grant,Center 04,Secretary of State,,Rep,Connie Lawson,74,34,0,108
Grant,Center 04,Secretary of State,,Dem,Jim Harper,72,22,0,94
Grant,Center 04,Secretary of State,,Lbt,Mark Rutherford,13,3,0,16
Grant,Center 04,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 04,State House,31,Rep,Kevin Mahan,83,36,0,119
Grant,Center 04,State House,31,Dem,Lynn Johnson,74,23,0,97
Grant,Center 04,State Senate,17,Rep,Andy Zay,70,35,0,105
Grant,Center 04,State Senate,17,Dem,Gary Snyder,83,25,0,108
Grant,Center 04,Treasurer,,Rep,Kelly Mitchell,77,36,0,113
Grant,Center 04,Treasurer,,Dem,John Aguilera,78,23,0,101
Grant,Center 04,U.S. House,5,Rep,Susan Brooks,80,38,0,118
Grant,Center 04,U.S. House,5,Dem,Dee Thornton,78,22,0,100
Grant,Center 04,U.S. House,5,,Write-ins,1,0,0,1
Grant,Center 04,U.S. Senate,,Rep,Mike Braun,67,33,0,100
Grant,Center 04,U.S. Senate,,Dem,Joe Donnelly,79,23,0,102
Grant,Center 04,U.S. Senate,,Lbt,Lucy Brenton,19,3,0,22
Grant,Center 04,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 05,Auditor,,Rep,Tera Klutz,62,32,0,94
Grant,Center 05,Auditor,,Dem,Joselyn Whitticker,81,40,0,121
Grant,Center 05,Auditor,,Lbt,John Schick,10,1,0,11
Grant,Center 05,Ballots Cast,,,,155,74,0,229
Grant,Center 05,Registered Voters,,,,,,,636
Grant,Center 05,Secretary of State,,Rep,Connie Lawson,76,34,0,110
Grant,Center 05,Secretary of State,,Dem,Jim Harper,68,36,0,104
Grant,Center 05,Secretary of State,,Lbt,Mark Rutherford,8,1,0,9
Grant,Center 05,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 05,State House,31,Rep,Kevin Mahan,65,30,0,95
Grant,Center 05,State House,31,Dem,Lynn Johnson,84,43,0,127
Grant,Center 05,State Senate,17,Rep,Andy Zay,70,36,0,106
Grant,Center 05,State Senate,17,Dem,Gary Snyder,80,37,0,117
Grant,Center 05,Treasurer,,Rep,Kelly Mitchell,81,38,0,119
Grant,Center 05,Treasurer,,Dem,John Aguilera,72,34,0,106
Grant,Center 05,U.S. House,5,Rep,Susan Brooks,82,36,0,118
Grant,Center 05,U.S. House,5,Dem,Dee Thornton,69,35,0,104
Grant,Center 05,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 05,U.S. Senate,,Rep,Mike Braun,61,33,0,94
Grant,Center 05,U.S. Senate,,Dem,Joe Donnelly,77,38,0,115
Grant,Center 05,U.S. Senate,,Lbt,Lucy Brenton,14,2,0,16
Grant,Center 05,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 06,Auditor,,Rep,Tera Klutz,57,26,0,83
Grant,Center 06,Auditor,,Dem,Joselyn Whitticker,97,43,0,140
Grant,Center 06,Auditor,,Lbt,John Schick,6,0,0,6
Grant,Center 06,Ballots Cast,,,,166,70,0,236
Grant,Center 06,Registered Voters,,,,,,,599
Grant,Center 06,Secretary of State,,Rep,Connie Lawson,60,31,0,91
Grant,Center 06,Secretary of State,,Dem,Jim Harper,87,36,0,123
Grant,Center 06,Secretary of State,,Lbt,Mark Rutherford,11,0,0,11
Grant,Center 06,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 06,State House,31,Rep,Kevin Mahan,63,32,0,95
Grant,Center 06,State House,31,Dem,Lynn Johnson,97,37,0,134
Grant,Center 06,State Senate,17,Rep,Andy Zay,56,30,0,86
Grant,Center 06,State Senate,17,Dem,Gary Snyder,99,39,0,138
Grant,Center 06,Treasurer,,Rep,Kelly Mitchell,66,28,0,94
Grant,Center 06,Treasurer,,Dem,John Aguilera,89,40,0,129
Grant,Center 06,U.S. House,5,Rep,Susan Brooks,71,34,0,105
Grant,Center 06,U.S. House,5,Dem,Dee Thornton,87,35,0,122
Grant,Center 06,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 06,U.S. Senate,,Rep,Mike Braun,57,28,0,85
Grant,Center 06,U.S. Senate,,Dem,Joe Donnelly,94,40,0,134
Grant,Center 06,U.S. Senate,,Lbt,Lucy Brenton,11,0,0,12
Grant,Center 06,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 07,Auditor,,Rep,Tera Klutz,81,16,0,97
Grant,Center 07,Auditor,,Dem,Joselyn Whitticker,85,34,0,119
Grant,Center 07,Auditor,,Lbt,John Schick,7,0,0,7
Grant,Center 07,Ballots Cast,,,,174,52,0,226
Grant,Center 07,Registered Voters,,,,,,,765
Grant,Center 07,Secretary of State,,Rep,Connie Lawson,88,21,0,109
Grant,Center 07,Secretary of State,,Dem,Jim Harper,73,29,0,102
Grant,Center 07,Secretary of State,,Lbt,Mark Rutherford,8,1,0,9
Grant,Center 07,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 07,State House,31,Rep,Kevin Mahan,90,19,0,109
Grant,Center 07,State House,31,Dem,Lynn Johnson,80,30,0,110
Grant,Center 07,State Senate,17,Rep,Andy Zay,86,20,0,106
Grant,Center 07,State Senate,17,Dem,Gary Snyder,84,29,0,113
Grant,Center 07,Treasurer,,Rep,Kelly Mitchell,93,20,0,113
Grant,Center 07,Treasurer,,Dem,John Aguilera,73,31,0,104
Grant,Center 07,U.S. House,5,Rep,Susan Brooks,96,23,0,119
Grant,Center 07,U.S. House,5,Dem,Dee Thornton,75,28,0,103
Grant,Center 07,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 07,U.S. Senate,,Rep,Mike Braun,84,15,0,99
Grant,Center 07,U.S. Senate,,Dem,Joe Donnelly,78,35,0,113
Grant,Center 07,U.S. Senate,,Lbt,Lucy Brenton,10,2,0,12
Grant,Center 07,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 08,Auditor,,Rep,Tera Klutz,53,10,0,63
Grant,Center 08,Auditor,,Dem,Joselyn Whitticker,165,51,0,216
Grant,Center 08,Auditor,,Lbt,John Schick,5,2,0,7
Grant,Center 08,Ballots Cast,,,,226,67,0,293
Grant,Center 08,Registered Voters,,,,,,,725
Grant,Center 08,Secretary of State,,Rep,Connie Lawson,61,11,0,72
Grant,Center 08,Secretary of State,,Dem,Jim Harper,151,50,0,201
Grant,Center 08,Secretary of State,,Lbt,Mark Rutherford,11,1,0,8
Grant,Center 08,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 08,State House,31,Rep,Kevin Mahan,60,12,0,72
Grant,Center 08,State House,31,Dem,Lynn Johnson,156,51,0,207
Grant,Center 08,State Senate,17,Rep,Andy Zay,52,11,0,63
Grant,Center 08,State Senate,17,Dem,Gary Snyder,159,51,0,210
Grant,Center 08,Treasurer,,Rep,Kelly Mitchell,61,10,0,71
Grant,Center 08,Treasurer,,Dem,John Aguilera,157,53,0,210
Grant,Center 08,U.S. House,5,Rep,Susan Brooks,62,13,0,75
Grant,Center 08,U.S. House,5,Dem,Dee Thornton,157,50,0,207
Grant,Center 08,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 08,U.S. Senate,,Rep,Mike Braun,48,11,0,59
Grant,Center 08,U.S. Senate,,Dem,Joe Donnelly,163,50,0,213
Grant,Center 08,U.S. Senate,,Lbt,Lucy Brenton,11,1,0,12
Grant,Center 08,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 09,Auditor,,Rep,Tera Klutz,49,16,0,65
Grant,Center 09,Auditor,,Dem,Joselyn Whitticker,121,42,0,163
Grant,Center 09,Auditor,,Lbt,John Schick,3,0,0,3
Grant,Center 09,Ballots Cast,,,,177,62,0,239
Grant,Center 09,Registered Voters,,,,,,,797
Grant,Center 09,Secretary of State,,Rep,Connie Lawson,60,19,0,79
Grant,Center 09,Secretary of State,,Dem,Jim Harper,104,39,0,143
Grant,Center 09,Secretary of State,,Lbt,Mark Rutherford,4,0,0,4
Grant,Center 09,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 09,State House,31,Rep,Kevin Mahan,54,16,0,70
Grant,Center 09,State House,31,Dem,Lynn Johnson,116,42,0,158
Grant,Center 09,State Senate,17,Rep,Andy Zay,52,16,0,68
Grant,Center 09,State Senate,17,Dem,Gary Snyder,117,41,0,158
Grant,Center 09,Treasurer,,Rep,Kelly Mitchell,59,20,0,79
Grant,Center 09,Treasurer,,Dem,John Aguilera,108,37,0,145
Grant,Center 09,U.S. House,5,Rep,Susan Brooks,54,18,0,72
Grant,Center 09,U.S. House,5,Dem,Dee Thornton,114,38,0,152
Grant,Center 09,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 09,U.S. Senate,,Rep,Mike Braun,51,18,0,69
Grant,Center 09,U.S. Senate,,Dem,Joe Donnelly,115,41,0,156
Grant,Center 09,U.S. Senate,,Lbt,Lucy Brenton,7,1,0,8
Grant,Center 09,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 10,Auditor,,Rep,Tera Klutz,220,74,0,294
Grant,Center 10,Auditor,,Dem,Joselyn Whitticker,77,31,0,108
Grant,Center 10,Auditor,,Lbt,John Schick,8,4,0,12
Grant,Center 10,Ballots Cast,,,,308,111,0,419
Grant,Center 10,Registered Voters,,,,,,,923
Grant,Center 10,Secretary of State,,Rep,Connie Lawson,228,82,0,310
Grant,Center 10,Secretary of State,,Dem,Jim Harper,71,25,0,96
Grant,Center 10,Secretary of State,,Lbt,Mark Rutherford,6,3,0,9
Grant,Center 10,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 10,State House,31,Rep,Kevin Mahan,225,80,0,305
Grant,Center 10,State House,31,Dem,Lynn Johnson,77,29,0,106
Grant,Center 10,State Senate,17,Rep,Andy Zay,223,80,0,303
Grant,Center 10,State Senate,17,Dem,Gary Snyder,79,27,0,106
Grant,Center 10,Treasurer,,Rep,Kelly Mitchell,229,83,0,312
Grant,Center 10,Treasurer,,Dem,John Aguilera,75,23,0,98
Grant,Center 10,U.S. House,5,Rep,Susan Brooks,238,83,0,321
Grant,Center 10,U.S. House,5,Dem,Dee Thornton,69,27,0,96
Grant,Center 10,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 10,U.S. Senate,,Rep,Mike Braun,211,78,0,289
Grant,Center 10,U.S. Senate,,Dem,Joe Donnelly,81,29,0,110
Grant,Center 10,U.S. Senate,,Lbt,Lucy Brenton,14,2,0,16
Grant,Center 10,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 11,Auditor,,Rep,Tera Klutz,158,70,0,228
Grant,Center 11,Auditor,,Dem,Joselyn Whitticker,85,25,0,110
Grant,Center 11,Auditor,,Lbt,John Schick,9,1,0,10
Grant,Center 11,Ballots Cast,,,,257,101,0,358
Grant,Center 11,Registered Voters,,,,,,,1038
Grant,Center 11,Secretary of State,,Rep,Connie Lawson,169,74,0,243
Grant,Center 11,Secretary of State,,Dem,Jim Harper,72,22,0,94
Grant,Center 11,Secretary of State,,Lbt,Mark Rutherford,8,2,0,10
Grant,Center 11,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 11,State House,31,Rep,Kevin Mahan,166,67,0,233
Grant,Center 11,State House,31,Dem,Lynn Johnson,83,29,0,112
Grant,Center 11,State Senate,17,Rep,Andy Zay,161,64,0,225
Grant,Center 11,State Senate,17,Dem,Gary Snyder,88,27,0,115
Grant,Center 11,Treasurer,,Rep,Kelly Mitchell,174,73,0,247
Grant,Center 11,Treasurer,,Dem,John Aguilera,77,24,0,101
Grant,Center 11,U.S. House,5,Rep,Susan Brooks,177,70,0,247
Grant,Center 11,U.S. House,5,Dem,Dee Thornton,71,25,0,96
Grant,Center 11,U.S. House,5,,Write-ins,1,0,0,1
Grant,Center 11,U.S. Senate,,Rep,Mike Braun,160,65,0,225
Grant,Center 11,U.S. Senate,,Dem,Joe Donnelly,81,27,0,108
Grant,Center 11,U.S. Senate,,Lbt,Lucy Brenton,11,4,0,15
Grant,Center 11,U.S. Senate,,,Write-ins,1,0,0,1
Grant,Center 12,Auditor,,Rep,Tera Klutz,137,68,0,205
Grant,Center 12,Auditor,,Dem,Joselyn Whitticker,82,64,0,146
Grant,Center 12,Auditor,,Lbt,John Schick,10,1,0,11
Grant,Center 12,Ballots Cast,,,,235,142,0,377
Grant,Center 12,Registered Voters,,,,,,,620
Grant,Center 12,Secretary of State,,Rep,Connie Lawson,143,80,0,223
Grant,Center 12,Secretary of State,,Dem,Jim Harper,75,56,0,131
Grant,Center 12,Secretary of State,,Lbt,Mark Rutherford,10,0,0,10
Grant,Center 12,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 12,State House,31,Rep,Kevin Mahan,150,77,0,227
Grant,Center 12,State House,31,Dem,Lynn Johnson,79,56,0,135
Grant,Center 12,State Senate,17,Rep,Andy Zay,135,79,0,214
Grant,Center 12,State Senate,17,Dem,Gary Snyder,87,55,0,142
Grant,Center 12,Treasurer,,Rep,Kelly Mitchell,145,77,0,222
Grant,Center 12,Treasurer,,Dem,John Aguilera,80,54,0,134
Grant,Center 12,U.S. House,5,Rep,Susan Brooks,152,83,0,235
Grant,Center 12,U.S. House,5,Dem,Dee Thornton,75,49,0,124
Grant,Center 12,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 12,U.S. Senate,,Rep,Mike Braun,135,70,0,205
Grant,Center 12,U.S. Senate,,Dem,Joe Donnelly,81,62,0,143
Grant,Center 12,U.S. Senate,,Lbt,Lucy Brenton,14,3,0,17
Grant,Center 12,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 13,Auditor,,Rep,Tera Klutz,99,44,0,143
Grant,Center 13,Auditor,,Dem,Joselyn Whitticker,90,40,0,130
Grant,Center 13,Auditor,,Lbt,John Schick,5,1,0,6
Grant,Center 13,Ballots Cast,,,,198,88,0,286
Grant,Center 13,Registered Voters,,,,,,,741
Grant,Center 13,Secretary of State,,Rep,Connie Lawson,111,49,0,160
Grant,Center 13,Secretary of State,,Dem,Jim Harper,77,36,0,113
Grant,Center 13,Secretary of State,,Lbt,Mark Rutherford,7,0,0,7
Grant,Center 13,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 13,State House,31,Rep,Kevin Mahan,108,45,0,153
Grant,Center 13,State House,31,Dem,Lynn Johnson,85,39,0,124
Grant,Center 13,State Senate,17,Rep,Andy Zay,105,47,0,152
Grant,Center 13,State Senate,17,Dem,Gary Snyder,89,37,0,126
Grant,Center 13,Treasurer,,Rep,Kelly Mitchell,110,50,0,160
Grant,Center 13,Treasurer,,Dem,John Aguilera,85,35,0,120
Grant,Center 13,U.S. House,5,Rep,Susan Brooks,112,52,0,164
Grant,Center 13,U.S. House,5,Dem,Dee Thornton,84,34,0,118
Grant,Center 13,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 13,U.S. Senate,,Rep,Mike Braun,107,43,0,150
Grant,Center 13,U.S. Senate,,Dem,Joe Donnelly,80,37,0,117
Grant,Center 13,U.S. Senate,,Lbt,Lucy Brenton,11,4,0,15
Grant,Center 13,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 14,Auditor,,Rep,Tera Klutz,93,32,0,125
Grant,Center 14,Auditor,,Dem,Joselyn Whitticker,48,17,0,65
Grant,Center 14,Auditor,,Lbt,John Schick,11,0,0,11
Grant,Center 14,Ballots Cast,,,,160,49,0,209
Grant,Center 14,Registered Voters,,,,,,,609
Grant,Center 14,Secretary of State,,Rep,Connie Lawson,100,35,0,135
Grant,Center 14,Secretary of State,,Dem,Jim Harper,43,14,0,57
Grant,Center 14,Secretary of State,,Lbt,Mark Rutherford,10,0,0,10
Grant,Center 14,Secretary of State,,,Write-ins,1,0,0,1
Grant,Center 14,State House,30,Rep,Mike Karickhoff,123,38,0,161
Grant,Center 14,State Senate,21,Rep,James Buck,99,33,0,132
Grant,Center 14,State Senate,21,Dem,Christina Fivecoate,51,16,0,67
Grant,Center 14,Treasurer,,Rep,Kelly Mitchell,107,35,0,142
Grant,Center 14,Treasurer,,Dem,John Aguilera,47,14,0,61
Grant,Center 14,U.S. House,5,Rep,Susan Brooks,108,32,0,140
Grant,Center 14,U.S. House,5,Dem,Dee Thornton,46,16,0,62
Grant,Center 14,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 14,U.S. Senate,,Rep,Mike Braun,90,32,0,122
Grant,Center 14,U.S. Senate,,Dem,Joe Donnelly,55,16,0,71
Grant,Center 14,U.S. Senate,,Lbt,Lucy Brenton,10,1,0,11
Grant,Center 14,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 15,Auditor,,Rep,Tera Klutz,114,66,0,180
Grant,Center 15,Auditor,,Dem,Joselyn Whitticker,56,49,0,105
Grant,Center 15,Auditor,,Lbt,John Schick,5,2,0,7
Grant,Center 15,Ballots Cast,,,,178,120,0,298
Grant,Center 15,Registered Voters,,,,,,,571
Grant,Center 15,Secretary of State,,Rep,Connie Lawson,129,72,0,201
Grant,Center 15,Secretary of State,,Dem,Jim Harper,44,42,0,86
Grant,Center 15,Secretary of State,,Lbt,Mark Rutherford,3,2,0,5
Grant,Center 15,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 15,State House,31,Rep,Kevin Mahan,130,78,0,208
Grant,Center 15,State House,31,Dem,Lynn Johnson,44,40,0,84
Grant,Center 15,State Senate,17,Rep,Andy Zay,118,68,0,186
Grant,Center 15,State Senate,17,Dem,Gary Snyder,54,51,0,105
Grant,Center 15,Treasurer,,Rep,Kelly Mitchell,132,74,0,206
Grant,Center 15,Treasurer,,Dem,John Aguilera,45,44,0,89
Grant,Center 15,U.S. House,5,Rep,Susan Brooks,137,76,0,213
Grant,Center 15,U.S. House,5,Dem,Dee Thornton,39,42,0,81
Grant,Center 15,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 15,U.S. Senate,,Rep,Mike Braun,115,67,0,182
Grant,Center 15,U.S. Senate,,Dem,Joe Donnelly,52,49,0,101
Grant,Center 15,U.S. Senate,,Lbt,Lucy Brenton,9,2,0,11
Grant,Center 15,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 16,Auditor,,Rep,Tera Klutz,32,19,0,51
Grant,Center 16,Auditor,,Dem,Joselyn Whitticker,99,28,0,127
Grant,Center 16,Auditor,,Lbt,John Schick,5,1,0,6
Grant,Center 16,Ballots Cast,,,,139,48,0,187
Grant,Center 16,Registered Voters,,,,,,,704
Grant,Center 16,Secretary of State,,Rep,Connie Lawson,41,21,0,62
Grant,Center 16,Secretary of State,,Dem,Jim Harper,89,24,0,113
Grant,Center 16,Secretary of State,,Lbt,Mark Rutherford,4,2,0,6
Grant,Center 16,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 16,State House,31,Rep,Kevin Mahan,40,20,0,60
Grant,Center 16,State House,31,Dem,Lynn Johnson,94,26,0,120
Grant,Center 16,State Senate,17,Rep,Andy Zay,37,20,0,57
Grant,Center 16,State Senate,17,Dem,Gary Snyder,95,26,0,121
Grant,Center 16,Treasurer,,Rep,Kelly Mitchell,39,21,0,60
Grant,Center 16,Treasurer,,Dem,John Aguilera,94,27,0,121
Grant,Center 16,U.S. House,5,Rep,Susan Brooks,40,19,0,59
Grant,Center 16,U.S. House,5,Dem,Dee Thornton,96,27,0,123
Grant,Center 16,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 16,U.S. Senate,,Rep,Mike Braun,35,18,0,53
Grant,Center 16,U.S. Senate,,Dem,Joe Donnelly,92,27,0,119
Grant,Center 16,U.S. Senate,,Lbt,Lucy Brenton,9,3,0,12
Grant,Center 16,U.S. Senate,,,Write-ins,1,0,0,1
Grant,Center 17,Auditor,,Rep,Tera Klutz,121,96,0,217
Grant,Center 17,Auditor,,Dem,Joselyn Whitticker,37,32,0,69
Grant,Center 17,Auditor,,Lbt,John Schick,6,0,0,6
Grant,Center 17,Ballots Cast,,,,166,130,0,296
Grant,Center 17,Registered Voters,,,,,,,555
Grant,Center 17,Secretary of State,,Rep,Connie Lawson,127,98,0,225
Grant,Center 17,Secretary of State,,Dem,Jim Harper,29,30,0,59
Grant,Center 17,Secretary of State,,Lbt,Mark Rutherford,8,0,0,8
Grant,Center 17,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 17,State House,31,Rep,Kevin Mahan,123,97,0,220
Grant,Center 17,State House,31,Dem,Lynn Johnson,36,30,0,66
Grant,Center 17,State Senate,17,Rep,Andy Zay,122,98,0,220
Grant,Center 17,State Senate,17,Dem,Gary Snyder,38,30,0,68
Grant,Center 17,Treasurer,,Rep,Kelly Mitchell,130,100,0,230
Grant,Center 17,Treasurer,,Dem,John Aguilera,31,28,0,59
Grant,Center 17,U.S. House,5,Rep,Susan Brooks,128,101,0,229
Grant,Center 17,U.S. House,5,Dem,Dee Thornton,31,27,0,58
Grant,Center 17,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 17,U.S. Senate,,Rep,Mike Braun,111,98,0,209
Grant,Center 17,U.S. Senate,,Dem,Joe Donnelly,40,29,0,69
Grant,Center 17,U.S. Senate,,Lbt,Lucy Brenton,12,2,0,14
Grant,Center 17,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 18,Auditor,,Rep,Tera Klutz,147,94,0,241
Grant,Center 18,Auditor,,Dem,Joselyn Whitticker,57,51,0,108
Grant,Center 18,Auditor,,Lbt,John Schick,4,4,0,8
Grant,Center 18,Ballots Cast,,,,216,154,0,370
Grant,Center 18,Registered Voters,,,,,,,668
Grant,Center 18,Secretary of State,,Rep,Connie Lawson,163,110,0,273
Grant,Center 18,Secretary of State,,Dem,Jim Harper,44,37,0,81
Grant,Center 18,Secretary of State,,Lbt,Mark Rutherford,3,3,0,6
Grant,Center 18,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 18,State House,31,Rep,Kevin Mahan,153,99,0,252
Grant,Center 18,State House,31,Dem,Lynn Johnson,56,50,0,106
Grant,Center 18,State Senate,17,Rep,Andy Zay,153,102,0,255
Grant,Center 18,State Senate,17,Dem,Gary Snyder,56,45,0,101
Grant,Center 18,Treasurer,,Rep,Kelly Mitchell,163,105,0,268
Grant,Center 18,Treasurer,,Dem,John Aguilera,44,42,0,86
Grant,Center 18,U.S. House,5,Rep,Susan Brooks,167,106,0,273
Grant,Center 18,U.S. House,5,Dem,Dee Thornton,45,43,0,88
Grant,Center 18,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 18,U.S. Senate,,Rep,Mike Braun,147,101,0,248
Grant,Center 18,U.S. Senate,,Dem,Joe Donnelly,57,50,0,107
Grant,Center 18,U.S. Senate,,Lbt,Lucy Brenton,9,1,0,10
Grant,Center 18,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 19,Auditor,,Rep,Tera Klutz,132,58,0,190
Grant,Center 19,Auditor,,Dem,Joselyn Whitticker,72,51,0,123
