county,precinct,office,district,candidate,party,Absentee,election_day,provisiona,votes
Lawrence,Shawswick 16,Ballots Cast,,,,67,120,0,187
Lawrence,Marion 1,Ballots Cast,,,,23,93,0,116
Lawrence,Marion 2,Ballots Cast,,,,26,182,0,208
Lawrence,Marion 3,Ballots Cast,,,,18,79,0,97
Lawrence,Marion 4,Ballots Cast,,,,9,72,0,81
Lawrence,Marion 5A,Ballots Cast,,,,45,158,0,203
Lawrence,Marion 5B,Ballots Cast,,,,51,184,0,235
Lawrence,Marion 5C,Ballots Cast,,,,14,60,0,74
Lawrence,Marion 6,Ballots Cast,,,,49,188,0,237
Lawrence,Bono,Ballots Cast,,,,17,71,0,88
Lawrence,Guthrie,Ballots Cast,,,,32,79,0,111
Lawrence,Indian Creek North,Ballots Cast,,,,96,247,0,343
Lawrence,Indian Creek South,Ballots Cast,,,,68,204,0,272
Lawrence,Marshall 1,Ballots Cast,,,,60,141,0,201
Lawrence,Marshall 2,Ballots Cast,,,,33,101,0,134
Lawrence,Marshall 3,Ballots Cast,,,,53,176,0,229
Lawrence,Perry,Ballots Cast,,,,109,174,0,283
Lawrence,Pleasant Run,Ballots Cast,,,,76,89,0,165
Lawrence,Spice Valley North,Ballots Cast,,,,29,81,0,110
Lawrence,Spice Valley South,Ballots Cast,,,,62,168,0,230
Lawrence,Total,Ballots Cast,,,,1621,4518,0,6139
Lawrence,Shawswick 1A,U.S. Senate,,Mike Braun,REP,4,10,0,14
Lawrence,Shawswick 1B,U.S. Senate,,Mike Braun,REP,11,19,0,30
Lawrence,Shawswick 2,U.S. Senate,,Mike Braun,REP,9,16,0,25
Lawrence,Shawswick 3,U.S. Senate,,Mike Braun,REP,5,22,0,27
Lawrence,Shawswick 4,U.S. Senate,,Mike Braun,REP,7,27,0,34
Lawrence,Shawswick 5A,U.S. Senate,,Mike Braun,REP,9,35,0,44
Lawrence,Shawswick 5B,U.S. Senate,,Mike Braun,REP,12,31,0,43
Lawrence,Shawswick 6,U.S. Senate,,Mike Braun,REP,2,23,0,25
Lawrence,Shawswick 7A,U.S. Senate,,Mike Braun,REP,8,12,0,20
Lawrence,Shawswick 7B,U.S. Senate,,Mike Braun,REP,13,35,0,48
Lawrence,Shawswick 8,U.S. Senate,,Mike Braun,REP,10,28,0,38
Lawrence,Shawswick 9,U.S. Senate,,Mike Braun,REP,0,14,0,14
Lawrence,Shawswick 10,U.S. Senate,,Mike Braun,REP,5,35,0,40
Lawrence,Shawswick 11,U.S. Senate,,Mike Braun,REP,4,16,0,20
Lawrence,Shawswick 12,U.S. Senate,,Mike Braun,REP,9,47,0,56
Lawrence,Shawswick 13,U.S. Senate,,Mike Braun,REP,9,31,0,40
Lawrence,Shawswick 14A,U.S. Senate,,Mike Braun,REP,11,42,0,53
Lawrence,Shawswick 14B,U.S. Senate,,Mike Braun,REP,29,38,0,67
Lawrence,Shawswick 15A,U.S. Senate,,Mike Braun,REP,6,22,0,28
Lawrence,Shawswick 15B,U.S. Senate,,Mike Braun,REP,15,21,0,36
Lawrence,Shawswick 16,U.S. Senate,,Mike Braun,REP,22,38,0,60
Lawrence,Marion 1,U.S. Senate,,Mike Braun,REP,4,31,0,35
Lawrence,Marion 2,U.S. Senate,,Mike Braun,REP,12,50,0,62
Lawrence,Marion 3,U.S. Senate,,Mike Braun,REP,3,20,0,23
Lawrence,Marion 4,U.S. Senate,,Mike Braun,REP,4,20,0,24
Lawrence,Marion 5A,U.S. Senate,,Mike Braun,REP,14,42,0,56
Lawrence,Marion 5B,U.S. Senate,,Mike Braun,REP,16,57,0,73
Lawrence,Marion 5C,U.S. Senate,,Mike Braun,REP,9,12,0,21
Lawrence,Marion 6,U.S. Senate,,Mike Braun,REP,12,51,0,63
Lawrence,Bono,U.S. Senate,,Mike Braun,REP,4,16,0,20
Lawrence,Guthrie,U.S. Senate,,Mike Braun,REP,13,30,0,43
Lawrence,Indian Creek North,U.S. Senate,,Mike Braun,REP,28,79,0,107
Lawrence,Indian Creek South,U.S. Senate,,Mike Braun,REP,19,80,0,99
Lawrence,Marshall 1,U.S. Senate,,Mike Braun,REP,15,43,0,58
Lawrence,Marshall 2,U.S. Senate,,Mike Braun,REP,9,33,0,42
Lawrence,Marshall 3,U.S. Senate,,Mike Braun,REP,12,61,0,73
Lawrence,Perry,U.S. Senate,,Mike Braun,REP,36,63,0,99
Lawrence,Pleasant Run,U.S. Senate,,Mike Braun,REP,22,27,0,49
Lawrence,Spice Valley North,U.S. Senate,,Mike Braun,REP,4,29,0,33
Lawrence,Spice Valley South,U.S. Senate,,Mike Braun,REP,20,47,0,67
Lawrence,Total,U.S. Senate,,Mike Braun,REP,456,1353,0,1809
Lawrence,Shawswick 1A,U.S. Senate,,Luke Messer,REP,1,7,0,8
Lawrence,Shawswick 1B,U.S. Senate,,Luke Messer,REP,6,17,0,23
Lawrence,Shawswick 2,U.S. Senate,,Luke Messer,REP,4,13,0,17
Lawrence,Shawswick 3,U.S. Senate,,Luke Messer,REP,6,17,0,23
Lawrence,Shawswick 4,U.S. Senate,,Luke Messer,REP,4,13,0,17
Lawrence,Shawswick 5A,U.S. Senate,,Luke Messer,REP,5,20,0,25
Lawrence,Shawswick 5B,U.S. Senate,,Luke Messer,REP,9,21,0,30
Lawrence,Shawswick 6,U.S. Senate,,Luke Messer,REP,0,15,0,15
Lawrence,Shawswick 7A,U.S. Senate,,Luke Messer,REP,5,9,0,14
Lawrence,Shawswick 7B,U.S. Senate,,Luke Messer,REP,11,19,0,30
Lawrence,Shawswick 8,U.S. Senate,,Luke Messer,REP,4,16,0,20
Lawrence,Shawswick 9,U.S. Senate,,Luke Messer,REP,2,10,0,12
Lawrence,Shawswick 10,U.S. Senate,,Luke Messer,REP,2,22,0,24
Lawrence,Shawswick 11,U.S. Senate,,Luke Messer,REP,2,4,0,6
Lawrence,Shawswick 12,U.S. Senate,,Luke Messer,REP,6,18,0,24
Lawrence,Shawswick 13,U.S. Senate,,Luke Messer,REP,16,27,0,43
Lawrence,Shawswick 14A,U.S. Senate,,Luke Messer,REP,5,25,0,30
Lawrence,Shawswick 14B,U.S. Senate,,Luke Messer,REP,6,39,0,45
Lawrence,Shawswick 15A,U.S. Senate,,Luke Messer,REP,4,11,0,15
Lawrence,Shawswick 15B,U.S. Senate,,Luke Messer,REP,9,17,0,26
Lawrence,Shawswick 16,U.S. Senate,,Luke Messer,REP,10,14,0,24
Lawrence,Marion 1,U.S. Senate,,Luke Messer,REP,1,11,0,12
Lawrence,Marion 2,U.S. Senate,,Luke Messer,REP,4,32,0,36
Lawrence,Marion 3,U.S. Senate,,Luke Messer,REP,2,10,0,12
Lawrence,Marion 4,U.S. Senate,,Luke Messer,REP,0,11,0,11
Lawrence,Marion 5A,U.S. Senate,,Luke Messer,REP,10,38,0,48
Lawrence,Marion 5B,U.S. Senate,,Luke Messer,REP,15,24,0,39
Lawrence,Marion 5C,U.S. Senate,,Luke Messer,REP,1,10,0,11
Lawrence,Marion 6,U.S. Senate,,Luke Messer,REP,6,42,0,48
Lawrence,Bono,U.S. Senate,,Luke Messer,REP,2,13,0,15
Lawrence,Guthrie,U.S. Senate,,Luke Messer,REP,9,13,0,22
Lawrence,Indian Creek North,U.S. Senate,,Luke Messer,REP,18,53,0,71
Lawrence,Indian Creek South,U.S. Senate,,Luke Messer,REP,12,38,0,50
Lawrence,Marshall 1,U.S. Senate,,Luke Messer,REP,9,24,0,33
Lawrence,Marshall 2,U.S. Senate,,Luke Messer,REP,0,20,0,20
Lawrence,Marshall 3,U.S. Senate,,Luke Messer,REP,8,21,0,29
Lawrence,Perry,U.S. Senate,,Luke Messer,REP,17,23,0,40
Lawrence,Pleasant Run,U.S. Senate,,Luke Messer,REP,15,11,0,26
Lawrence,Spice Valley North,U.S. Senate,,Luke Messer,REP,2,12,0,14
Lawrence,Spice Valley South,U.S. Senate,,Luke Messer,REP,9,43,0,52
Lawrence,Total,U.S. Senate,,Luke Messer,REP,257,803,0,1060
Lawrence,Shawswick 1A,U.S. Senate,,Todd Rokita,REP,3,13,0,16
Lawrence,Shawswick 1B,U.S. Senate,,Todd Rokita,REP,15,21,0,36
Lawrence,Shawswick 2,U.S. Senate,,Todd Rokita,REP,14,23,0,37
Lawrence,Shawswick 3,U.S. Senate,,Todd Rokita,REP,7,22,0,29
Lawrence,Shawswick 4,U.S. Senate,,Todd Rokita,REP,12,29,0,41
Lawrence,Shawswick 5A,U.S. Senate,,Todd Rokita,REP,13,18,0,31
Lawrence,Shawswick 5B,U.S. Senate,,Todd Rokita,REP,14,36,0,50
Lawrence,Shawswick 6,U.S. Senate,,Todd Rokita,REP,4,20,0,24
Lawrence,Shawswick 7A,U.S. Senate,,Todd Rokita,REP,3,19,0,22
Lawrence,Shawswick 7B,U.S. Senate,,Todd Rokita,REP,11,20,0,31
Lawrence,Shawswick 8,U.S. Senate,,Todd Rokita,REP,14,37,0,51
Lawrence,Shawswick 9,U.S. Senate,,Todd Rokita,REP,3,12,0,15
Lawrence,Shawswick 10,U.S. Senate,,Todd Rokita,REP,10,23,0,33
Lawrence,Shawswick 11,U.S. Senate,,Todd Rokita,REP,14,25,0,39
Lawrence,Shawswick 12,U.S. Senate,,Todd Rokita,REP,14,44,0,58
Lawrence,Shawswick 13,U.S. Senate,,Todd Rokita,REP,14,34,0,48
Lawrence,Shawswick 14A,U.S. Senate,,Todd Rokita,REP,22,54,0,76
Lawrence,Shawswick 14B,U.S. Senate,,Todd Rokita,REP,22,33,0,55
Lawrence,Shawswick 15A,U.S. Senate,,Todd Rokita,REP,6,17,0,23
Lawrence,Shawswick 15B,U.S. Senate,,Todd Rokita,REP,11,35,0,46
Lawrence,Shawswick 16,U.S. Senate,,Todd Rokita,REP,12,49,0,61
Lawrence,Marion 1,U.S. Senate,,Todd Rokita,REP,7,20,0,27
Lawrence,Marion 2,U.S. Senate,,Todd Rokita,REP,5,56,0,61
Lawrence,Marion 3,U.S. Senate,,Todd Rokita,REP,6,21,0,27
Lawrence,Marion 4,U.S. Senate,,Todd Rokita,REP,3,10,0,13
Lawrence,Marion 5A,U.S. Senate,,Todd Rokita,REP,13,41,0,54
Lawrence,Marion 5B,U.S. Senate,,Todd Rokita,REP,12,66,0,78
Lawrence,Marion 5C,U.S. Senate,,Todd Rokita,REP,2,16,0,18
Lawrence,Marion 6,U.S. Senate,,Todd Rokita,REP,18,59,0,77
Lawrence,Bono,U.S. Senate,,Todd Rokita,REP,6,21,0,27
Lawrence,Guthrie,U.S. Senate,,Todd Rokita,REP,6,16,0,22
Lawrence,Indian Creek North,U.S. Senate,,Todd Rokita,REP,26,67,0,93
Lawrence,Indian Creek South,U.S. Senate,,Todd Rokita,REP,19,53,0,72
Lawrence,Marshall 1,U.S. Senate,,Todd Rokita,REP,19,50,0,69
Lawrence,Marshall 2,U.S. Senate,,Todd Rokita,REP,17,25,0,42
Lawrence,Marshall 3,U.S. Senate,,Todd Rokita,REP,19,45,0,64
Lawrence,Perry,U.S. Senate,,Todd Rokita,REP,40,62,0,102
Lawrence,Pleasant Run,U.S. Senate,,Todd Rokita,REP,20,32,0,52
Lawrence,Spice Valley North,U.S. Senate,,Todd Rokita,REP,6,29,0,35
Lawrence,Spice Valley South,U.S. Senate,,Todd Rokita,REP,19,40,0,59
Lawrence,Total,U.S. Senate,,Todd Rokita,REP,501,1313,0,1814
Lawrence,Shawswick 1A,U.S. Senate,,Joe Donnelly,DEM,3,17,0,20
Lawrence,Shawswick 1B,U.S. Senate,,Joe Donnelly,DEM,1,15,0,16
Lawrence,Shawswick 2,U.S. Senate,,Joe Donnelly,DEM,0,5,0,5
Lawrence,Shawswick 3,U.S. Senate,,Joe Donnelly,DEM,6,16,0,22
Lawrence,Shawswick 4,U.S. Senate,,Joe Donnelly,DEM,5,18,0,23
Lawrence,Shawswick 5A,U.S. Senate,,Joe Donnelly,DEM,8,24,0,32
Lawrence,Shawswick 5B,U.S. Senate,,Joe Donnelly,DEM,8,12,0,20
Lawrence,Shawswick 6,U.S. Senate,,Joe Donnelly,DEM,6,22,0,28
Lawrence,Shawswick 7A,U.S. Senate,,Joe Donnelly,DEM,9,7,0,16
Lawrence,Shawswick 7B,U.S. Senate,,Joe Donnelly,DEM,9,24,0,33
Lawrence,Shawswick 8,U.S. Senate,,Joe Donnelly,DEM,9,23,0,32
Lawrence,Shawswick 9,U.S. Senate,,Joe Donnelly,DEM,4,10,0,20
Lawrence,Shawswick 10,U.S. Senate,,Joe Donnelly,DEM,2,15,0,17
Lawrence,Shawswick 11,U.S. Senate,,Joe Donnelly,DEM,2,4,0,6
Lawrence,Shawswick 12,U.S. Senate,,Joe Donnelly,DEM,5,28,0,33
Lawrence,Shawswick 13,U.S. Senate,,Joe Donnelly,DEM,10,14,0,24
Lawrence,Shawswick 14A,U.S. Senate,,Joe Donnelly,DEM,11,26,0,37
Lawrence,Shawswick 14B,U.S. Senate,,Joe Donnelly,DEM,14,22,0,36
Lawrence,Shawswick 15A,U.S. Senate,,Joe Donnelly,DEM,2,2,0,4
Lawrence,Shawswick 15B,U.S. Senate,,Joe Donnelly,DEM,10,13,0,23
Lawrence,Shawswick 16,U.S. Senate,,Joe Donnelly,DEM,13,11,0,24
Lawrence,Marion 1,U.S. Senate,,Joe Donnelly,DEM,9,26,0,35
Lawrence,Marion 2,U.S. Senate,,Joe Donnelly,DEM,3,30,0,33
Lawrence,Marion 3,U.S. Senate,,Joe Donnelly,DEM,5,21,0,26
Lawrence,Marion 4,U.S. Senate,,Joe Donnelly,DEM,1,23,0,24
Lawrence,Marion 5A,U.S. Senate,,Joe Donnelly,DEM,8,31,0,39
Lawrence,Marion 5B,U.S. Senate,,Joe Donnelly,DEM,3,27,0,30
Lawrence,Marion 5C,U.S. Senate,,Joe Donnelly,DEM,2,18,0,20
Lawrence,Marion 6,U.S. Senate,,Joe Donnelly,DEM,9,25,0,34
Lawrence,Bono,U.S. Senate,,Joe Donnelly,DEM,1,15,0,16
Lawrence,Guthrie,U.S. Senate,,Joe Donnelly,DEM,2,11,0,13
Lawrence,Indian Creek North,U.S. Senate,,Joe Donnelly,DEM,8,15,0,23
Lawrence,Indian Creek South,U.S. Senate,,Joe Donnelly,DEM,8,12,0,20
Lawrence,Marshall 1,U.S. Senate,,Joe Donnelly,DEM,14,17,0,31
Lawrence,Marshall 2,U.S. Senate,,Joe Donnelly,DEM,5,15,0,20
Lawrence,Marshall 3,U.S. Senate,,Joe Donnelly,DEM,11,36,0,47
Lawrence,Perry,U.S. Senate,,Joe Donnelly,DEM,10,18,0,28
Lawrence,Pleasant Run,U.S. Senate,,Joe Donnelly,DEM,11,18,0,29
Lawrence,Spice Valley North,U.S. Senate,,Joe Donnelly,DEM,14,6,0,20
Lawrence,Spice Valley South,U.S. Senate,,Joe Donnelly,DEM,11,29,0,40
Lawrence,Total,U.S. Senate,,Joe Donnelly,DEM,272,721,0,999
Lawrence,Shawswick 1A,U.S.House,9,James Dean Alspach,REP,0,6,0,6
Lawrence,Shawswick 1B,U.S.House,9,James Dean Alspach,REP,11,14,0,25
Lawrence,Shawswick 2,U.S.House,9,James Dean Alspach,REP,6,8,0,14
Lawrence,Shawswick 3,U.S.House,9,James Dean Alspach,REP,3,15,0,18
Lawrence,Shawswick 4,U.S.House,9,James Dean Alspach,REP,5,21,0,26
Lawrence,Shawswick 5A,U.S.House,9,James Dean Alspach,REP,3,23,0,26
Lawrence,Shawswick 5B,U.S.House,9,James Dean Alspach,REP,7,22,0,29
Lawrence,Shawswick 6,U.S.House,9,James Dean Alspach,REP,2,15,0,17
Lawrence,Shawswick 7A,U.S.House,9,James Dean Alspach,REP,4,10,0,14
Lawrence,Shawswick 7B,U.S.House,9,James Dean Alspach,REP,7,23,0,30
Lawrence,Shawswick 8,U.S.House,9,James Dean Alspach,REP,5,21,0,26
Lawrence,Shawswick 9,U.S.House,9,James Dean Alspach,REP,1,8,0,9
Lawrence,Shawswick 10,U.S.House,9,James Dean Alspach,REP,3,24,0,27
Lawrence,Shawswick 11,U.S.House,9,James Dean Aispach,REP,4,15,0,19
Lawrence,Shawswick 12,U.S.House,9,James Dean Alspach,REP,6,31,0,37
Lawrence,Shawswick 13,U.S.House,9,James Dean Alspach,REP,6,21,0,27
Lawrence,Shawswick 14A,U.S.House,9,James Dean Aispach,REP,7,22,0,29
Lawrence,Shawswick 14B,U.S.House,9,James Dean Alspach,REP,16,23,0,39
Lawrence,Shawswick 15A,U.S.House,9,James Dean Alspach,REP,2,9,0,11
Lawrence,Shawswick 15B,U.S.House,9,James Dean Alspach,REP,11,14,0,25
Lawrence,Shawswick 16,U.S.House,9,James Dean Alspach,REP,14,20,0,34
Lawrence,Marion 1,U.S.House,9,James Dean Alspach,REP,0,22,0,22
Lawrence,Marion 2,U.S.House,9,James Dean Alspach,REP,3,41,0,44
Lawrence,Marion 3,U.S.House,9,James Dean Alspach,REP,3,16,0,19
Lawrence,Marion 4,U.S.House,9,James Dean Alspach,REP,0,23,0,23
Lawrence,Marion 5A,U.S.House,9,James Dean Alspach,REP,5,25,0,30
Lawrence,Marion 5B,U.S.House,9,James Dean Alspach,REP,10,42,0,52
Lawrence,Marion 5C,U.S.House,9,James Dean Alspach,REP,0,9,0,9
Lawrence,Marion 6,U.S.House,9,James Dean Alspach,REP,2,40,0,42
Lawrence,Bono,U.S.House,9,James Dean Aispach,REP,4,8,0,12
Lawrence,Guthrie,U.S.House,9,James Dean Alspach,REP,6,11,0,17
Lawrence,Indian Creek North,U.S.House,9,James Dean Alspach,REP,23,42,0,65
Lawrence,Indian Creek South,U.S.House,9,James Dean Alspach,REP,12,38,0,50
Lawrence,Marshall 1,U.S.House,9,James Dean Alspach,REP,8,24,0,32
Lawrence,Marshall 2,U.S.House,9,James Dean Alspach,REP,3,18,0,21
Lawrence,Marshall 3,U.S.House,9,James Dean Alspach,REP,10,30,0,40
Lawrence,Perry,U.S.House,9,James Dean Alspach,REP,24,25,0,50
Lawrence,Pleasant Run,U.S.House,9,James Dean Alspach,REP,12,10,0,22
Lawrence,Spice Valley North,U.S.House,9,James Dean Alspach,REP,3,14,0,17
Lawrence,Spice Valley South,U.S.House,9,James Dean Alspach,REP,7,28,0,35
Lawrence,Total,U.S.House,9,James Dean Alspach,REP,258,831,0,1090
Lawrence,Shawswick 1A,U.S.House,9,Trey Hollingsworth,REP,8,26,0,34
Lawrence,Shawswick 1B,U.S.House,9,Trey Hollingsworth,REP,21,42,0,63
Lawrence,Shawswick 2,U.S.House,9,Trey Hollingsworth,REP,21,42,0,63
Lawrence,Shawswick 3,U.S.House,9,Trey Hollingsworth,REP,16,47,0,63
Lawrence,Shawswick 4,U.S.House,9,Trey Hollingsworth,REP,18,49,0,67
Lawrence,Shawswick 5A,U.S.House,9,Trey Hollingsworth,REP,24,51,0,75
Lawrence,Shawswick 5B,U.S.House,9,Trey Hollingsworth,REP,27,66,0,93
Lawrence,Shawswick 6,U.S.House,9,Trey Hollingsworth,REP,4,43,0,47
Lawrence,Shawswick 7A,U.S.House,9,Trey Hollingsworth,REP,11,28,0,39
Lawrence,Shawswick 7B,U.S.House,9,Trey Hollingsworth,REP,27,53,0,80
Lawrence,Shawswick 8,U.S.House,9,Trey Hollingsworth,REP,24,68,0,92
Lawrence,Shawswick 9,U.S.House,9,Trey Hollingsworth,REP,3,30,0,33
Lawrence,Shawswick 10,U.S.House,9,Trey Hollingsworth,REP,12,56,0,68
Lawrence,Shawswick 11,U.S.House,9,Trey Hollingsworth,REP,18,30,0,48
Lawrence,Shawswick 12,U.S.House,9,Trey Hollingsworth,REP,24,83,0,107
Lawrence,Shawswick 13,U.S.House,9,Trey Hollingsworth,REP,32,72,0,104
Lawrence,Shawswick 14A,U.S.House,9,Trey Hollingsworth,REP,31,95,0,126
Lawrence,Shawswick 14B,U.S.House,9,Trey Hollingsworth,REP,42,88,0,130
Lawrence,Shawswick 15A,U.S.House,9,Trey Hollingsworth,REP,13,41,0,54
Lawrence,Shawswick 15B,U.S.House,9,Trey Hollingsworth,REP,25,61,0,86
Lawrence,Shawswick 16,U.S.House,9,Trey Hollingsworth,REP,32,83,0,115
Lawrence,Marion 1,U.S.House,9,Trey Hollingsworth,REP,12,39,0,51
Lawrence,Marion 2,U.S.House,9,Trey Hollingsworth,REP,19,96,0,115
Lawrence,Marion 3,U.S.House,9,Trey Hollingsworth,REP,8,36,0,44
Lawrence,Marion 4,U.S.House,9,Trey Hollingsworth,REP,7,23,0,30
Lawrence,Marion 5A,U.S.House,9,Trey Hollingsworth,REP,32,95,0,127
Lawrence,Marion 5B,U.S.House,9,Trey Hollingsworth,REP,35,109,0,144
Lawrence,Marion 5C,U.S.House,9,Trey Hollingsworth,REP,12,28,0,40
Lawrence,Marion 6,U.S.House,9,Trey Hollingsworth,REP,34,114,0,148
Lawrence,Bono,U.S.House,9,Trey Hollingsworth,REP,9,41,0,50
Lawrence,Guthrie,U.S.House,9,Trey Hollingsworth,REP,23,49,0,72
Lawrence,Indian Creek North,U.S.House,9,Trey Hollingsworth,REP,49,158,0,207
Lawrence,Indian Creek South,U.S.House,9,Trey Hollingsworth,REP,40,135,0,175
Lawrence,Marshall 1,U.S.House,9,Trey Hollingsworth,REP,35,95,0,130
Lawrence,Marshall 2,U.S.House,9,Trey Hollingsworth,REP,22,62,0,84
Lawrence,Marshall 3,U.S.House,9,Trey Hollingsworth,REP,27,96,0,123
Lawrence,Perry,U.S.House,9,Trey Hollingsworth,REP,67,122,0,189
Lawrence,Pleasant Run,U.S.House,9,Trey Hollingsworth,REP,40,57,0,97
Lawrence,Spice Valley North,U.S.House,9,Trey Hollingsworth,REP,10,55,0,65
Lawrence,Spice Valley South,U.S.House,9,Trey Hollingsworth,REP,41,103,0,144
Lawrence,Total,U.S.House,9,Trey Hollingsworth,REP,955,2667,0,3622
Lawrence,Shawswick 1A,U.S.House,9,Dan Canon,DEM,0,6,0,6
Lawrence,Shawswick 1B,U.S.House,9,Dan Canon,DEM,0,3,0,3
Lawrence,Shawswick 2,U.S.House,9,Dan Canon,DEM,0,0,0,0
Lawrence,Shawswick 3,U.S.House,9,Dan Canon,DEM,3,9,0,12
Lawrence,Shawswick 4,U.S.House,9,Dan Canon,DEM,1,4,0,5
Lawrence,Shawswick 5A,U.S.House,9,Dan Canon,DEM,3,5,0,8
Lawrence,Shawswick 5B,U.S.House,9,Dan Canon,DEM,1,3,0,4
Lawrence,Shawswick 6,U.S.House,9,Dan Canon,DEM,1,5,0,6
Lawrence,Shawswick 7A,U.S.House,9,Dan Canon,DEM,2,0,0,2
Lawrence,Shawswick 7B,U.S.House,9,Dan Canon,DEM,3,4,0,7
Lawrence,Shawswick 8,U.S.House,9,Dan Canon,DEM,3,6,0,9
Lawrence,Shawswick 9,U.S.House,9,Dan Canon,DEM,3,1,0,4
Lawrence,Shawswick 10,U.S.House,9,Dan Canon,DEM,0,4,0,4
Lawrence,Shawswick 11,U.S.House,9,Dan Canon,DEM,2,3,0,5
Lawrence,Shawswick 12,U.S.House,9,Dan Canon,DEM,1,8,0,9
Lawrence,Shawswick 13,U.S.House,9,Dan Canon,DEM,3,1,0,4
Lawrence,Shawswick 14A,U.S.House,9,Dan Canon,DEM,5,5,0,10
Lawrence,Shawswick 14B,U.S.House,9,Dan Canon,DEM,3,3,0,6
Lawrence,Shawswick 15A,U.S.House,9,Dan Canon,DEM,0,0,0,0
Lawrence,Shawswick 15B,U.S.House,9,Dan Canon,DEM,4,2,0,6
Lawrence,Shawswick 16,U.S.House,9,Dan Canon,DEM,1,3,0,4
Lawrence,Marion 1,U.S.House,9,Dan Canon,DEM,1,3,0,4
Lawrence,Marion 2,U.S.House,9,Dan Canon,DEM,0,9,0,9
Lawrence,Marion 3,U.S.House,9,Dan Canon,DEM,0,7,0,7
Lawrence,Marion 4,U.S.House,9,Dan Canon,DEM,0,2,0,2
Lawrence,Marion 5A,U.S.House,9,Dan Canon,DEM,1,3,0,4
Lawrence,Marion 5B,U.S.House,9,Dan Canon,DEM,0,8,0,8
